from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
25-Apr-2019 - 00:00,34.14,984.05,239.01,65.09,38.46,168.02,161.92,2.22,2.74,12.1,38.69,28.51,1.53,16.38,0.56,91.8,16.14,26-Apr-2019 - 00:00,"Najafgarh, Delhi - DPCC"
26-Apr-2019 - 00:00,34.76,984.07,237.84,75.53,26.34,229.46,247.69,1.9,2.16,7.96,29.93,29.83,1.98,17.39,0.31,93.24,35.15,27-Apr-2019 - 00:00,"Najafgarh, Delhi - DPCC"
27-Apr-2019 - 00:00,33.8,983.34,277.85,74.48,23.93,202.21,261.34,2.8,2.33,6.72,21.68,23.81,1.67,14.0,0.19,88.02,29.01,28-Apr-2019 - 00:00,"Najafgarh, Delhi - DPCC"
28-Apr-2019 - 00:00,33.24,982.15,265.23,66.98,21.58,204.9,296.96,2.3,0.58,4.0,18.21,27.21,2.09,16.16,0.21,78.63,24.97,29-Apr-2019 - 00:00,"Najafgarh, Delhi - DPCC"
29-Apr-2019 - 00:00,33.43,981.14,242.77,81.79,21.42,198.44,204.24,1.64,0.7,5.79,20.99,37.78,3.22,22.44,0.4,79.29,29.36,30-Apr-2019 - 00:00,"Najafgarh, Delhi - DPCC"
30-Apr-2019 - 00:00,34.33,978.21,213.29,76.02,22.12,188.25,166.91,1.96,1.13,10.86,23.57,54.19,8.08,35.39,0.56,79.24,22.3,01-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
01-May-2019 - 00:00,33.1,977.79,235.26,81.94,25.88,182.67,144.29,1.35,0.99,7.96,29.08,37.88,2.08,21.78,0.48,78.2,28.51,02-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
02-May-2019 - 00:00,32.53,979.74,218.27,62.91,30.1,169.25,89.29,2.8,0.67,5.73,29.41,28.03,1.4,15.89,0.38,104.17,18.72,03-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
03-May-2019 - 00:00,30.32,982.28,97.16,41.62,37.86,188.1,99.21,2.0,0.6,5.5,30.46,35.82,2.0,20.62,0.35,69.17,17.64,04-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
04-May-2019 - 00:00,29.27,984.49,159.04,93.63,38.7,262.86,195.76,1.74,0.89,6.91,41.51,31.78,2.33,18.8,0.44,150.51,22.9,05-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
05-May-2019 - 00:00,34.96,983.47,150.65,63.35,16.44,239.39,304.78,2.44,0.41,2.99,21.11,30.15,1.93,17.25,0.31,116.52,19.18,06-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
06-May-2019 - 00:00,32.02,981.58,200.27,107.54,19.67,190.86,279.82,2.15,0.75,4.23,23.2,37.74,3.59,22.89,0.51,90.83,22.58,07-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
07-May-2019 - 00:00,32.91,980.08,274.74,100.97,21.04,184.09,268.61,2.42,0.63,4.85,24.14,42.66,9.66,30.54,0.51,57.07,17.55,08-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
08-May-2019 - 00:00,33.57,980.11,315.51,146.84,22.02,189.27,284.14,2.62,0.79,4.07,27.68,35.62,4.09,22.26,0.57,58.29,40.5,09-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
09-May-2019 - 00:00,34.99,979.47,325.95,146.01,20.39,200.26,291.63,3.21,0.66,3.41,18.59,26.75,1.5,15.25,0.36,79.8,24.78,10-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
10-May-2019 - 00:00,34.57,980.39,227.39,83.67,22.11,185.98,289.9,2.61,0.39,2.45,13.95,14.78,1.05,8.58,0.2,100.77,17.51,11-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
11-May-2019 - 00:00,31.85,982.8,203.81,118.23,33.69,177.91,249.25,1.93,0.62,4.35,29.24,28.37,2.34,16.96,0.48,88.88,35.64,12-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
12-May-2019 - 00:00,32.5,982.43,363.83,189.35,30.51,184.57,317.6,2.61,0.63,3.74,27.35,24.28,1.23,13.81,0.57,96.57,30.01,13-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
13-May-2019 - 00:00,32.79,980.92,240.36,170.69,32.04,173.82,216.08,1.69,0.89,3.55,31.25,32.16,1.79,18.26,0.8,98.02,40.86,14-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
14-May-2019 - 00:00,29.35,982.14,81.81,68.16,49.26,203.62,160.1,1.45,0.43,3.62,37.81,32.09,2.27,18.82,0.39,,13.97,15-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
15-May-2019 - 00:00,28.49,983.2,118.25,72.74,55.37,158.21,140.03,2.0,1.15,10.44,50.25,67.05,17.1,49.58,0.71,79.69,12.68,16-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
16-May-2019 - 00:00,29.8,984.13,183.78,73.17,48.09,167.26,188.68,1.91,1.37,14.06,44.31,39.6,8.49,27.99,0.5,71.61,15.69,17-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
17-May-2019 - 00:00,29.47,984.02,215.94,82.03,50.3,223.6,212.56,1.92,1.1,11.51,42.15,28.41,2.22,16.87,0.36,69.23,11.59,18-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
18-May-2019 - 00:00,29.27,983.49,76.79,74.14,56.4,192.88,310.74,2.07,0.74,1.29,40.45,28.95,1.9,16.87,0.4,80.14,17.67,19-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
19-May-2019 - 00:00,30.04,984.08,118.89,109.84,48.4,220.42,286.51,1.77,1.46,2.13,47.1,33.91,4.14,21.38,0.44,91.84,28.34,20-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
20-May-2019 - 00:00,32.32,984.38,161.3,127.38,38.95,202.65,288.16,1.64,3.1,5.08,37.64,41.75,3.95,25.14,0.51,82.65,41.09,21-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
21-May-2019 - 00:00,33.07,983.01,106.79,64.25,36.93,196.11,255.76,1.74,1.16,4.37,25.85,29.17,2.79,17.61,,90.04,18.83,22-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
22-May-2019 - 00:00,32.66,981.34,103.04,49.14,38.4,123.99,266.64,1.47,0.97,2.56,25.44,24.2,1.6,14.07,0.31,65.36,13.74,23-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
23-May-2019 - 00:00,31.88,980.57,144.01,67.35,46.38,182.91,185.45,1.64,1.38,6.4,29.99,33.75,3.51,20.67,0.45,63.41,20.82,24-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
24-May-2019 - 00:00,28.59,982.38,87.52,51.16,60.33,188.0,169.18,2.17,0.69,9.15,48.95,30.13,4.04,19.27,0.34,55.09,15.0,25-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
25-May-2019 - 00:00,31.23,981.84,90.97,54.07,44.17,229.57,317.09,2.3,0.82,2.55,32.21,19.6,1.21,11.34,0.25,89.77,16.83,26-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
26-May-2019 - 00:00,32.73,980.26,106.46,64.9,33.08,230.6,242.02,2.01,1.02,3.92,24.99,28.65,1.18,15.88,0.28,101.4,24.95,27-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
27-May-2019 - 00:00,34.37,979.87,116.66,66.44,26.44,222.46,236.6,2.02,1.43,6.42,19.58,29.11,1.27,16.26,0.37,98.64,28.17,28-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
28-May-2019 - 00:00,34.27,979.56,122.09,60.16,23.02,230.3,294.67,2.28,1.38,5.58,17.36,30.51,1.96,17.4,0.27,99.43,23.9,29-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
29-May-2019 - 00:00,35.09,978.03,119.94,59.66,25.2,217.43,250.98,1.66,1.45,6.56,19.65,31.8,0.97,16.95,0.29,99.34,23.0,30-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
30-May-2019 - 00:00,36.61,976.65,144.35,64.48,23.09,215.03,282.5,1.82,1.69,5.99,19.94,47.3,5.36,26.91,0.38,81.83,23.27,31-May-2019 - 00:00,"Najafgarh, Delhi - DPCC"
31-May-2019 - 00:00,36.55,976.93,209.27,56.05,22.21,210.9,248.83,1.74,0.95,1.67,18.37,29.45,1.27,15.52,0.24,81.83,21.46,01-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
01-Jun-2019 - 00:00,37.19,976.73,159.35,58.07,27.21,210.89,185.73,1.8,1.31,6.35,21.39,42.75,2.09,23.23,0.42,76.17,17.99,02-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
02-Jun-2019 - 00:00,37.59,976.85,160.21,66.49,39.19,196.01,127.92,2.36,1.42,6.56,43.32,37.89,0.67,20.15,0.61,88.06,18.59,03-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
03-Jun-2019 - 00:00,36.56,977.42,215.98,63.27,40.98,187.31,147.55,3.43,1.03,3.6,41.11,29.04,0.6,15.49,0.53,109.34,13.74,04-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
04-Jun-2019 - 00:00,36.11,977.96,139.0,52.77,39.16,194.85,135.19,2.77,1.1,5.46,30.74,36.16,0.68,19.08,0.57,107.59,15.74,05-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
05-Jun-2019 - 00:00,37.07,977.41,156.75,65.19,36.3,182.5,126.21,1.7,1.55,8.62,31.59,35.69,0.66,18.85,0.54,93.59,19.76,06-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
06-Jun-2019 - 00:00,36.73,977.84,138.25,54.58,31.62,210.96,213.07,1.93,0.95,7.67,25.59,32.78,2.36,17.62,0.31,86.56,16.49,07-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
07-Jun-2019 - 00:00,34.43,980.7,113.81,51.5,40.19,201.74,117.34,1.84,1.21,7.93,28.84,31.39,0.57,16.45,0.47,103.74,15.42,08-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
08-Jun-2019 - 00:00,36.25,979.16,114.79,53.35,35.66,226.43,192.02,1.53,1.12,7.24,30.43,35.59,1.54,18.85,0.41,97.21,13.22,09-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
09-Jun-2019 - 00:00,36.84,976.43,149.75,69.96,25.49,223.39,179.71,1.42,1.6,7.28,23.25,44.13,5.62,25.65,0.45,95.13,27.42,10-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
10-Jun-2019 - 00:00,37.6,973.73,142.31,60.86,24.34,178.8,216.18,1.61,1.31,12.58,20.56,51.22,1.81,27.64,0.43,78.18,20.42,11-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
11-Jun-2019 - 00:00,37.81,973.88,433.53,95.87,20.23,157.24,232.34,2.38,0.7,2.55,17.81,27.48,1.02,13.94,0.18,63.07,12.05,12-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
12-Jun-2019 - 00:00,35.91,976.48,228.9,71.24,34.83,203.67,134.14,3.62,0.65,5.5,29.81,30.73,0.65,16.08,0.31,98.5,13.39,13-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
13-Jun-2019 - 00:00,36.05,976.98,146.53,54.6,36.97,210.67,235.61,2.4,0.63,5.69,29.28,27.89,3.76,15.02,0.31,87.76,14.75,14-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
14-Jun-2019 - 00:00,36.63,975.94,127.91,51.46,26.46,228.36,300.36,2.53,0.95,1.12,19.24,26.31,3.12,13.9,0.21,104.43,19.69,15-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
15-Jun-2019 - 00:00,36.91,975.53,188.51,71.32,24.19,210.03,294.23,2.8,1.05,1.67,17.01,28.94,1.39,14.74,0.27,90.38,21.09,16-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
16-Jun-2019 - 00:00,30.37,977.94,83.82,41.55,57.01,118.62,296.8,3.62,0.43,0.32,29.53,21.56,0.71,11.16,0.24,62.35,13.76,17-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
17-Jun-2019 - 00:00,29.1,977.29,75.17,44.24,55.23,80.2,240.99,2.91,0.72,1.78,31.43,33.78,1.22,18.43,0.28,58.06,20.92,18-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
18-Jun-2019 - 00:00,24.45,980.15,38.02,27.77,70.98,118.23,117.39,3.09,0.27,2.4,25.55,20.38,1.68,10.63,0.13,97.25,7.78,19-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
19-Jun-2019 - 00:00,31.3,977.74,66.3,34.4,49.05,7.0,154.97,2.92,0.43,3.92,29.1,29.19,1.3,16.49,0.35,58.26,10.4,20-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
20-Jun-2019 - 00:00,32.8,978.84,89.92,39.44,46.97,206.4,155.18,1.72,0.53,5.12,34.55,31.99,2.19,18.55,0.27,92.78,12.09,21-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
21-Jun-2019 - 00:00,33.97,978.92,145.08,71.17,44.99,156.55,174.43,1.41,1.47,10.88,36.66,39.99,1.78,22.67,0.46,103.91,20.66,22-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
22-Jun-2019 - 00:00,34.57,978.3,103.27,59.85,37.73,218.9,139.79,1.5,0.93,6.65,29.64,35.61,1.25,19.63,0.38,114.96,21.54,23-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
23-Jun-2019 - 00:00,35.82,978.19,85.29,39.38,43.77,187.75,150.21,2.99,0.61,2.31,33.71,23.56,0.89,13.2,0.34,106.08,10.16,24-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
24-Jun-2019 - 00:00,31.73,980.22,68.38,25.69,59.67,135.51,143.01,2.28,0.54,3.42,32.55,29.27,1.39,16.56,0.36,59.99,13.15,25-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
25-Jun-2019 - 00:00,33.7,979.35,85.86,50.62,55.8,159.86,163.76,1.23,1.72,9.15,32.84,36.88,1.9,21.07,0.59,68.91,14.84,26-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
26-Jun-2019 - 00:00,35.79,976.67,86.43,53.18,45.4,200.39,225.48,1.76,1.41,8.85,28.04,26.98,1.43,15.43,0.53,71.18,22.08,27-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
27-Jun-2019 - 00:00,33.99,974.92,160.45,74.48,43.23,181.14,271.92,1.87,1.03,5.89,20.74,22.25,1.06,12.52,0.76,64.67,27.89,28-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
28-Jun-2019 - 00:00,35.04,973.83,145.39,51.44,39.37,170.06,305.16,2.79,0.72,1.33,16.14,18.66,0.87,10.52,0.58,54.56,23.3,29-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
29-Jun-2019 - 00:00,37.47,973.03,145.07,55.4,33.6,198.49,283.38,2.35,0.63,0.88,13.31,16.32,0.84,9.25,0.55,48.85,18.4,30-Jun-2019 - 00:00,"Najafgarh, Delhi - DPCC"
30-Jun-2019 - 00:00,37.05,973.48,149.66,57.8,34.25,183.24,243.75,2.44,0.64,1.65,12.26,17.11,0.97,9.79,0.56,54.84,19.26,01-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
01-Jul-2019 - 00:00,35.94,974.58,103.24,46.93,37.11,193.78,199.08,1.71,0.49,2.02,12.47,17.51,1.49,10.25,0.55,63.42,19.3,02-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
02-Jul-2019 - 00:00,35.57,975.68,133.71,65.46,42.25,180.13,181.84,2.16,0.75,6.53,14.54,17.72,0.74,9.95,0.74,91.23,16.96,03-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
03-Jul-2019 - 00:00,35.97,976.0,63.5,34.12,47.58,155.07,161.41,2.4,0.54,4.53,17.68,20.4,0.86,10.96,0.66,53.14,10.66,04-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
04-Jul-2019 - 00:00,31.51,975.17,35.25,29.97,70.3,71.93,185.68,1.92,0.92,13.67,22.24,26.88,1.82,14.7,0.76,36.81,10.84,05-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
05-Jul-2019 - 00:00,30.0,973.5,48.03,51.12,77.84,103.9,168.93,1.82,0.81,15.88,21.63,36.61,3.08,21.61,0.82,20.66,11.2,06-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
06-Jul-2019 - 00:00,30.75,972.21,69.95,29.91,71.52,163.4,182.35,1.77,0.51,6.21,42.14,30.32,1.93,17.17,0.79,37.15,11.4,07-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
07-Jul-2019 - 00:00,30.96,973.07,66.19,41.55,71.25,149.8,209.71,1.18,0.41,5.74,39.59,27.21,2.21,15.1,0.77,38.31,13.38,08-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
08-Jul-2019 - 00:00,30.94,973.28,93.06,30.71,72.32,151.22,206.82,1.24,0.32,1.46,26.57,24.7,3.53,14.79,0.64,23.59,9.88,09-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
09-Jul-2019 - 00:00,30.82,973.18,98.44,33.3,69.48,141.71,226.7,2.17,0.37,6.64,26.8,24.45,0.67,13.13,0.59,24.95,9.44,10-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
10-Jul-2019 - 00:00,33.26,972.21,218.9,53.47,57.16,158.68,227.17,1.99,0.21,2.96,28.95,23.77,2.33,13.85,0.63,27.21,13.27,11-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
11-Jul-2019 - 00:00,34.63,972.51,243.88,53.43,52.68,162.56,272.32,2.35,0.21,2.98,24.54,23.18,0.58,12.24,0.64,32.04,,12-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
12-Jul-2019 - 00:00,34.45,974.98,198.21,47.67,49.78,142.69,258.08,2.35,0.35,3.96,22.78,22.12,0.72,11.61,0.61,25.11,,13-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
13-Jul-2019 - 00:00,35.14,975.49,154.41,39.9,44.38,161.07,251.92,3.15,0.24,2.67,18.67,18.43,0.47,9.4,0.59,37.27,11.49,14-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
14-Jul-2019 - 00:00,34.22,974.45,158.78,43.56,49.08,137.97,246.9,2.64,0.48,5.29,17.34,22.3,1.62,11.71,0.62,33.79,14.88,15-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
15-Jul-2019 - 00:00,28.88,974.52,94.99,33.68,71.05,80.88,154.28,2.24,0.94,13.59,15.49,32.27,2.4,18.21,0.79,27.13,14.7,16-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
16-Jul-2019 - 00:00,28.23,977.71,42.29,28.78,71.01,117.1,102.93,1.96,1.27,19.54,19.5,32.54,1.81,18.72,0.87,37.81,11.9,17-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
17-Jul-2019 - 00:00,27.38,978.95,24.38,21.05,61.26,98.82,147.03,1.39,0.51,9.31,21.58,20.0,1.12,11.43,0.69,41.48,9.89,18-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
18-Jul-2019 - 00:00,26.24,978.77,15.91,15.04,80.61,101.69,200.14,1.71,0.21,6.74,18.86,17.84,0.82,10.04,0.67,56.98,11.56,19-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
19-Jul-2019 - 00:00,31.09,978.67,55.59,47.88,59.27,197.35,180.6,1.12,0.84,16.03,18.09,27.72,6.35,19.78,0.96,52.88,13.44,20-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
20-Jul-2019 - 00:00,29.6,979.42,38.68,25.22,59.07,133.73,154.6,1.25,0.74,11.46,25.34,22.26,1.22,12.63,0.82,38.92,9.87,21-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
21-Jul-2019 - 00:00,31.11,979.3,86.06,38.69,63.48,250.05,155.33,1.71,2.56,25.16,29.19,29.73,5.93,20.49,1.06,54.93,8.97,22-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
22-Jul-2019 - 00:00,33.01,976.54,78.25,37.73,57.24,155.56,128.64,1.25,2.46,21.11,41.99,45.77,2.34,25.87,1.42,,9.4,23-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
23-Jul-2019 - 00:00,33.14,976.59,102.05,50.15,59.49,143.56,171.29,0.92,2.19,19.63,30.54,38.19,6.08,25.2,1.23,71.96,10.93,24-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
24-Jul-2019 - 00:00,32.17,975.05,93.05,48.53,34.46,151.99,211.69,1.76,1.53,14.34,24.36,23.94,1.54,13.97,0.87,62.3,10.89,25-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
25-Jul-2019 - 00:00,27.91,976.97,19.12,8.18,51.82,51.13,221.87,1.72,0.31,3.67,18.83,17.24,1.39,10.28,0.68,44.65,11.68,26-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
26-Jul-2019 - 00:00,27.26,975.19,31.12,22.35,79.72,67.25,157.44,1.31,0.96,17.72,24.57,24.62,1.88,14.64,0.76,35.41,9.35,27-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
27-Jul-2019 - 00:00,28.25,975.07,25.01,16.48,79.93,135.35,125.65,1.98,1.2,13.63,23.59,27.48,2.57,16.61,1.05,34.72,10.95,28-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
28-Jul-2019 - 00:00,29.11,976.93,24.88,13.33,69.7,137.38,133.09,2.44,0.58,6.2,20.46,19.07,1.49,11.36,0.74,32.73,8.9,29-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
29-Jul-2019 - 00:00,30.49,978.26,37.83,13.71,65.56,140.31,130.76,2.09,0.8,7.73,24.55,24.17,2.28,14.25,0.78,32.71,9.51,30-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
30-Jul-2019 - 00:00,30.2,977.95,55.48,19.95,65.35,118.44,114.33,1.64,2.28,16.02,30.99,32.12,2.21,18.77,0.91,35.42,11.95,31-Jul-2019 - 00:00,"Najafgarh, Delhi - DPCC"
31-Jul-2019 - 00:00,30.58,977.31,50.52,22.71,66.1,121.27,136.04,1.73,1.07,9.94,28.86,24.1,1.57,14.1,0.84,42.61,9.82,01-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
01-Aug-2019 - 00:00,31.3,976.71,63.52,29.5,61.73,157.36,148.74,1.8,1.09,10.65,30.9,25.34,1.65,14.82,0.85,43.94,10.66,02-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
02-Aug-2019 - 00:00,29.46,975.89,56.69,34.82,60.14,117.06,158.28,1.41,2.07,24.53,31.57,27.6,1.94,16.25,1.01,32.97,10.62,03-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
03-Aug-2019 - 00:00,28.69,975.84,46.02,32.01,68.92,113.71,150.97,1.39,2.41,26.46,31.34,35.09,4.32,22.2,1.04,27.04,9.93,04-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
04-Aug-2019 - 00:00,30.09,974.88,44.4,35.27,67.85,158.53,155.71,1.33,2.43,20.99,25.17,32.38,5.52,21.74,1.11,39.27,11.15,05-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
05-Aug-2019 - 00:00,30.9,973.24,49.06,36.91,66.69,152.04,155.43,1.29,1.65,14.96,26.9,26.15,2.75,16.09,0.96,37.46,9.26,06-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
06-Aug-2019 - 00:00,27.84,973.74,37.36,26.64,86.94,46.52,155.57,1.37,1.42,14.57,30.55,28.37,2.71,17.3,0.94,18.02,8.77,07-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
07-Aug-2019 - 00:00,29.83,973.62,49.52,12.25,71.63,128.15,146.68,1.23,2.67,24.16,24.52,39.22,6.38,26.04,1.21,35.37,9.77,08-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
08-Aug-2019 - 00:00,32.08,973.27,34.95,13.04,60.48,169.54,133.98,1.37,1.09,13.33,14.41,31.55,3.49,19.62,1.2,33.9,9.29,09-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
09-Aug-2019 - 00:00,31.2,975.08,23.76,4.98,64.51,129.14,127.17,3.07,0.42,5.02,22.83,22.08,1.8,13.2,0.73,34.33,9.99,10-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
10-Aug-2019 - 00:00,30.0,975.97,22.21,7.96,59.67,126.58,146.95,3.44,0.45,5.47,15.67,19.93,1.69,11.96,3.1,32.46,9.3,11-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
11-Aug-2019 - 00:00,31.91,977.38,26.98,12.48,63.28,196.35,182.6,2.08,0.51,4.91,17.79,20.29,1.36,11.86,2.2,32.22,9.61,12-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
12-Aug-2019 - 00:00,29.82,977.62,15.12,7.23,65.0,110.39,236.08,1.83,0.32,1.7,15.73,16.03,1.35,9.62,1.69,23.18,9.02,13-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
13-Aug-2019 - 00:00,29.61,977.88,21.88,10.97,78.45,169.82,269.06,1.99,0.33,2.56,19.63,16.58,1.58,10.1,2.78,25.01,8.53,14-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
14-Aug-2019 - 00:00,29.22,979.17,28.5,25.84,75.44,114.52,192.72,0.99,0.91,13.51,25.17,24.85,2.49,15.24,0.35,33.77,9.23,15-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
15-Aug-2019 - 00:00,30.1,978.8,38.93,20.92,66.03,158.68,133.4,1.68,0.92,9.1,20.47,21.23,1.41,12.45,0.6,32.97,9.91,16-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
16-Aug-2019 - 00:00,28.81,976.94,23.55,8.05,66.34,103.81,129.67,2.36,0.44,4.49,19.61,20.81,1.52,12.3,0.46,33.78,12.06,17-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
17-Aug-2019 - 00:00,26.88,976.05,11.0,4.33,85.41,65.48,148.0,3.27,0.33,4.77,18.92,17.43,1.83,10.77,0.0,13.65,10.25,18-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
18-Aug-2019 - 00:00,27.61,980.02,15.4,5.52,77.76,102.74,258.41,2.04,0.48,3.9,14.56,16.79,1.54,10.14,0.0,27.04,9.53,19-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
19-Aug-2019 - 00:00,30.18,982.12,45.41,17.88,65.44,198.31,233.38,1.21,1.11,11.35,14.4,22.42,4.18,15.3,0.0,28.72,8.4,20-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
20-Aug-2019 - 00:00,30.26,981.58,57.46,24.38,61.05,189.57,308.67,1.81,1.91,8.86,22.65,18.65,1.36,10.96,0.24,35.47,8.75,21-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
21-Aug-2019 - 00:00,30.73,980.06,87.86,27.11,58.98,189.72,270.35,1.65,0.61,4.25,35.46,19.84,1.74,11.96,0.57,42.84,9.37,22-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
22-Aug-2019 - 00:00,29.49,980.5,72.66,22.23,61.79,174.74,234.9,1.45,1.24,13.55,25.92,31.88,2.59,19.08,0.64,28.91,10.54,23-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
