from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,AT,RH,BP,WS,WD,to date,station
08-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,09-Feb-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
09-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,10-Feb-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
10-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,11-Feb-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
11-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,12-Feb-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
12-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,13-Feb-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
13-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,14-Feb-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
14-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,15-Feb-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
15-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,16-Feb-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
16-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,17-Feb-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
17-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,18-Feb-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
18-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,19-Feb-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
19-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,20-Feb-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
20-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,21-Feb-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
21-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,22-Feb-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
22-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,23-Feb-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
23-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,24-Feb-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
24-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,25-Feb-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
25-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,26-Feb-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
26-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,27-Feb-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
27-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,28-Feb-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
28-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,01-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
01-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,02-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
02-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,03-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
03-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,04-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
04-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,05-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
05-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,06-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
06-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,07-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
07-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,08-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
08-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,09-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
09-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,10-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
10-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,11-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
11-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,12-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
12-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,13-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
13-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,14-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
14-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,15-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
15-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,16-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
16-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,17-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
17-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,18-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
18-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,19-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
19-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,20-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
20-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,21-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
21-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,22-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
22-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,23-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
23-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,24-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
24-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,25-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
25-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,26-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
26-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,27-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
27-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,28-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
28-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,29-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
29-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,30-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
30-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,31-Mar-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
31-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,01-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
01-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,02-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
02-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,03-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
03-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,04-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
04-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,05-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
05-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,06-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
06-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,07-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
07-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,08-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
08-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,09-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
09-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,10-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
10-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,11-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
11-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,12-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
12-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,13-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
13-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,14-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
14-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,15-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
15-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,16-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
16-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,17-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
17-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,18-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
18-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,19-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
19-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,20-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
20-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,21-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
21-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,22-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
22-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,23-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
23-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,24-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
24-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,25-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
25-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,26-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
26-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,27-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
27-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,28-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
28-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,29-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
29-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,30-Apr-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
30-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,01-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
01-May-2019 - 00:00,,,,,,,,,,,,,,,,,02-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
02-May-2019 - 00:00,,,,,,,,,,,,,,,,,03-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
03-May-2019 - 00:00,,,,,,,,,,,,,,,,,04-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
04-May-2019 - 00:00,,,,,,,,,,,,,,,,,05-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
05-May-2019 - 00:00,,,,,,,,,,,,,,,,,06-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
06-May-2019 - 00:00,,,,,,,,,,,,,,,,,07-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
07-May-2019 - 00:00,,,,,,,,,,,,,,,,,08-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
08-May-2019 - 00:00,,,,,,,,,,,,,,,,,09-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
09-May-2019 - 00:00,,,,,,,,,,,,,,,,,10-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
10-May-2019 - 00:00,,,,,,,,,,,,,,,,,11-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
11-May-2019 - 00:00,,,,,,,,,,,,,,,,,12-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
12-May-2019 - 00:00,,,,,,,,,,,,,,,,,13-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
13-May-2019 - 00:00,,,,,,,,,,,,,,,,,14-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
14-May-2019 - 00:00,,,,,,,,,,,,,,,,,15-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
15-May-2019 - 00:00,,,,,,,,,,,,,,,,,16-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
16-May-2019 - 00:00,,,,,,,,,,,,,,,,,17-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
17-May-2019 - 00:00,,,,,,,,,,,,,,,,,18-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
18-May-2019 - 00:00,,,,,,,,,,,,,,,,,19-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
19-May-2019 - 00:00,,,,,,,,,,,,,,,,,20-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
20-May-2019 - 00:00,,,,,,,,,,,,,,,,,21-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
21-May-2019 - 00:00,,,,,,,,,,,,,,,,,22-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
22-May-2019 - 00:00,,,,,,,,,,,,,,,,,23-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
23-May-2019 - 00:00,,,,,,,,,,,,,,,,,24-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
24-May-2019 - 00:00,,,,,,,,,,,,,,,,,25-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
25-May-2019 - 00:00,,,,,,,,,,,,,,,,,26-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
26-May-2019 - 00:00,,,,,,,,,,,,,,,,,27-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
27-May-2019 - 00:00,,,,,,,,,,,,,,,,,28-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
28-May-2019 - 00:00,,,,,,,,,,,,,,,,,29-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
29-May-2019 - 00:00,,,,,,,,,,,,,,,,,30-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
30-May-2019 - 00:00,,,,,,,,,,,,,,,,,31-May-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
31-May-2019 - 00:00,,,,,,,,,,,,,,,,,01-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
01-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,02-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
02-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,03-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
03-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,04-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
04-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,05-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
05-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,06-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
06-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,07-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
07-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,08-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
08-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,09-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
09-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,10-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
10-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,11-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
11-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,12-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
12-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,13-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
13-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,14-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
14-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,15-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
15-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,16-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
16-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,17-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
17-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,18-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
18-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,19-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
19-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,20-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
20-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,21-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
21-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,22-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
22-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,23-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
23-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,24-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
24-Jun-2019 - 00:00,15.96,160.87,16.57,4.64,12.58,19.06,8.24,0.58,90.53,0.73,198.56,33.75,64.46,741.0,0.86,270.33,25-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
25-Jun-2019 - 00:00,37.52,147.48,24.17,4.46,16.57,23.17,10.03,0.8,83.66,1.12,205.53,35.21,60.33,741.0,0.52,239.59,26-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
26-Jun-2019 - 00:00,61.41,219.7,36.78,5.52,24.14,32.35,12.08,0.97,70.96,1.46,201.47,38.0,51.36,740.53,0.57,184.18,27-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
27-Jun-2019 - 00:00,72.32,326.17,43.11,8.23,29.71,39.02,15.15,0.94,74.5,1.49,198.91,37.69,45.43,740.0,0.63,129.18,28-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
28-Jun-2019 - 00:00,50.56,310.6,42.17,10.29,30.89,35.04,13.66,0.91,67.85,1.54,194.77,38.41,40.27,740.0,0.72,113.58,29-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
29-Jun-2019 - 00:00,54.81,376.56,28.8,6.4,20.61,27.07,13.69,0.69,76.98,1.05,191.39,40.0,35.89,740.0,0.74,121.04,30-Jun-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
30-Jun-2019 - 00:00,67.51,436.27,33.21,11.37,27.0,35.16,15.01,0.82,77.27,1.39,189.57,39.93,39.14,740.0,0.68,178.27,01-Jul-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
01-Jul-2019 - 00:00,58.16,278.33,28.2,5.76,19.77,41.32,11.28,0.8,98.16,1.23,192.41,38.05,49.81,740.11,0.58,220.98,02-Jul-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
02-Jul-2019 - 00:00,59.57,269.44,25.44,3.84,16.74,40.79,10.2,0.67,102.68,1.1,192.56,37.42,52.94,740.25,0.67,222.49,03-Jul-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
03-Jul-2019 - 00:00,29.96,136.16,21.14,5.64,15.91,28.56,8.82,,63.0,0.93,185.95,36.14,59.12,740.29,0.65,283.92,04-Jul-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
04-Jul-2019 - 00:00,36.16,173.52,25.63,6.49,19.0,33.1,7.78,,46.94,1.14,182.3,34.21,69.72,740.0,0.67,244.33,05-Jul-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
05-Jul-2019 - 00:00,35.09,108.21,28.97,8.07,22.05,43.03,5.76,,38.39,1.61,191.77,31.5,80.96,740.0,0.59,170.78,06-Jul-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
06-Jul-2019 - 00:00,27.18,90.68,26.74,10.33,22.02,39.07,7.49,1.61,29.36,1.03,179.8,33.22,73.16,740.0,0.63,264.71,07-Jul-2019 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
