from date,NO2,NH3,CO,Ozone,SO2,Benzene,PM10,PM2.5,NOx,NO,WS,WD,RH,SR,MP-Xylene,Eth-Benzene,to date,station
10-Nov-2019 - 00:00,2.4,8.15,1.16,11.74,34.51,0.0,76.49,15.3,38.44,36.07,3.32,136.5,73.75,164.0,0.1,0.03,11-Nov-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
11-Nov-2019 - 00:00,6.8,6.95,1.68,12.4,35.34,4.46,158.68,30.94,27.4,20.6,3.2,124.81,71.47,188.68,0.17,0.05,12-Nov-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
12-Nov-2019 - 00:00,10.4,5.47,1.7,12.62,38.86,0.0,228.87,58.41,14.43,5.39,3.17,142.66,69.76,193.14,0.16,0.05,13-Nov-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
13-Nov-2019 - 00:00,10.29,5.49,1.9,12.97,39.21,0.0,203.64,72.15,14.62,5.56,3.15,140.34,72.99,161.41,0.14,0.05,14-Nov-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
14-Nov-2019 - 00:00,10.71,5.45,2.2,13.33,39.11,0.0,252.36,80.61,14.1,4.76,3.35,142.25,72.99,191.98,0.15,0.05,15-Nov-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
15-Nov-2019 - 00:00,9.29,5.63,2.22,13.07,38.95,0.0,254.38,81.64,15.9,6.6,3.15,141.56,74.26,159.24,0.14,0.05,16-Nov-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
16-Nov-2019 - 00:00,9.09,5.65,2.33,13.41,38.63,2.41,251.59,83.92,16.1,7.01,3.38,150.32,73.84,145.22,0.13,0.05,17-Nov-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
17-Nov-2019 - 00:00,8.38,5.73,1.94,12.52,39.12,0.0,245.04,63.08,16.93,8.56,3.54,146.64,72.59,195.33,0.12,0.04,18-Nov-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
18-Nov-2019 - 00:00,8.57,5.82,2.36,12.39,42.29,0.0,273.58,106.21,17.63,9.82,3.44,127.91,88.18,,0.16,0.06,19-Nov-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
19-Nov-2019 - 00:00,9.92,5.54,1.96,12.6,39.36,0.0,190.28,67.39,15.08,5.8,3.2,172.22,75.07,173.68,0.11,0.04,20-Nov-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
20-Nov-2019 - 00:00,9.53,5.59,1.43,12.41,39.13,0.0,198.17,62.18,15.6,6.21,3.42,177.09,71.92,187.0,0.1,0.03,21-Nov-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
21-Nov-2019 - 00:00,8.88,5.68,1.88,12.54,39.21,0.0,248.94,76.35,16.34,7.46,3.68,156.47,75.83,140.63,0.11,0.04,22-Nov-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
22-Nov-2019 - 00:00,8.68,5.71,2.15,12.55,40.09,0.0,288.27,93.95,16.59,7.92,3.3,152.55,77.59,115.86,0.13,0.04,23-Nov-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
23-Nov-2019 - 00:00,7.86,5.89,2.53,13.24,39.99,0.0,251.34,100.93,18.31,11.03,3.5,166.48,75.4,124.46,0.12,0.04,24-Nov-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
24-Nov-2019 - 00:00,,,,,,,,,,,,,,,,,25-Nov-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
25-Nov-2019 - 00:00,,,,,,,,,,,,,,,,,26-Nov-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
26-Nov-2019 - 00:00,,,,,,,,,,,,,,,,,27-Nov-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
27-Nov-2019 - 00:00,,,,,,,,,,,,,,,,,28-Nov-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
28-Nov-2019 - 00:00,6.13,3.28,0.76,12.92,15.33,0.0,239.03,72.8,10.19,4.51,,,,,1.41,1.33,29-Nov-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
29-Nov-2019 - 00:00,14.04,12.26,1.99,14.98,28.15,1.06,357.69,124.3,81.28,142.55,,,,,0.14,0.06,30-Nov-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
30-Nov-2019 - 00:00,30.26,33.59,1.38,17.53,38.7,0.39,328.89,100.84,231.9,241.95,3.04,135.75,68.5,158.01,0.14,0.05,01-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
01-Dec-2019 - 00:00,33.72,38.38,0.99,24.96,44.58,0.0,259.87,81.67,188.5,190.44,3.45,179.84,77.44,159.78,0.11,0.03,02-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
02-Dec-2019 - 00:00,41.18,41.81,1.0,28.54,36.43,0.0,267.6,82.14,160.07,168.45,3.48,179.44,78.27,81.07,0.11,0.03,03-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
03-Dec-2019 - 00:00,40.32,45.43,1.55,24.71,30.78,0.0,260.47,97.91,195.11,183.34,3.74,175.09,76.81,147.53,0.13,0.04,04-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
04-Dec-2019 - 00:00,23.42,,0.7,25.37,27.36,0.0,210.7,60.9,38.55,20.18,3.28,161.34,69.01,129.78,0.1,0.03,05-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
05-Dec-2019 - 00:00,33.73,,1.76,23.84,25.95,0.0,283.68,74.15,43.56,11.81,3.16,149.37,66.14,242.04,0.1,0.03,06-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
06-Dec-2019 - 00:00,33.75,,2.62,17.14,27.24,0.0,302.3,80.68,43.44,11.69,3.2,137.26,66.99,168.6,0.13,0.04,07-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
07-Dec-2019 - 00:00,33.9,,2.7,18.66,23.1,0.0,291.96,87.71,43.26,11.23,3.29,151.74,73.26,168.25,0.12,0.04,08-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
08-Dec-2019 - 00:00,33.61,,2.6,5.71,21.49,0.0,255.27,79.29,43.58,11.53,3.44,162.06,76.06,132.86,0.12,0.04,09-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
09-Dec-2019 - 00:00,34.57,,2.67,13.82,19.07,0.0,280.28,87.03,42.34,10.63,3.53,155.17,77.3,84.58,0.12,0.04,10-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
10-Dec-2019 - 00:00,35.29,,2.43,12.62,18.32,0.0,246.92,79.11,41.32,10.38,3.15,166.5,75.72,155.17,0.1,0.03,11-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
11-Dec-2019 - 00:00,34.98,,2.68,14.77,18.32,0.0,296.43,89.74,41.76,10.5,3.24,145.22,73.55,133.36,0.11,0.04,12-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
12-Dec-2019 - 00:00,35.31,,2.46,8.97,16.44,0.0,241.9,79.87,41.35,9.24,3.37,182.92,75.59,177.75,0.1,0.04,13-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
13-Dec-2019 - 00:00,36.84,,1.43,20.48,10.23,0.0,130.67,39.27,39.23,7.86,3.18,194.31,80.22,94.13,0.05,0.02,14-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
14-Dec-2019 - 00:00,37.06,,1.82,16.49,10.15,0.0,202.76,58.34,38.96,7.1,3.2,182.69,76.16,161.32,0.07,0.02,15-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
15-Dec-2019 - 00:00,36.64,,1.58,13.96,8.35,0.0,131.32,40.08,39.62,8.51,3.16,191.99,77.42,150.53,0.06,0.02,16-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
16-Dec-2019 - 00:00,36.32,,1.85,22.58,5.69,0.0,190.37,58.51,39.98,8.89,3.21,192.71,77.61,102.84,0.06,0.02,17-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
17-Dec-2019 - 00:00,35.96,,1.89,21.65,4.54,0.0,198.73,61.71,40.52,8.86,3.21,181.54,76.92,88.52,0.06,0.02,18-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
18-Dec-2019 - 00:00,35.0,24.18,2.21,10.97,3.45,0.0,218.89,58.67,45.38,18.89,3.3,178.36,82.37,89.71,1.59,1.54,19-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
19-Dec-2019 - 00:00,29.56,,1.94,28.19,12.12,0.0,217.01,58.72,49.89,20.8,3.46,171.7,73.76,161.92,1.07,1.03,20-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
20-Dec-2019 - 00:00,31.68,,1.82,27.94,27.3,0.0,309.68,108.18,46.91,15.96,3.25,165.34,75.18,163.35,0.08,0.03,21-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
21-Dec-2019 - 00:00,28.35,,0.82,18.28,40.02,0.0,306.94,206.48,51.73,23.38,3.17,178.24,80.37,109.94,0.09,0.03,22-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
22-Dec-2019 - 00:00,33.04,,0.56,27.64,26.89,0.0,267.97,177.55,44.89,11.85,3.32,183.03,77.62,157.1,0.09,0.03,23-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
23-Dec-2019 - 00:00,32.99,,0.29,39.09,15.35,0.0,226.34,162.46,44.98,11.99,3.16,183.32,77.69,81.89,0.89,0.85,24-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
24-Dec-2019 - 00:00,32.97,,0.82,22.49,16.85,0.0,285.65,179.17,45.06,12.09,3.44,177.26,72.51,142.22,0.07,0.02,25-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
25-Dec-2019 - 00:00,33.49,,0.43,30.54,11.65,0.0,201.47,134.52,44.34,10.85,3.05,183.59,72.22,175.15,0.06,0.02,26-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
26-Dec-2019 - 00:00,31.67,45.94,0.18,22.54,9.04,0.0,158.4,107.98,49.25,18.22,3.21,194.97,91.24,19.13,2.36,2.34,27-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
27-Dec-2019 - 00:00,33.05,,0.69,14.55,17.09,0.0,,120.38,44.74,11.7,3.11,183.18,84.86,38.65,0.05,0.02,28-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
28-Dec-2019 - 00:00,29.22,3.78,1.26,13.62,22.55,0.71,458.11,146.2,33.76,18.42,3.05,142.64,71.32,178.59,24.03,24.01,29-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
29-Dec-2019 - 00:00,26.76,1.61,2.55,18.03,32.5,0.0,355.04,152.1,6.22,2.58,3.12,129.58,66.89,218.76,65.53,65.53,30-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
30-Dec-2019 - 00:00,24.26,1.97,2.25,23.27,30.17,0.0,336.11,189.24,9.03,3.26,3.2,153.63,71.45,152.82,40.73,40.7,31-Dec-2019 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
31-Dec-2019 - 00:00,19.98,2.68,2.22,,30.36,0.0,308.25,206.13,14.9,,3.86,143.61,91.23,,0.11,0.04,01-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
