from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
22-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,23-Jan-2019 - 00:00,"Kurla, Mumbai - MPCB"
23-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,24-Jan-2019 - 00:00,"Kurla, Mumbai - MPCB"
24-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,25-Jan-2019 - 00:00,"Kurla, Mumbai - MPCB"
25-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,26-Jan-2019 - 00:00,"Kurla, Mumbai - MPCB"
26-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,27-Jan-2019 - 00:00,"Kurla, Mumbai - MPCB"
27-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,28-Jan-2019 - 00:00,"Kurla, Mumbai - MPCB"
28-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,29-Jan-2019 - 00:00,"Kurla, Mumbai - MPCB"
29-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,30-Jan-2019 - 00:00,"Kurla, Mumbai - MPCB"
30-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,31-Jan-2019 - 00:00,"Kurla, Mumbai - MPCB"
31-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,01-Feb-2019 - 00:00,"Kurla, Mumbai - MPCB"
01-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,02-Feb-2019 - 00:00,"Kurla, Mumbai - MPCB"
02-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,03-Feb-2019 - 00:00,"Kurla, Mumbai - MPCB"
03-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,04-Feb-2019 - 00:00,"Kurla, Mumbai - MPCB"
04-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,05-Feb-2019 - 00:00,"Kurla, Mumbai - MPCB"
05-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,06-Feb-2019 - 00:00,"Kurla, Mumbai - MPCB"
06-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,07-Feb-2019 - 00:00,"Kurla, Mumbai - MPCB"
07-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,08-Feb-2019 - 00:00,"Kurla, Mumbai - MPCB"
08-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,09-Feb-2019 - 00:00,"Kurla, Mumbai - MPCB"
09-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,10-Feb-2019 - 00:00,"Kurla, Mumbai - MPCB"
10-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,11-Feb-2019 - 00:00,"Kurla, Mumbai - MPCB"
11-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,12-Feb-2019 - 00:00,"Kurla, Mumbai - MPCB"
12-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,13-Feb-2019 - 00:00,"Kurla, Mumbai - MPCB"
13-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,14-Feb-2019 - 00:00,"Kurla, Mumbai - MPCB"
14-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,15-Feb-2019 - 00:00,"Kurla, Mumbai - MPCB"
15-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,16-Feb-2019 - 00:00,"Kurla, Mumbai - MPCB"
16-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,17-Feb-2019 - 00:00,"Kurla, Mumbai - MPCB"
17-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,18-Feb-2019 - 00:00,"Kurla, Mumbai - MPCB"
18-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,19-Feb-2019 - 00:00,"Kurla, Mumbai - MPCB"
19-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,20-Feb-2019 - 00:00,"Kurla, Mumbai - MPCB"
20-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,21-Feb-2019 - 00:00,"Kurla, Mumbai - MPCB"
21-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,22-Feb-2019 - 00:00,"Kurla, Mumbai - MPCB"
22-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,23-Feb-2019 - 00:00,"Kurla, Mumbai - MPCB"
23-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,24-Feb-2019 - 00:00,"Kurla, Mumbai - MPCB"
24-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,25-Feb-2019 - 00:00,"Kurla, Mumbai - MPCB"
25-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,26-Feb-2019 - 00:00,"Kurla, Mumbai - MPCB"
26-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,27-Feb-2019 - 00:00,"Kurla, Mumbai - MPCB"
27-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,28-Feb-2019 - 00:00,"Kurla, Mumbai - MPCB"
28-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,01-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
01-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,02-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
02-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,03-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
03-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,04-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
04-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,05-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
05-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,06-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
06-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,07-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
07-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,08-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
08-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,09-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
09-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,10-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
10-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,11-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
11-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,12-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
12-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,13-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
13-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,14-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
14-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,15-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
15-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,16-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
16-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,17-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
17-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,18-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
18-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,19-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
19-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,20-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
20-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,21-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
21-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,22-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
22-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,23-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
23-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,24-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
24-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,25-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
25-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,26-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
26-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,27-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
27-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,28-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
28-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,29-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
29-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,30-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
30-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,31-Mar-2019 - 00:00,"Kurla, Mumbai - MPCB"
31-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,01-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
01-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,02-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
02-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,03-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
03-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,04-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
04-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,05-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
05-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,06-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
06-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,07-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
07-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,08-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
08-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,09-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
09-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,10-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
10-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,11-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
11-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,12-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
12-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,13-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
13-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,14-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
14-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,15-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
15-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,16-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
16-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,17-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
17-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,18-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
18-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,19-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
19-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,20-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
20-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,21-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
21-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,22-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
22-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,23-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
23-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,24-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
24-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,25-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
25-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,26-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
26-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,27-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
27-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,28-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
28-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,29-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
29-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,30-Apr-2019 - 00:00,"Kurla, Mumbai - MPCB"
30-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,01-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
01-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,02-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
02-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,03-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
03-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,04-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
04-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,05-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
05-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,06-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
06-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,07-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
07-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,08-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
08-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,09-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
09-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,10-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
10-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,11-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
11-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,12-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
12-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,13-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
13-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,14-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
14-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,15-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
15-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,16-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
16-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,17-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
17-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,18-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
18-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,19-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
19-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,20-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
20-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,21-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
21-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,22-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
22-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,23-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
23-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,24-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
24-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,25-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
25-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,26-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
26-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,27-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
27-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,28-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
28-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,29-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
29-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,30-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
30-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,31-May-2019 - 00:00,"Kurla, Mumbai - MPCB"
31-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,01-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
01-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,02-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
02-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,03-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
03-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,04-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
04-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,05-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
05-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,06-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
06-Jun-2019 - 00:00,19.36,139.53,12.32,65.52,53.2,9.32,30.69,0.16,8.43,1.78,12.94,5.55,30.48,71.91,,244.51,1.72,255.54,07-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
07-Jun-2019 - 00:00,17.68,133.98,12.42,64.16,52.12,7.52,17.57,0.16,7.26,2.09,8.58,4.99,30.73,72.52,,380.36,1.5,250.1,08-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
08-Jun-2019 - 00:00,19.35,136.83,9.3,67.37,62.76,7.82,6.8,0.21,6.22,2.63,11.23,6.71,31.12,72.71,,370.36,1.61,247.91,09-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
09-Jun-2019 - 00:00,20.32,153.46,7.87,70.6,66.56,8.61,7.01,0.3,5.95,3.23,13.93,6.85,31.05,72.86,,402.23,1.56,227.51,10-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
10-Jun-2019 - 00:00,22.99,126.87,20.66,67.32,46.66,24.27,6.29,0.38,8.94,4.17,13.39,7.0,29.69,76.31,,356.1,1.55,204.45,11-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
11-Jun-2019 - 00:00,23.23,74.56,33.46,72.01,38.54,25.78,8.89,0.42,19.37,7.65,15.01,8.03,28.68,80.61,998.25,366.1,1.43,156.47,12-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
12-Jun-2019 - 00:00,15.9,50.53,22.25,47.3,25.05,21.47,2.85,0.41,12.34,5.7,16.29,10.85,27.31,81.86,997.61,222.7,2.64,144.63,13-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
13-Jun-2019 - 00:00,20.35,83.72,11.04,48.08,37.04,31.31,6.63,0.24,6.89,4.89,11.89,5.56,27.84,83.57,999.78,318.03,2.36,169.55,14-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
14-Jun-2019 - 00:00,16.11,59.23,9.05,55.37,46.69,17.97,16.51,0.25,4.96,5.78,11.82,5.31,27.33,87.13,,375.51,2.34,165.94,15-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
15-Jun-2019 - 00:00,13.87,55.05,2.65,61.08,60.38,14.52,23.04,0.21,4.73,5.87,12.67,6.23,27.15,90.88,,246.08,2.1,170.12,16-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
16-Jun-2019 - 00:00,12.38,59.92,1.65,52.81,54.31,13.64,23.13,0.15,5.71,2.13,12.86,5.54,28.74,83.55,,326.31,2.05,202.71,17-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
17-Jun-2019 - 00:00,14.07,73.13,4.16,51.94,50.37,14.27,22.96,0.21,5.36,2.6,12.21,5.7,28.98,81.41,,352.16,1.95,207.33,18-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
18-Jun-2019 - 00:00,18.1,72.0,3.98,54.31,53.8,14.77,23.42,0.3,4.93,3.44,15.09,7.11,27.67,85.4,,230.02,1.76,214.18,19-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
19-Jun-2019 - 00:00,19.17,97.76,8.36,86.95,97.14,14.26,23.68,0.34,4.25,4.53,13.8,7.1,27.3,88.85,,293.31,1.29,214.28,20-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
20-Jun-2019 - 00:00,20.96,138.0,12.45,93.81,110.21,5.08,23.68,0.24,4.77,2.22,13.58,9.89,29.51,77.83,,425.18,1.23,247.31,21-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
21-Jun-2019 - 00:00,23.82,146.9,0.88,87.53,102.79,7.0,23.92,0.25,4.75,3.17,15.07,9.23,29.6,76.48,,425.83,1.41,228.1,22-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
22-Jun-2019 - 00:00,25.03,175.81,12.17,95.01,110.44,6.86,24.0,0.26,4.65,2.87,16.33,8.92,29.59,74.96,,370.64,1.45,251.0,23-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
23-Jun-2019 - 00:00,25.64,167.1,22.99,93.69,94.4,4.66,24.14,0.17,4.64,2.5,12.69,8.56,29.72,74.28,,350.58,1.48,258.54,24-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
24-Jun-2019 - 00:00,29.11,156.27,17.53,90.43,72.9,3.44,23.72,0.34,4.41,4.6,17.43,13.34,28.1,81.06,,135.63,1.2,184.59,25-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
25-Jun-2019 - 00:00,25.33,103.53,6.02,110.44,104.43,2.54,24.09,0.36,4.68,9.15,17.23,10.87,28.74,79.53,,323.15,1.28,199.71,26-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
26-Jun-2019 - 00:00,22.0,95.62,6.74,104.37,97.62,3.26,23.92,0.3,4.46,5.08,15.94,10.04,29.02,78.69,,334.33,1.27,195.31,27-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
27-Jun-2019 - 00:00,20.85,88.66,6.18,102.17,96.01,2.2,23.96,0.3,4.58,4.6,13.47,8.13,27.8,84.8,,315.52,1.65,197.92,28-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
28-Jun-2019 - 00:00,8.08,25.63,6.4,104.27,97.88,1.88,24.0,0.27,4.8,2.54,13.37,9.38,25.25,95.53,,28.57,2.73,236.75,29-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
29-Jun-2019 - 00:00,12.07,36.4,10.49,85.83,76.41,4.6,23.67,0.3,4.83,2.49,13.13,8.07,24.37,96.75,,78.31,2.27,219.77,30-Jun-2019 - 00:00,"Kurla, Mumbai - MPCB"
30-Jun-2019 - 00:00,17.5,37.39,9.54,80.39,85.25,8.39,24.59,0.48,5.02,5.47,18.28,10.74,24.59,97.76,,80.03,1.65,168.0,01-Jul-2019 - 00:00,"Kurla, Mumbai - MPCB"
01-Jul-2019 - 00:00,9.58,19.06,15.85,72.05,56.2,7.19,23.68,0.36,7.26,4.6,16.26,10.21,24.0,99.47,,64.33,6.96,180.89,02-Jul-2019 - 00:00,"Kurla, Mumbai - MPCB"
02-Jul-2019 - 00:00,14.79,17.83,9.97,100.15,90.18,4.24,23.7,0.29,6.58,4.07,19.89,12.68,24.25,97.9,,151.77,4.26,159.56,03-Jul-2019 - 00:00,"Kurla, Mumbai - MPCB"
03-Jul-2019 - 00:00,22.62,46.97,7.73,154.75,147.02,3.85,25.95,0.54,7.09,13.16,30.74,21.75,25.75,93.26,,222.39,0.92,178.09,04-Jul-2019 - 00:00,"Kurla, Mumbai - MPCB"
04-Jul-2019 - 00:00,24.99,57.27,6.08,148.52,142.43,5.96,25.44,0.48,6.49,9.32,23.44,14.39,25.45,96.8,,148.17,1.23,167.94,05-Jul-2019 - 00:00,"Kurla, Mumbai - MPCB"
05-Jul-2019 - 00:00,19.79,59.66,4.24,175.9,171.67,3.54,25.56,0.49,6.29,6.07,21.11,12.82,25.95,95.39,999.32,143.39,1.55,229.49,06-Jul-2019 - 00:00,"Kurla, Mumbai - MPCB"
06-Jul-2019 - 00:00,12.43,45.22,6.5,123.66,117.16,2.87,24.6,0.22,5.9,3.23,15.27,9.31,25.91,95.85,998.43,100.89,2.23,231.3,07-Jul-2019 - 00:00,"Kurla, Mumbai - MPCB"
