from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,MP-Xylene,AT,RH,BP,SR,WS,WD,to date,station
19-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,20-Jan-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
20-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,21-Jan-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
21-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,22-Jan-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
22-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,23-Jan-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
23-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,24-Jan-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
24-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,25-Jan-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
25-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,26-Jan-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
26-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,27-Jan-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
27-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,28-Jan-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
28-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,29-Jan-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
29-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,30-Jan-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
30-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,31-Jan-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
31-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,01-Feb-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
01-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,02-Feb-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
02-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,03-Feb-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
03-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,04-Feb-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
04-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,05-Feb-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
05-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,06-Feb-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
06-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,07-Feb-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
07-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,08-Feb-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
08-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,09-Feb-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
09-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,10-Feb-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
10-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,11-Feb-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
11-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,12-Feb-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
12-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,13-Feb-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
13-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,14-Feb-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
14-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,15-Feb-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
15-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,16-Feb-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
16-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,17-Feb-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
17-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,18-Feb-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
18-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,19-Feb-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
19-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,20-Feb-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
20-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,21-Feb-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
21-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,22-Feb-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
22-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,23-Feb-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
23-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,24-Feb-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
24-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,25-Feb-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
25-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,26-Feb-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
26-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,27-Feb-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
27-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,28-Feb-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
28-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,01-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
01-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,02-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
02-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,03-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
03-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,04-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
04-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,05-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
05-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,06-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
06-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,07-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
07-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,08-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
08-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,09-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
09-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,10-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
10-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,11-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
11-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,12-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
12-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,13-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
13-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,14-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
14-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,15-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
15-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,16-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
16-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,17-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
17-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,18-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
18-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,19-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
19-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,20-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
20-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,21-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
21-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,22-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
22-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,23-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
23-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,24-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
24-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,25-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
25-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,26-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
26-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,27-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
27-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,28-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
28-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,29-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
29-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,30-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
30-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,31-Mar-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
31-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,01-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
01-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,02-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
02-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,03-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
03-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,04-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
04-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,05-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
05-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,06-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
06-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,07-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
07-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,08-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
08-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,09-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
09-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,10-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
10-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,11-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
11-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,12-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
12-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,13-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
13-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,14-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
14-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,15-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
15-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,16-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
16-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,17-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
17-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,18-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
18-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,19-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
19-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,20-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
20-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,21-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
21-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,22-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
22-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,23-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
23-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,24-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
24-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,25-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
25-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,26-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
26-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,27-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
27-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,28-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
28-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,29-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
29-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,30-Apr-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
30-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,01-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
01-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,02-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
02-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,03-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
03-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,04-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
04-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,05-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
05-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,06-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
06-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,07-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
07-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,08-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
08-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,09-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
09-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,10-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
10-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,11-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
11-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,12-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
12-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,13-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
13-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,14-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
14-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,15-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
15-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,16-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
16-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,17-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
17-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,18-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
18-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,19-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
19-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,20-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
20-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,21-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
21-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,22-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
22-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,23-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
23-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,24-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
24-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,25-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
25-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,26-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
26-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,27-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
27-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,28-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
28-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,29-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
29-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,30-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
30-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,31-May-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
31-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,01-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
01-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,02-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
02-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,03-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
03-Jun-2019 - 00:00,11.39,60.51,8.67,9.68,18.36,9.41,1.3,0.45,11.35,0.64,2.98,7.29,30.5,73.52,,211.69,0.75,198.87,04-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
04-Jun-2019 - 00:00,13.99,57.68,6.45,9.49,15.93,10.73,1.36,0.55,6.73,1.25,2.7,5.91,30.32,73.72,,287.29,0.77,212.75,05-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
05-Jun-2019 - 00:00,12.0,50.46,6.84,7.84,14.68,13.05,1.25,0.47,7.09,1.09,2.17,4.81,30.14,75.23,,346.34,0.94,226.86,06-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
06-Jun-2019 - 00:00,11.42,66.95,7.92,8.62,16.54,13.36,1.31,0.43,8.01,0.9,2.85,5.08,30.65,74.64,,341.92,0.8,219.87,07-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
07-Jun-2019 - 00:00,9.42,55.64,8.27,7.79,16.06,13.21,1.37,0.43,9.17,1.0,2.65,5.64,30.73,74.93,,380.38,0.82,222.55,08-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
08-Jun-2019 - 00:00,13.42,73.83,9.66,9.2,18.86,10.71,1.44,0.45,8.52,1.02,3.19,7.2,30.77,76.44,,351.91,0.94,225.19,09-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
09-Jun-2019 - 00:00,13.17,75.07,8.91,14.18,23.0,9.05,1.6,0.42,7.64,0.68,3.41,7.95,31.18,75.08,,350.19,0.78,204.56,10-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
10-Jun-2019 - 00:00,15.34,85.95,20.33,12.38,32.7,13.62,1.67,0.56,11.19,1.77,3.6,7.91,30.03,77.1,,281.65,0.84,188.86,11-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
11-Jun-2019 - 00:00,12.52,28.8,23.56,12.67,36.23,20.82,1.81,0.59,12.5,1.92,3.95,9.25,26.93,88.86,,177.96,1.33,182.46,12-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
12-Jun-2019 - 00:00,13.7,34.96,24.65,25.89,50.3,18.72,2.31,0.58,4.96,4.28,7.32,17.99,29.03,75.55,998.89,227.13,1.07,180.18,13-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
13-Jun-2019 - 00:00,14.32,101.81,23.13,25.27,48.49,16.35,1.8,0.53,9.27,0.45,3.25,11.89,27.17,89.31,,227.78,1.04,170.6,14-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
14-Jun-2019 - 00:00,14.17,36.02,18.85,19.93,38.76,10.1,1.95,0.52,8.4,2.64,2.39,8.12,26.72,90.76,,187.8,0.97,163.88,15-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
15-Jun-2019 - 00:00,12.54,34.92,17.36,21.31,38.53,14.24,1.99,0.45,7.42,1.92,2.4,8.55,27.96,87.76,,309.41,1.1,166.65,16-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
16-Jun-2019 - 00:00,10.25,44.31,8.74,13.27,21.89,8.86,1.76,0.36,13.22,0.37,1.03,4.21,29.2,82.4,,331.72,0.98,178.7,17-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
17-Jun-2019 - 00:00,10.95,56.74,7.69,17.52,24.94,7.72,1.89,0.35,12.84,0.3,0.99,3.78,29.31,81.96,,381.74,0.93,174.46,18-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
18-Jun-2019 - 00:00,12.85,37.75,10.54,20.05,30.52,5.35,2.1,0.44,14.65,0.31,0.91,3.1,27.41,88.38,,175.31,0.9,163.26,19-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
19-Jun-2019 - 00:00,12.79,54.66,13.58,15.91,29.48,9.76,1.98,0.43,8.58,0.56,1.29,7.2,27.58,87.7,,190.73,0.66,179.64,20-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
20-Jun-2019 - 00:00,14.11,67.76,10.79,13.6,24.4,9.0,1.9,0.4,10.43,0.43,0.54,2.8,29.62,78.97,,388.93,0.68,213.06,21-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
21-Jun-2019 - 00:00,11.18,51.59,9.66,8.25,17.91,8.83,1.75,0.37,12.12,0.37,0.44,2.28,30.03,76.45,,436.76,0.76,200.87,22-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
22-Jun-2019 - 00:00,17.19,66.39,11.27,8.14,19.41,15.52,1.69,0.37,13.33,0.57,0.79,3.74,29.83,75.25,,445.03,0.83,229.08,23-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
23-Jun-2019 - 00:00,15.78,65.57,9.79,7.52,17.3,13.77,1.42,0.36,10.65,0.56,0.64,2.13,29.71,75.67,,295.31,0.81,233.12,24-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
24-Jun-2019 - 00:00,18.52,58.74,13.05,12.94,25.99,10.21,1.42,0.4,9.85,0.48,1.47,3.91,28.68,78.87,,134.86,0.63,192.91,25-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
25-Jun-2019 - 00:00,14.61,37.98,18.93,15.36,34.27,10.48,1.74,0.42,9.69,4.69,1.65,6.42,28.93,79.95,,285.96,0.66,187.71,26-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
26-Jun-2019 - 00:00,12.97,31.75,14.51,22.53,37.02,7.94,2.21,0.4,7.66,1.21,2.21,7.17,28.74,82.57,,327.08,0.64,174.83,27-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
27-Jun-2019 - 00:00,8.54,28.46,14.95,30.5,45.44,15.17,2.48,0.45,7.35,1.45,2.35,8.13,27.69,86.97,,264.91,0.72,169.95,28-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
28-Jun-2019 - 00:00,2.39,81.33,9.31,9.78,19.05,13.15,1.96,0.3,15.29,0.32,2.37,6.41,25.67,94.85,,17.11,4.03,179.39,29-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
29-Jun-2019 - 00:00,8.65,22.4,15.71,15.45,31.16,10.4,2.1,0.46,17.56,0.57,2.61,7.66,24.81,97.52,,68.05,4.7,173.21,30-Jun-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
30-Jun-2019 - 00:00,6.24,24.55,13.56,12.27,25.83,10.78,1.88,0.43,9.39,0.79,2.03,7.49,25.87,94.64,,76.88,0.67,165.27,01-Jul-2019 - 00:00,"Vile Parle West, Mumbai - MPCB"
