from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,WS,WD,AT,RH,BP,to date,station
30-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,31-Jan-2019 - 00:00,"Sector-1, Noida - UPPCB"
31-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,01-Feb-2019 - 00:00,"Sector-1, Noida - UPPCB"
01-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,02-Feb-2019 - 00:00,"Sector-1, Noida - UPPCB"
02-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,03-Feb-2019 - 00:00,"Sector-1, Noida - UPPCB"
03-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,04-Feb-2019 - 00:00,"Sector-1, Noida - UPPCB"
04-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,05-Feb-2019 - 00:00,"Sector-1, Noida - UPPCB"
05-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,06-Feb-2019 - 00:00,"Sector-1, Noida - UPPCB"
06-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,07-Feb-2019 - 00:00,"Sector-1, Noida - UPPCB"
07-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,08-Feb-2019 - 00:00,"Sector-1, Noida - UPPCB"
08-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,09-Feb-2019 - 00:00,"Sector-1, Noida - UPPCB"
09-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,10-Feb-2019 - 00:00,"Sector-1, Noida - UPPCB"
10-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,11-Feb-2019 - 00:00,"Sector-1, Noida - UPPCB"
11-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,12-Feb-2019 - 00:00,"Sector-1, Noida - UPPCB"
12-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,13-Feb-2019 - 00:00,"Sector-1, Noida - UPPCB"
13-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,14-Feb-2019 - 00:00,"Sector-1, Noida - UPPCB"
14-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,15-Feb-2019 - 00:00,"Sector-1, Noida - UPPCB"
15-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,16-Feb-2019 - 00:00,"Sector-1, Noida - UPPCB"
16-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,17-Feb-2019 - 00:00,"Sector-1, Noida - UPPCB"
17-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,18-Feb-2019 - 00:00,"Sector-1, Noida - UPPCB"
18-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,19-Feb-2019 - 00:00,"Sector-1, Noida - UPPCB"
19-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,20-Feb-2019 - 00:00,"Sector-1, Noida - UPPCB"
20-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,21-Feb-2019 - 00:00,"Sector-1, Noida - UPPCB"
21-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,22-Feb-2019 - 00:00,"Sector-1, Noida - UPPCB"
22-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,23-Feb-2019 - 00:00,"Sector-1, Noida - UPPCB"
23-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,24-Feb-2019 - 00:00,"Sector-1, Noida - UPPCB"
24-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,25-Feb-2019 - 00:00,"Sector-1, Noida - UPPCB"
25-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,26-Feb-2019 - 00:00,"Sector-1, Noida - UPPCB"
26-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,27-Feb-2019 - 00:00,"Sector-1, Noida - UPPCB"
27-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,28-Feb-2019 - 00:00,"Sector-1, Noida - UPPCB"
28-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,01-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
01-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,02-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
02-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,03-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
03-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,04-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
04-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,05-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
05-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,06-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
06-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,07-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
07-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,08-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
08-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,09-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
09-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,10-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
10-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,11-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
11-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,12-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
12-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,13-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
13-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,14-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
14-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,15-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
15-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,16-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
16-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,17-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
17-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,18-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
18-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,19-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
19-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,20-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
20-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,21-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
21-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,22-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
22-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,23-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
23-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,24-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
24-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,25-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
25-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,26-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
26-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,27-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
27-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,28-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
28-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,29-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
29-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,30-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
30-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,31-Mar-2019 - 00:00,"Sector-1, Noida - UPPCB"
31-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,01-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
01-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,02-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
02-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,03-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
03-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,04-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
04-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,05-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
05-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,06-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
06-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,07-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
07-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,08-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
08-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,09-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
09-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,10-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
10-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,11-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
11-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,12-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
12-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,13-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
13-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,14-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
14-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,15-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
15-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,16-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
16-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,17-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
17-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,18-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
18-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,19-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
19-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,20-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
20-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,21-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
21-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,22-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
22-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,23-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
23-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,24-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
24-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,25-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
25-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,26-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
26-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,27-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
27-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,28-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
28-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,29-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
29-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,30-Apr-2019 - 00:00,"Sector-1, Noida - UPPCB"
30-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,01-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
01-May-2019 - 00:00,,,,,,,,,,,,,,,,,02-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
02-May-2019 - 00:00,,,,,,,,,,,,,,,,,03-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
03-May-2019 - 00:00,,,,,,,,,,,,,,,,,04-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
04-May-2019 - 00:00,,,,,,,,,,,,,,,,,05-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
05-May-2019 - 00:00,,,,,,,,,,,,,,,,,06-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
06-May-2019 - 00:00,,,,,,,,,,,,,,,,,07-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
07-May-2019 - 00:00,,,,,,,,,,,,,,,,,08-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
08-May-2019 - 00:00,,,,,,,,,,,,,,,,,09-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
09-May-2019 - 00:00,,,,,,,,,,,,,,,,,10-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
10-May-2019 - 00:00,,,,,,,,,,,,,,,,,11-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
11-May-2019 - 00:00,,,,,,,,,,,,,,,,,12-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
12-May-2019 - 00:00,,,,,,,,,,,,,,,,,13-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
13-May-2019 - 00:00,,,,,,,,,,,,,,,,,14-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
14-May-2019 - 00:00,,,,,,,,,,,,,,,,,15-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
15-May-2019 - 00:00,,,,,,,,,,,,,,,,,16-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
16-May-2019 - 00:00,,,,,,,,,,,,,,,,,17-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
17-May-2019 - 00:00,,,,,,,,,,,,,,,,,18-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
18-May-2019 - 00:00,,,,,,,,,,,,,,,,,19-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
19-May-2019 - 00:00,,,,,,,,,,,,,,,,,20-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
20-May-2019 - 00:00,,,,,,,,,,,,,,,,,21-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
21-May-2019 - 00:00,,,,,,,,,,,,,,,,,22-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
22-May-2019 - 00:00,,,,,,,,,,,,,,,,,23-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
23-May-2019 - 00:00,,,,,,,,,,,,,,,,,24-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
24-May-2019 - 00:00,,,,,,,,,,,,,,,,,25-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
25-May-2019 - 00:00,,,,,,,,,,,,,,,,,26-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
26-May-2019 - 00:00,,,,,,,,,,,,,,,,,27-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
27-May-2019 - 00:00,,,,,,,,,,,,,,,,,28-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
28-May-2019 - 00:00,,,,,,,,,,,,,,,,,29-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
29-May-2019 - 00:00,,,,,,,,,,,,,,,,,30-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
30-May-2019 - 00:00,,,,,,,,,,,,,,,,,31-May-2019 - 00:00,"Sector-1, Noida - UPPCB"
31-May-2019 - 00:00,,,,,,,,,,,,,,,,,01-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
01-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,02-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
02-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,03-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
03-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,04-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
04-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,05-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
05-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,06-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
06-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,07-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
07-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,08-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
08-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,09-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
09-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,10-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
10-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,11-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
11-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,12-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
12-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,13-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
13-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,14-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
14-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,15-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
15-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,16-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
16-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,17-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
17-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,18-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
18-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,19-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
19-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,20-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
20-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,21-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
21-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,22-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
22-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,23-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
23-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,24-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
24-Jun-2019 - 00:00,10.98,102.05,28.75,1.92,16.85,31.59,13.39,0.54,72.87,0.57,21.73,4.72,183.67,35.52,61.45,740.0,25-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
25-Jun-2019 - 00:00,38.14,129.92,35.35,1.01,19.61,30.59,7.71,0.74,65.49,0.93,26.57,2.15,173.28,37.29,57.09,740.0,26-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
26-Jun-2019 - 00:00,55.5,181.57,53.03,2.58,30.27,46.08,10.99,1.05,79.73,1.21,24.26,2.21,168.29,40.28,47.21,739.8,27-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
27-Jun-2019 - 00:00,60.55,273.02,66.63,14.77,47.45,53.73,8.39,1.01,82.38,1.18,28.68,2.52,175.08,39.78,42.44,739.35,28-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
28-Jun-2019 - 00:00,47.65,276.76,57.44,12.95,41.08,43.73,5.45,0.84,59.93,1.13,27.14,2.73,190.41,40.13,38.93,739.29,29-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
29-Jun-2019 - 00:00,49.04,336.01,54.59,9.85,37.04,37.35,5.85,0.94,58.67,1.06,26.83,2.62,202.94,41.94,34.07,739.27,30-Jun-2019 - 00:00,"Sector-1, Noida - UPPCB"
30-Jun-2019 - 00:00,55.31,353.09,40.32,11.01,30.4,45.72,10.62,0.83,84.99,0.98,25.99,2.74,153.99,42.16,35.18,739.25,01-Jul-2019 - 00:00,"Sector-1, Noida - UPPCB"
01-Jul-2019 - 00:00,53.08,239.89,46.48,5.27,29.03,47.24,9.9,1.07,77.57,0.97,22.56,2.42,177.94,40.55,40.91,739.38,02-Jul-2019 - 00:00,"Sector-1, Noida - UPPCB"
02-Jul-2019 - 00:00,60.4,276.97,32.44,2.17,19.01,55.15,11.31,0.63,107.02,0.71,18.22,3.26,152.1,39.33,48.68,739.47,03-Jul-2019 - 00:00,"Sector-1, Noida - UPPCB"
03-Jul-2019 - 00:00,23.41,117.59,19.53,1.21,11.35,45.22,6.66,0.43,60.23,0.37,15.32,3.06,207.69,38.4,55.04,739.77,04-Jul-2019 - 00:00,"Sector-1, Noida - UPPCB"
04-Jul-2019 - 00:00,32.11,121.89,31.82,3.58,19.77,33.43,4.47,0.76,39.95,0.73,18.19,2.75,202.77,35.98,68.43,739.24,05-Jul-2019 - 00:00,"Sector-1, Noida - UPPCB"
05-Jul-2019 - 00:00,47.73,119.03,43.77,8.57,30.25,54.61,5.3,0.81,27.76,0.7,20.34,2.43,187.93,33.7,77.39,739.04,06-Jul-2019 - 00:00,"Sector-1, Noida - UPPCB"
06-Jul-2019 - 00:00,21.67,72.66,39.77,3.58,24.06,56.24,6.78,0.46,61.07,0.49,17.66,2.96,217.8,35.41,68.57,739.0,07-Jul-2019 - 00:00,"Sector-1, Noida - UPPCB"
07-Jul-2019 - 00:00,33.18,107.39,38.34,2.26,22.24,39.96,6.96,0.74,78.68,0.74,23.33,1.92,208.35,36.14,66.04,739.0,08-Jul-2019 - 00:00,"Sector-1, Noida - UPPCB"
08-Jul-2019 - 00:00,44.61,179.97,39.21,2.45,22.84,48.78,6.31,0.69,72.49,0.62,17.12,2.63,219.2,37.09,63.47,739.12,09-Jul-2019 - 00:00,"Sector-1, Noida - UPPCB"
09-Jul-2019 - 00:00,34.06,138.83,38.27,3.06,22.83,45.06,5.79,0.53,41.87,0.58,20.01,2.6,232.39,35.07,69.38,739.02,10-Jul-2019 - 00:00,"Sector-1, Noida - UPPCB"
10-Jul-2019 - 00:00,60.35,341.79,37.2,5.5,24.16,44.67,7.16,0.72,35.33,0.84,20.52,2.45,226.74,37.4,63.67,739.0,11-Jul-2019 - 00:00,"Sector-1, Noida - UPPCB"
11-Jul-2019 - 00:00,61.69,427.68,32.74,4.78,21.3,42.71,4.14,0.53,35.15,0.46,17.45,3.58,237.86,38.86,53.94,739.1,12-Jul-2019 - 00:00,"Sector-1, Noida - UPPCB"
12-Jul-2019 - 00:00,64.62,451.57,30.62,4.11,19.62,49.79,5.55,0.51,28.44,0.4,16.67,2.78,228.27,38.33,58.11,739.62,13-Jul-2019 - 00:00,"Sector-1, Noida - UPPCB"
13-Jul-2019 - 00:00,57.57,376.69,26.85,2.22,16.08,40.04,5.79,0.48,34.64,0.39,22.13,4.22,238.81,38.85,51.4,739.6,14-Jul-2019 - 00:00,"Sector-1, Noida - UPPCB"
14-Jul-2019 - 00:00,50.3,331.85,21.43,1.46,12.59,37.55,6.21,0.38,52.27,0.45,35.19,3.61,198.3,37.36,54.46,739.31,15-Jul-2019 - 00:00,"Sector-1, Noida - UPPCB"
15-Jul-2019 - 00:00,29.79,152.95,35.78,9.74,26.8,34.93,6.94,0.51,42.92,0.6,38.89,3.34,190.84,32.76,73.51,739.14,16-Jul-2019 - 00:00,"Sector-1, Noida - UPPCB"
16-Jul-2019 - 00:00,23.17,81.83,31.16,2.71,18.77,31.21,13.41,0.43,55.34,0.63,39.68,3.64,175.48,32.28,74.42,739.71,17-Jul-2019 - 00:00,"Sector-1, Noida - UPPCB"
17-Jul-2019 - 00:00,30.23,82.99,41.22,3.0,24.36,34.83,4.17,0.71,55.6,1.08,44.6,2.3,161.64,31.64,81.81,739.94,18-Jul-2019 - 00:00,"Sector-1, Noida - UPPCB"
18-Jul-2019 - 00:00,25.79,80.47,49.54,10.09,34.56,35.31,3.98,0.83,50.22,0.81,37.82,1.79,256.99,31.73,81.12,739.97,19-Jul-2019 - 00:00,"Sector-1, Noida - UPPCB"
