from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Toluene,CO,NH3,NO,NOx,NO2,Ozone,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,SO2,to date,station
15-Apr-2019 - 00:00,2.5,62.59,10.23,0.87,,1.31,46.72,12.99,73.52,60.82,14.5,126.96,44.57,0.0,37.29,279.6,29.02,273.76,0.73,7.51,16-Apr-2019 - 00:00,"Model Town, Patiala - PPCB"
16-Apr-2019 - 00:00,2.5,62.58,10.23,0.87,,1.2,33.05,11.61,37.58,25.98,14.31,100.28,34.95,0.02,58.31,254.42,23.66,146.6,1.08,4.45,17-Apr-2019 - 00:00,"Model Town, Patiala - PPCB"
17-Apr-2019 - 00:00,2.5,62.58,10.23,0.87,,1.18,36.61,11.9,46.96,35.08,12.58,51.68,17.95,0.19,73.83,222.29,19.98,140.69,0.93,4.68,18-Apr-2019 - 00:00,"Model Town, Patiala - PPCB"
18-Apr-2019 - 00:00,2.5,62.58,10.23,0.87,,1.16,36.72,11.9,47.21,35.33,13.43,42.64,17.22,0.0,65.74,269.07,21.6,198.83,0.58,4.17,19-Apr-2019 - 00:00,"Model Town, Patiala - PPCB"
19-Apr-2019 - 00:00,2.5,62.58,10.23,0.87,,1.31,31.69,11.76,33.91,24.84,15.05,81.01,34.25,0.0,54.82,229.09,24.17,248.22,0.52,5.05,20-Apr-2019 - 00:00,"Model Town, Patiala - PPCB"
20-Apr-2019 - 00:00,2.5,62.58,10.23,0.87,,1.43,31.23,11.48,32.57,24.17,17.45,93.9,38.68,0.0,46.5,292.99,26.11,239.52,0.42,5.63,21-Apr-2019 - 00:00,"Model Town, Patiala - PPCB"
21-Apr-2019 - 00:00,2.5,62.58,10.23,0.87,,1.53,42.09,23.57,57.43,35.91,17.97,125.14,49.23,0.0,43.69,294.85,27.32,239.84,0.46,6.75,22-Apr-2019 - 00:00,"Model Town, Patiala - PPCB"
22-Apr-2019 - 00:00,2.5,62.58,10.23,0.87,,1.58,105.68,125.14,136.99,29.47,16.36,117.64,38.98,0.0,42.21,291.81,28.76,217.36,0.53,5.66,23-Apr-2019 - 00:00,"Model Town, Patiala - PPCB"
23-Apr-2019 - 00:00,2.5,62.58,10.23,0.87,,1.77,71.27,68.32,100.52,32.23,17.31,155.08,50.46,0.0,39.25,283.47,30.45,165.8,0.41,7.83,24-Apr-2019 - 00:00,"Model Town, Patiala - PPCB"
24-Apr-2019 - 00:00,2.5,62.58,10.23,0.87,,1.57,67.48,55.68,88.39,32.75,22.37,194.96,55.03,0.0,41.57,259.75,29.9,122.46,0.73,4.91,25-Apr-2019 - 00:00,"Model Town, Patiala - PPCB"
25-Apr-2019 - 00:00,2.5,62.58,10.23,0.87,,1.63,46.01,37.89,57.99,20.11,21.51,137.87,42.81,0.0,41.25,247.37,29.76,134.33,0.47,6.23,26-Apr-2019 - 00:00,"Model Town, Patiala - PPCB"
26-Apr-2019 - 00:00,2.5,62.58,10.23,0.87,,1.57,41.84,29.63,45.3,15.66,19.42,163.01,49.82,0.0,39.67,300.26,30.6,239.46,0.43,6.24,27-Apr-2019 - 00:00,"Model Town, Patiala - PPCB"
27-Apr-2019 - 00:00,2.5,62.58,10.23,0.87,,1.21,44.54,20.82,36.37,15.55,23.76,183.78,54.01,0.0,26.64,293.37,30.34,259.5,0.93,8.23,28-Apr-2019 - 00:00,"Model Town, Patiala - PPCB"
28-Apr-2019 - 00:00,2.5,62.58,10.23,0.87,,1.26,49.33,24.2,46.11,21.92,22.06,195.77,53.47,0.0,23.68,288.93,30.16,259.13,0.72,8.43,29-Apr-2019 - 00:00,"Model Town, Patiala - PPCB"
29-Apr-2019 - 00:00,2.5,62.58,10.23,0.87,,1.36,56.2,25.54,55.45,29.91,22.7,195.58,58.73,0.0,22.21,290.44,30.43,237.08,0.53,11.07,30-Apr-2019 - 00:00,"Model Town, Patiala - PPCB"
30-Apr-2019 - 00:00,2.5,62.58,10.23,0.87,,1.22,48.66,26.25,57.77,31.65,32.9,154.44,44.32,0.0,19.37,282.42,31.93,158.06,0.5,10.39,01-May-2019 - 00:00,"Model Town, Patiala - PPCB"
01-May-2019 - 00:00,2.5,62.58,10.23,0.87,,1.3,42.93,12.35,36.79,24.5,32.46,116.46,35.81,0.0,22.89,278.96,31.98,165.41,0.49,9.2,02-May-2019 - 00:00,"Model Town, Patiala - PPCB"
02-May-2019 - 00:00,2.5,62.58,10.23,0.87,,1.18,59.45,49.0,89.39,40.4,23.11,137.27,38.99,0.0,32.01,249.13,28.05,167.46,0.81,8.75,03-May-2019 - 00:00,"Model Town, Patiala - PPCB"
03-May-2019 - 00:00,2.5,62.58,10.23,0.87,,1.09,80.5,106.46,137.09,30.94,26.24,96.23,33.09,0.0,29.9,293.29,28.49,222.44,0.54,9.05,04-May-2019 - 00:00,"Model Town, Patiala - PPCB"
04-May-2019 - 00:00,2.5,62.59,10.23,0.87,,1.05,48.75,22.88,46.83,23.97,28.53,142.69,47.35,0.0,21.44,311.53,28.94,256.5,0.92,11.31,05-May-2019 - 00:00,"Model Town, Patiala - PPCB"
05-May-2019 - 00:00,2.5,62.58,10.23,0.87,,1.45,57.72,42.44,77.08,34.65,21.14,134.75,41.39,0.0,24.37,294.25,29.09,247.18,0.45,8.2,06-May-2019 - 00:00,"Model Town, Patiala - PPCB"
06-May-2019 - 00:00,2.5,62.58,10.23,0.87,,1.32,61.91,86.01,117.17,32.37,21.38,160.2,49.13,0.0,23.06,314.38,30.19,243.19,0.53,10.58,07-May-2019 - 00:00,"Model Town, Patiala - PPCB"
07-May-2019 - 00:00,2.51,62.58,10.23,0.87,,1.29,68.77,96.17,131.48,35.33,22.88,164.48,62.5,0.0,19.21,297.12,30.52,228.33,0.44,10.3,08-May-2019 - 00:00,"Model Town, Patiala - PPCB"
08-May-2019 - 00:00,2.5,62.58,10.23,0.87,,1.29,66.06,89.13,129.4,40.29,19.97,169.91,62.59,0.0,20.9,287.89,31.27,250.68,0.49,11.12,09-May-2019 - 00:00,"Model Town, Patiala - PPCB"
09-May-2019 - 00:00,2.52,62.58,10.23,0.87,,1.57,71.97,91.31,126.33,35.13,19.53,238.69,69.57,0.0,21.56,283.4,31.49,245.36,0.88,14.77,10-May-2019 - 00:00,"Model Town, Patiala - PPCB"
10-May-2019 - 00:00,2.5,62.58,10.23,0.87,,1.56,48.86,39.75,66.62,26.86,26.17,234.55,55.05,0.01,30.31,272.76,30.59,193.49,0.93,8.92,11-May-2019 - 00:00,"Model Town, Patiala - PPCB"
11-May-2019 - 00:00,2.5,62.58,10.23,0.87,,1.65,48.99,25.63,50.54,24.9,26.69,146.24,13.34,0.0,36.73,275.59,28.74,246.81,0.76,10.46,12-May-2019 - 00:00,"Model Town, Patiala - PPCB"
12-May-2019 - 00:00,2.5,62.59,10.23,0.87,,1.93,69.77,75.12,104.06,28.94,18.04,174.25,14.58,0.0,32.02,295.06,29.6,246.13,0.63,10.19,13-May-2019 - 00:00,"Model Town, Patiala - PPCB"
13-May-2019 - 00:00,2.5,62.59,10.24,0.87,,1.75,47.01,55.15,76.57,21.45,29.92,167.47,21.34,0.01,34.42,261.89,29.54,182.03,0.65,11.61,14-May-2019 - 00:00,"Model Town, Patiala - PPCB"
14-May-2019 - 00:00,2.5,62.59,10.23,0.87,,1.97,65.88,53.03,74.52,21.54,24.01,89.18,10.02,0.0,49.42,284.08,27.31,170.58,0.38,7.75,15-May-2019 - 00:00,"Model Town, Patiala - PPCB"
15-May-2019 - 00:00,2.5,62.59,10.23,0.87,,2.15,62.3,38.05,60.28,22.29,21.93,145.77,18.99,0.0,48.36,232.59,26.99,164.05,0.77,9.03,16-May-2019 - 00:00,"Model Town, Patiala - PPCB"
16-May-2019 - 00:00,2.5,62.59,10.23,0.87,,2.28,52.33,23.95,44.22,20.28,25.4,156.53,28.62,0.0,49.46,267.03,27.58,213.29,0.55,7.95,17-May-2019 - 00:00,"Model Town, Patiala - PPCB"
17-May-2019 - 00:00,2.5,62.59,10.23,0.87,,1.47,54.46,25.38,43.88,18.77,15.74,176.52,56.94,0.0,60.61,236.7,25.37,247.22,0.65,6.59,18-May-2019 - 00:00,"Model Town, Patiala - PPCB"
18-May-2019 - 00:00,2.5,62.58,10.23,0.87,,0.02,43.86,14.39,27.79,13.63,22.95,111.45,43.02,0.0,53.31,308.0,27.04,253.14,0.83,6.44,19-May-2019 - 00:00,"Model Town, Patiala - PPCB"
19-May-2019 - 00:00,2.5,62.58,10.23,0.87,,0.02,39.87,8.87,24.71,15.85,26.67,114.3,41.02,0.0,40.02,311.89,29.74,250.9,0.7,7.83,20-May-2019 - 00:00,"Model Town, Patiala - PPCB"
20-May-2019 - 00:00,2.5,62.58,10.23,0.87,,0.02,41.42,10.97,28.2,17.23,27.83,190.07,53.13,0.0,33.74,260.82,30.89,255.63,0.8,8.12,21-May-2019 - 00:00,"Model Town, Patiala - PPCB"
21-May-2019 - 00:00,2.5,62.58,10.23,0.87,,0.21,37.43,7.64,25.61,17.97,26.18,131.61,44.77,0.0,27.42,305.36,31.73,247.59,0.64,9.69,22-May-2019 - 00:00,"Model Town, Patiala - PPCB"
22-May-2019 - 00:00,2.27,56.71,9.27,0.79,,0.68,40.65,7.37,27.26,22.13,26.88,200.29,57.92,0.02,27.33,293.59,32.38,228.47,0.64,16.45,23-May-2019 - 00:00,"Model Town, Patiala - PPCB"
23-May-2019 - 00:00,2.4,59.36,9.72,0.89,,0.63,40.87,7.92,23.56,16.11,17.42,206.39,41.98,0.0,35.0,256.91,30.48,226.95,0.61,11.73,24-May-2019 - 00:00,"Model Town, Patiala - PPCB"
24-May-2019 - 00:00,2.5,62.59,10.23,0.87,,0.45,41.1,7.94,22.74,14.81,15.28,72.61,24.38,0.06,62.56,250.46,26.53,193.44,0.77,5.37,25-May-2019 - 00:00,"Model Town, Patiala - PPCB"
25-May-2019 - 00:00,2.5,62.59,10.23,0.87,,0.43,40.24,8.58,23.49,14.91,24.41,83.27,23.26,0.0,47.35,326.66,27.71,252.14,1.04,4.91,26-May-2019 - 00:00,"Model Town, Patiala - PPCB"
26-May-2019 - 00:00,2.47,61.94,10.12,0.86,,0.57,39.17,6.99,24.75,17.94,26.37,107.58,30.52,0.0,39.1,321.07,29.66,247.47,0.7,8.53,27-May-2019 - 00:00,"Model Town, Patiala - PPCB"
27-May-2019 - 00:00,2.5,62.58,10.23,0.87,,0.44,36.99,9.44,28.63,19.21,31.12,126.08,35.78,0.0,26.62,322.7,31.73,251.08,0.87,10.3,28-May-2019 - 00:00,"Model Town, Patiala - PPCB"
28-May-2019 - 00:00,2.5,62.58,10.23,0.87,,0.43,34.74,6.87,28.23,21.37,34.38,97.78,34.96,0.0,19.81,320.7,32.34,247.03,0.65,10.94,29-May-2019 - 00:00,"Model Town, Patiala - PPCB"
29-May-2019 - 00:00,2.5,62.58,10.23,0.87,,0.66,38.55,8.25,35.73,27.48,26.8,149.34,61.07,0.0,23.93,312.28,33.62,240.09,0.55,14.93,30-May-2019 - 00:00,"Model Town, Patiala - PPCB"
30-May-2019 - 00:00,2.5,62.59,10.23,0.87,,0.71,43.12,12.13,42.82,30.7,24.0,160.56,56.82,0.0,26.39,302.06,34.19,232.58,0.46,14.71,31-May-2019 - 00:00,"Model Town, Patiala - PPCB"
31-May-2019 - 00:00,2.5,62.59,10.23,0.87,,0.66,41.31,12.77,40.46,27.69,24.85,141.51,48.87,0.0,22.73,301.91,35.04,245.17,0.55,11.79,01-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
01-Jun-2019 - 00:00,2.5,62.61,10.25,0.88,,0.83,45.35,10.98,38.42,27.44,27.97,178.68,66.6,0.0,36.06,291.09,33.95,136.57,0.73,6.89,02-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
02-Jun-2019 - 00:00,2.51,62.62,10.26,0.88,,0.68,49.19,10.78,37.08,26.31,29.83,163.79,52.02,0.0,43.18,294.41,34.19,124.69,0.86,3.32,03-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
03-Jun-2019 - 00:00,2.51,62.61,10.26,0.88,,0.61,49.07,10.18,40.35,30.17,29.71,199.68,45.32,0.0,45.46,289.78,32.55,114.1,1.33,3.93,04-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
04-Jun-2019 - 00:00,2.51,62.62,10.26,0.88,,0.62,41.31,7.72,34.49,26.79,34.13,147.39,35.09,0.0,39.62,287.58,32.35,120.28,0.94,4.42,05-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
05-Jun-2019 - 00:00,2.51,62.62,10.25,0.88,,0.82,36.13,11.25,34.36,23.11,28.88,153.38,55.1,0.0,37.54,293.27,34.35,190.65,0.45,4.7,06-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
06-Jun-2019 - 00:00,2.51,62.62,10.26,0.88,,0.53,34.47,7.55,26.97,19.43,31.14,152.27,52.71,0.0,32.45,246.77,32.25,151.57,0.71,8.15,07-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
07-Jun-2019 - 00:00,2.48,61.98,10.16,0.87,,0.53,36.51,8.34,31.8,23.57,32.36,89.58,36.97,0.0,36.77,321.65,31.42,159.28,0.55,6.01,08-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
08-Jun-2019 - 00:00,2.52,62.62,10.26,0.88,,0.64,32.29,8.42,31.38,22.95,32.84,130.89,45.83,0.0,30.33,311.23,33.29,199.74,0.42,8.62,09-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
09-Jun-2019 - 00:00,2.51,62.63,10.27,0.88,,0.56,33.07,7.06,29.46,22.39,35.92,121.16,36.31,0.0,26.43,308.23,34.12,198.33,0.49,9.13,10-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
10-Jun-2019 - 00:00,2.51,62.63,10.27,0.88,,0.74,32.28,8.51,32.89,24.38,36.14,155.73,55.37,0.0,26.01,304.19,35.16,216.63,0.4,12.45,11-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
11-Jun-2019 - 00:00,2.51,62.62,10.26,0.88,,0.59,33.41,9.02,28.32,19.3,31.72,178.49,52.06,0.0,26.48,300.93,35.21,177.61,0.71,9.85,12-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
12-Jun-2019 - 00:00,2.51,62.62,10.26,0.88,,0.52,34.34,6.35,24.07,17.72,33.56,160.89,36.48,0.0,31.08,299.6,32.89,135.5,1.31,5.1,13-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
13-Jun-2019 - 00:00,2.51,62.63,10.26,0.88,,0.48,32.65,6.61,23.75,17.16,30.36,116.41,35.8,0.0,35.11,308.7,32.88,175.73,0.5,7.74,14-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
14-Jun-2019 - 00:00,2.48,61.97,10.16,0.87,,0.45,31.95,6.62,26.69,20.32,32.36,142.7,45.51,0.0,24.25,322.37,34.08,246.6,0.75,10.07,15-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
15-Jun-2019 - 00:00,2.28,56.84,9.32,0.8,,0.44,33.04,8.8,29.29,20.51,33.67,207.08,56.89,0.0,22.86,296.82,33.66,263.34,0.88,12.4,16-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
16-Jun-2019 - 00:00,2.51,62.62,10.27,0.88,,0.42,31.36,6.09,20.71,14.62,21.66,114.63,35.6,0.0,48.56,254.82,29.41,253.27,1.01,4.34,17-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
17-Jun-2019 - 00:00,2.53,62.66,10.28,0.89,,0.45,33.03,6.77,21.2,14.44,21.13,135.08,41.55,0.18,62.82,305.21,29.09,226.63,1.01,3.42,18-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
18-Jun-2019 - 00:00,2.51,62.62,10.25,0.88,,0.5,34.62,7.4,26.79,19.39,17.46,70.27,27.49,0.01,74.05,211.49,24.63,195.74,0.63,3.3,19-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
19-Jun-2019 - 00:00,2.52,62.63,10.27,0.88,,0.54,36.71,10.27,26.46,16.52,16.58,160.28,64.76,0.0,64.23,325.62,29.2,237.15,0.55,3.32,20-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
20-Jun-2019 - 00:00,2.51,62.63,10.26,0.88,,0.5,36.53,7.85,26.8,18.94,23.93,72.01,50.56,0.0,58.67,356.7,28.93,155.26,0.63,3.29,21-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
21-Jun-2019 - 00:00,2.52,62.63,10.26,0.88,,0.62,35.84,7.43,31.72,24.3,22.99,44.64,43.64,0.0,53.99,264.58,29.17,210.2,0.46,3.76,22-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
22-Jun-2019 - 00:00,2.54,62.64,10.27,0.88,,0.63,32.66,6.91,26.06,19.17,15.41,49.44,48.66,0.0,48.0,317.73,31.89,231.72,0.56,3.41,23-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
23-Jun-2019 - 00:00,2.5,61.95,10.15,0.87,,0.5,38.42,6.34,26.64,20.44,8.2,30.11,27.58,0.0,50.06,295.38,31.88,146.98,0.95,3.43,24-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
24-Jun-2019 - 00:00,3.25,58.74,10.15,0.87,,0.45,41.17,7.22,25.58,19.73,15.95,45.5,17.29,0.02,68.99,286.22,28.91,157.22,0.82,3.31,25-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
25-Jun-2019 - 00:00,2.52,62.63,10.27,0.88,,0.58,34.01,7.62,22.89,15.28,15.08,80.89,14.37,0.0,71.42,241.43,29.3,237.46,0.36,3.28,26-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
26-Jun-2019 - 00:00,2.54,62.62,10.27,0.88,,0.62,33.38,6.56,21.29,14.72,8.18,145.44,17.92,0.0,58.6,320.3,31.87,227.67,0.74,3.31,27-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
27-Jun-2019 - 00:00,2.55,62.63,10.26,0.88,,0.56,52.69,30.88,60.13,29.67,8.66,141.85,21.22,0.0,48.59,283.64,31.73,255.76,0.95,3.34,28-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
28-Jun-2019 - 00:00,1.69,41.21,6.75,0.58,,0.49,52.79,32.87,54.07,23.06,15.34,175.78,34.5,0.0,52.25,325.16,32.36,240.21,1.03,14.4,29-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
29-Jun-2019 - 00:00,2.55,62.63,10.26,0.88,,0.44,35.92,7.91,23.89,15.99,24.92,,50.7,0.0,46.53,305.75,32.87,246.27,0.82,3.39,30-Jun-2019 - 00:00,"Model Town, Patiala - PPCB"
30-Jun-2019 - 00:00,2.56,62.63,10.26,0.88,,0.52,38.32,7.86,26.23,18.37,30.88,,44.84,0.0,50.51,295.58,32.51,228.19,0.37,3.13,01-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
01-Jul-2019 - 00:00,2.56,62.62,10.26,0.88,,0.67,36.24,6.66,24.25,17.6,29.03,,49.09,0.0,54.78,299.85,32.71,177.8,0.66,3.17,02-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
02-Jul-2019 - 00:00,2.54,62.62,10.26,0.88,,0.55,34.02,6.48,22.09,15.62,31.78,,43.73,0.0,48.3,312.49,32.06,218.67,0.66,3.13,03-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
03-Jul-2019 - 00:00,2.54,61.96,10.15,0.87,,0.68,35.21,6.81,21.82,15.2,33.45,59.59,33.84,0.0,56.97,294.96,32.9,168.58,0.64,3.28,04-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
04-Jul-2019 - 00:00,2.51,62.63,10.26,0.88,,0.62,41.97,6.79,25.93,19.13,27.21,37.46,23.57,0.0,68.41,228.24,29.22,118.64,0.83,3.25,05-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
05-Jul-2019 - 00:00,2.59,62.63,10.27,0.88,,0.61,37.0,6.84,21.22,14.39,30.68,34.41,21.64,0.0,63.14,281.22,30.99,139.86,0.62,3.26,06-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
06-Jul-2019 - 00:00,2.54,62.63,10.26,0.88,,0.6,38.2,6.97,24.53,17.6,26.24,38.34,24.1,0.01,73.96,240.5,28.77,135.26,0.57,3.37,07-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
07-Jul-2019 - 00:00,2.6,62.63,10.26,0.88,,1.31,43.43,8.6,27.03,18.43,24.76,31.19,19.64,0.0,65.71,327.14,31.27,168.9,0.52,3.28,08-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
08-Jul-2019 - 00:00,2.44,60.89,9.98,0.83,,0.29,42.96,7.99,25.96,18.5,28.45,47.37,28.03,0.0,70.11,184.73,30.14,108.45,0.54,3.21,09-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
09-Jul-2019 - 00:00,2.51,62.62,10.27,0.88,,0.27,41.45,6.94,25.3,18.35,32.75,36.3,22.83,0.0,74.45,242.67,29.07,112.13,0.73,3.21,10-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
10-Jul-2019 - 00:00,2.51,62.61,10.26,0.88,,0.44,50.16,11.66,31.69,20.03,28.53,40.26,16.77,0.32,85.7,222.1,27.97,148.98,0.41,3.25,11-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
11-Jul-2019 - 00:00,2.51,62.62,10.27,0.88,,0.5,64.05,18.96,38.77,19.82,29.1,64.45,18.25,0.07,82.86,245.86,28.65,143.68,0.41,3.38,12-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
12-Jul-2019 - 00:00,2.51,62.61,10.25,0.88,,0.46,70.59,25.57,49.29,24.12,26.04,88.07,24.31,0.09,85.37,252.36,27.59,120.0,0.41,3.45,13-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
13-Jul-2019 - 00:00,2.51,62.61,10.25,0.88,,0.38,49.17,12.17,32.07,19.9,26.95,81.61,23.09,0.04,83.95,262.13,27.61,146.62,0.47,3.28,14-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
14-Jul-2019 - 00:00,2.51,62.62,10.25,0.88,,0.38,66.63,20.51,51.77,31.25,25.74,42.76,12.09,0.23,93.08,183.36,23.95,149.28,0.51,3.42,15-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
15-Jul-2019 - 00:00,0.0,0.0,0.0,0.0,0.0,0.37,73.33,29.09,55.27,27.73,18.37,47.69,12.93,0.34,90.7,259.61,25.03,150.12,0.51,16.76,16-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
16-Jul-2019 - 00:00,0.0,0.0,0.0,0.0,0.0,0.37,64.77,25.94,53.5,27.57,10.97,32.28,9.14,0.08,92.98,210.77,23.79,149.6,0.51,3.48,17-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
17-Jul-2019 - 00:00,1.11,27.58,4.51,0.38,3.26,0.51,57.19,18.91,44.68,25.77,12.72,33.92,9.6,0.05,86.47,293.42,25.86,156.15,0.45,3.4,18-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
18-Jul-2019 - 00:00,2.5,62.59,10.23,0.87,7.4,0.46,53.85,15.7,36.26,20.56,18.13,53.31,15.09,0.0,82.49,326.39,27.63,151.32,0.41,3.31,19-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
19-Jul-2019 - 00:00,2.5,62.59,10.24,0.88,7.4,0.46,49.69,11.84,36.36,24.52,21.36,46.18,13.07,0.01,88.11,245.47,27.66,156.72,0.36,3.41,20-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
20-Jul-2019 - 00:00,2.5,62.58,10.24,0.88,7.4,0.5,47.48,12.47,33.0,20.53,19.79,49.2,13.93,0.0,80.6,265.86,29.07,155.42,0.45,3.23,21-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
21-Jul-2019 - 00:00,2.5,62.61,10.23,0.88,7.4,0.46,62.49,16.34,42.33,25.99,17.13,34.14,9.66,0.0,76.6,289.15,29.91,135.36,0.45,3.41,22-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
22-Jul-2019 - 00:00,2.5,62.74,10.25,0.91,7.41,0.58,48.75,12.18,33.87,21.69,22.96,44.56,12.61,0.01,79.47,303.99,30.02,133.07,0.35,3.42,23-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
23-Jul-2019 - 00:00,2.5,62.58,10.24,0.87,7.4,0.49,39.69,9.1,23.62,14.51,21.85,38.15,14.05,0.0,78.76,320.55,30.92,193.12,0.53,3.37,24-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
24-Jul-2019 - 00:00,2.5,62.58,10.23,0.87,7.4,0.52,30.7,6.44,18.18,11.74,22.85,66.04,29.69,0.0,75.58,332.78,31.78,222.64,0.49,3.32,25-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
25-Jul-2019 - 00:00,1.74,43.68,7.14,0.61,5.16,0.27,36.03,4.77,14.89,14.45,24.34,23.29,7.33,0.0,90.06,178.1,26.79,122.02,0.63,3.26,26-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
26-Jul-2019 - 00:00,2.5,62.58,10.23,0.87,7.4,0.43,35.85,6.76,21.51,14.76,21.94,21.77,9.81,0.0,87.92,209.44,27.14,144.5,0.56,3.28,27-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
27-Jul-2019 - 00:00,2.62,62.04,10.23,0.87,7.4,0.36,35.87,6.67,21.27,14.62,21.38,17.72,6.73,0.11,90.64,207.79,26.09,96.46,0.67,3.34,28-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
28-Jul-2019 - 00:00,2.5,62.58,10.23,0.87,7.4,0.33,36.26,6.62,20.92,14.31,19.54,16.93,4.79,0.0,80.8,321.14,28.56,105.9,0.66,3.19,29-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
29-Jul-2019 - 00:00,2.35,58.93,9.63,0.82,6.97,0.35,34.29,6.42,19.53,13.11,20.25,21.36,6.04,0.0,71.27,246.87,30.11,125.02,0.62,3.22,30-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
30-Jul-2019 - 00:00,2.5,62.58,10.23,0.87,7.4,0.37,33.2,6.27,16.3,10.56,24.37,21.09,5.97,0.0,76.47,286.43,29.29,137.51,0.66,3.29,31-Jul-2019 - 00:00,"Model Town, Patiala - PPCB"
31-Jul-2019 - 00:00,2.5,62.58,10.23,0.87,7.4,0.42,37.52,5.32,14.91,9.58,21.43,21.18,6.0,0.0,86.39,185.59,26.72,94.54,0.61,3.22,01-Aug-2019 - 00:00,"Model Town, Patiala - PPCB"
01-Aug-2019 - 00:00,2.5,62.58,10.24,0.87,7.4,0.53,38.64,5.18,14.03,8.87,25.18,41.78,11.83,0.0,82.01,221.91,28.88,133.53,0.49,3.28,02-Aug-2019 - 00:00,"Model Town, Patiala - PPCB"
02-Aug-2019 - 00:00,2.5,62.58,10.23,0.87,7.4,0.54,35.87,5.07,12.26,7.21,22.66,32.89,9.31,0.15,91.99,165.75,26.13,151.3,0.42,3.29,03-Aug-2019 - 00:00,"Model Town, Patiala - PPCB"
03-Aug-2019 - 00:00,2.5,62.58,10.23,0.87,7.4,0.48,35.9,6.11,12.03,5.96,22.98,31.18,8.83,0.0,86.86,272.4,27.7,132.7,0.46,3.32,04-Aug-2019 - 00:00,"Model Town, Patiala - PPCB"
04-Aug-2019 - 00:00,2.5,62.58,10.23,0.87,7.4,0.47,47.03,9.1,21.61,12.5,19.91,33.3,9.42,0.0,80.76,277.99,29.53,224.74,0.39,3.35,05-Aug-2019 - 00:00,"Model Town, Patiala - PPCB"
