from date,AT,BP,PM2.5,PM10,RH,SR,WD,WS,VWS,Benzene,Toluene,P-Xylene,NH3,NO2,NOx,NO,CO,Ozone,SO2,to date,station
15-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,16-Jan-2018 - 00:00,"Narela, Delhi - DPCC"
16-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,17-Jan-2018 - 00:00,"Narela, Delhi - DPCC"
17-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,18-Jan-2018 - 00:00,"Narela, Delhi - DPCC"
18-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,19-Jan-2018 - 00:00,"Narela, Delhi - DPCC"
19-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,20-Jan-2018 - 00:00,"Narela, Delhi - DPCC"
20-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,21-Jan-2018 - 00:00,"Narela, Delhi - DPCC"
21-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,22-Jan-2018 - 00:00,"Narela, Delhi - DPCC"
22-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,23-Jan-2018 - 00:00,"Narela, Delhi - DPCC"
23-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,24-Jan-2018 - 00:00,"Narela, Delhi - DPCC"
24-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,25-Jan-2018 - 00:00,"Narela, Delhi - DPCC"
25-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"Narela, Delhi - DPCC"
26-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"Narela, Delhi - DPCC"
27-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"Narela, Delhi - DPCC"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"Narela, Delhi - DPCC"
29-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,30-Jan-2018 - 00:00,"Narela, Delhi - DPCC"
30-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"Narela, Delhi - DPCC"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"Narela, Delhi - DPCC"
01-Feb-2018 - 00:00,22.23,990.49,164.78,252.41,53.49,218.11,297.87,1.28,0.0,,,,58.73,22.27,29.05,5.22,1.02,,13.4,02-Feb-2018 - 00:00,"Narela, Delhi - DPCC"
02-Feb-2018 - 00:00,17.7,989.11,148.67,237.42,68.12,153.77,301.58,1.07,0.0,,,,65.54,20.64,28.38,7.39,0.77,,9.73,03-Feb-2018 - 00:00,"Narela, Delhi - DPCC"
03-Feb-2018 - 00:00,16.52,991.62,139.44,234.03,60.5,167.15,291.76,1.22,0.0,,,,59.29,22.59,29.1,6.3,0.72,,11.9,04-Feb-2018 - 00:00,"Narela, Delhi - DPCC"
04-Feb-2018 - 00:00,14.69,992.01,169.65,218.85,64.82,167.23,315.2,1.18,0.0,0.54,0.87,0.21,56.19,21.01,24.63,4.02,0.63,18.95,11.35,05-Feb-2018 - 00:00,"Narela, Delhi - DPCC"
05-Feb-2018 - 00:00,14.71,994.33,200.95,308.9,57.82,125.81,311.87,0.96,0.0,0.94,5.08,0.35,57.97,27.58,35.79,8.4,0.89,37.09,14.86,06-Feb-2018 - 00:00,"Narela, Delhi - DPCC"
06-Feb-2018 - 00:00,15.71,994.21,190.61,268.05,59.28,125.57,314.95,1.55,0.0,1.18,10.08,0.5,61.34,23.37,29.07,6.31,0.82,37.01,15.27,07-Feb-2018 - 00:00,"Narela, Delhi - DPCC"
07-Feb-2018 - 00:00,14.75,991.12,178.47,257.06,58.68,187.72,323.02,1.33,0.0,0.62,2.82,0.23,54.91,22.87,33.59,10.88,0.86,41.27,13.46,08-Feb-2018 - 00:00,"Narela, Delhi - DPCC"
08-Feb-2018 - 00:00,14.36,990.18,183.7,354.06,65.45,164.73,294.1,0.78,0.0,1.11,6.69,0.45,65.26,28.86,42.33,14.44,1.15,33.29,19.0,09-Feb-2018 - 00:00,"Narela, Delhi - DPCC"
09-Feb-2018 - 00:00,15.15,990.31,209.8,352.42,63.83,173.93,278.94,0.92,0.0,1.42,13.57,1.39,64.15,30.13,44.26,14.77,1.11,33.4,17.07,10-Feb-2018 - 00:00,"Narela, Delhi - DPCC"
10-Feb-2018 - 00:00,15.64,993.14,193.46,378.03,58.76,156.19,155.71,0.6,0.0,3.5,20.13,1.64,60.54,53.35,75.46,43.06,1.39,29.36,12.65,11-Feb-2018 - 00:00,"Narela, Delhi - DPCC"
11-Feb-2018 - 00:00,17.54,,159.79,436.44,49.33,130.95,134.57,1.21,0.0,1.97,6.06,1.5,63.64,46.78,67.06,35.55,1.21,33.62,10.74,12-Feb-2018 - 00:00,"Narela, Delhi - DPCC"
12-Feb-2018 - 00:00,16.16,996.39,105.69,241.24,76.08,80.19,126.44,1.78,0.0,0.5,2.56,0.25,55.68,22.73,28.86,7.72,0.74,21.27,5.27,13-Feb-2018 - 00:00,"Narela, Delhi - DPCC"
13-Feb-2018 - 00:00,15.43,998.43,148.13,176.28,83.89,144.15,218.25,1.09,0.0,1.67,7.55,0.35,58.37,25.48,43.47,20.22,0.78,26.86,5.65,14-Feb-2018 - 00:00,"Narela, Delhi - DPCC"
14-Feb-2018 - 00:00,15.28,998.25,85.19,146.56,70.93,176.34,324.67,1.57,0.0,0.54,1.89,0.21,41.56,13.34,17.45,3.88,0.43,38.47,5.58,15-Feb-2018 - 00:00,"Narela, Delhi - DPCC"
15-Feb-2018 - 00:00,16.4,996.07,113.2,166.04,72.64,166.74,326.71,1.53,0.0,0.35,0.65,0.2,45.04,15.78,20.81,4.16,0.56,41.7,6.66,16-Feb-2018 - 00:00,"Narela, Delhi - DPCC"
16-Feb-2018 - 00:00,17.25,994.75,159.82,226.19,75.24,154.61,323.25,1.17,0.0,0.38,0.79,0.21,59.06,18.5,24.58,5.53,0.68,41.17,9.52,17-Feb-2018 - 00:00,"Narela, Delhi - DPCC"
17-Feb-2018 - 00:00,18.13,989.47,176.34,252.47,73.01,156.03,316.21,1.21,0.0,0.46,1.13,0.25,57.51,17.48,21.1,3.49,0.76,50.32,9.14,18-Feb-2018 - 00:00,"Narela, Delhi - DPCC"
18-Feb-2018 - 00:00,17.31,988.67,160.78,247.79,69.76,169.03,308.0,1.01,0.0,0.74,3.48,0.34,56.79,19.27,25.54,5.77,0.73,49.85,7.26,19-Feb-2018 - 00:00,"Narela, Delhi - DPCC"
19-Feb-2018 - 00:00,17.92,990.35,178.89,298.14,61.72,176.55,309.6,0.88,0.0,0.7,2.65,0.31,55.95,27.07,43.45,16.89,0.9,51.59,13.34,20-Feb-2018 - 00:00,"Narela, Delhi - DPCC"
20-Feb-2018 - 00:00,19.52,990.03,183.56,305.56,65.03,199.9,307.33,0.93,0.0,0.78,2.11,0.26,58.06,24.58,31.89,7.6,0.77,60.16,13.61,21-Feb-2018 - 00:00,"Narela, Delhi - DPCC"
21-Feb-2018 - 00:00,25.06,986.32,125.22,309.48,51.33,130.87,242.23,1.09,0.0,2.8,18.96,2.22,56.86,32.03,41.65,13.51,1.35,73.63,10.34,22-Feb-2018 - 00:00,"Narela, Delhi - DPCC"
22-Feb-2018 - 00:00,22.17,986.72,167.41,362.81,66.11,155.5,218.06,0.82,0.0,3.13,19.62,2.36,73.04,36.79,57.37,27.89,1.12,51.5,11.92,23-Feb-2018 - 00:00,"Narela, Delhi - DPCC"
23-Feb-2018 - 00:00,23.26,986.99,182.43,422.47,61.27,134.14,169.65,0.84,0.0,3.35,29.4,2.28,82.92,34.59,61.13,27.62,1.13,51.98,15.23,24-Feb-2018 - 00:00,"Narela, Delhi - DPCC"
24-Feb-2018 - 00:00,23.43,988.96,219.96,451.17,58.91,113.2,96.97,1.28,0.0,1.66,12.68,0.82,95.91,32.21,52.95,20.97,1.22,53.38,16.65,25-Feb-2018 - 00:00,"Narela, Delhi - DPCC"
25-Feb-2018 - 00:00,22.09,992.14,99.17,219.68,60.22,151.57,207.48,1.41,0.0,1.89,10.34,0.61,59.24,19.69,26.26,5.63,0.61,43.4,11.19,26-Feb-2018 - 00:00,"Narela, Delhi - DPCC"
26-Feb-2018 - 00:00,19.99,990.01,72.73,148.61,71.77,178.63,323.68,1.67,0.0,0.28,0.4,0.2,46.12,14.58,19.11,3.36,0.48,43.88,7.13,27-Feb-2018 - 00:00,"Narela, Delhi - DPCC"
27-Feb-2018 - 00:00,21.66,989.43,123.36,199.3,70.42,161.49,318.54,1.18,0.0,0.31,0.67,0.22,52.98,18.39,23.75,4.84,0.65,42.93,9.83,28-Feb-2018 - 00:00,"Narela, Delhi - DPCC"
28-Feb-2018 - 00:00,22.57,989.71,159.97,299.66,69.35,140.67,250.81,1.06,0.0,2.15,15.78,1.25,68.41,24.34,32.38,7.69,0.82,39.73,13.13,01-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
01-Mar-2018 - 00:00,21.58,988.11,145.11,271.78,67.2,158.74,265.75,0.98,0.0,0.98,4.46,0.44,62.5,20.87,34.91,13.4,0.81,41.33,10.39,02-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
02-Mar-2018 - 00:00,22.69,986.43,133.29,283.64,65.24,193.47,234.88,0.98,0.0,0.66,2.5,0.33,69.2,18.4,26.08,7.44,0.96,47.07,12.55,03-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
03-Mar-2018 - 00:00,23.25,984.51,107.86,205.1,61.88,177.68,242.79,0.88,0.0,0.78,3.34,0.29,43.18,15.74,31.78,10.91,0.56,27.68,6.1,04-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
04-Mar-2018 - 00:00,22.43,985.81,82.36,172.1,60.57,144.06,218.37,1.25,0.0,0.43,2.41,0.24,47.42,15.45,18.81,3.04,0.54,39.29,9.39,05-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
05-Mar-2018 - 00:00,20.99,988.86,97.75,174.34,64.99,216.93,311.12,1.37,0.0,0.39,1.2,0.22,45.25,16.07,22.03,6.02,0.55,45.74,10.89,06-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
06-Mar-2018 - 00:00,20.69,990.17,95.58,165.58,63.17,217.5,319.89,1.68,0.0,0.36,1.22,0.22,41.41,15.41,19.07,3.61,0.52,54.34,9.22,07-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
07-Mar-2018 - 00:00,20.88,989.26,114.96,194.79,62.43,222.76,311.24,1.47,0.0,0.6,4.76,0.56,39.46,21.41,31.98,8.7,0.61,38.83,9.51,08-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
08-Mar-2018 - 00:00,22.42,990.22,172.09,329.54,59.68,196.07,205.6,0.81,0.0,2.11,15.24,1.79,51.13,36.82,70.02,38.65,1.08,55.59,16.09,09-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
09-Mar-2018 - 00:00,23.14,990.24,124.62,262.67,57.94,205.38,268.48,1.32,0.0,1.6,6.68,0.58,48.05,30.44,54.04,28.93,0.87,49.3,11.93,10-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
10-Mar-2018 - 00:00,23.55,989.1,89.58,189.0,56.53,216.86,287.21,1.8,0.0,0.65,6.02,0.45,46.21,14.2,17.85,3.31,0.52,49.36,10.56,11-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
11-Mar-2018 - 00:00,23.13,988.14,103.42,192.96,59.55,214.95,316.79,1.33,0.0,0.4,1.1,0.22,45.75,16.55,20.1,3.35,0.57,50.69,11.56,12-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
12-Mar-2018 - 00:00,25.03,988.13,123.12,238.21,57.39,207.59,278.79,1.33,0.0,0.59,4.13,0.5,49.51,18.91,22.84,3.79,0.65,52.12,13.75,13-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
13-Mar-2018 - 00:00,26.04,986.65,136.55,309.88,52.59,213.11,256.1,1.05,0.0,0.69,7.55,2.21,54.3,28.52,44.71,17.19,0.8,54.01,13.98,14-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
14-Mar-2018 - 00:00,25.69,984.83,155.4,433.54,45.17,194.11,186.79,1.14,0.0,2.01,10.01,1.29,48.52,44.54,54.62,28.64,1.01,51.61,14.14,15-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
15-Mar-2018 - 00:00,24.62,984.99,145.57,395.88,52.39,160.89,192.8,1.53,0.0,1.59,11.52,1.29,58.82,24.18,42.26,17.32,0.87,31.98,14.17,16-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
16-Mar-2018 - 00:00,23.54,982.87,116.06,288.42,54.42,212.94,274.26,1.51,0.0,0.95,9.75,0.81,56.97,18.26,27.72,9.54,0.7,39.5,11.92,17-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
17-Mar-2018 - 00:00,20.0,987.33,116.35,231.05,61.17,226.29,311.63,1.6,0.0,0.59,1.96,0.28,53.68,12.24,17.41,3.92,0.42,37.45,10.84,18-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
18-Mar-2018 - 00:00,27.82,989.14,67.88,171.36,31.6,349.75,281.41,1.8,0.0,0.53,5.44,0.43,38.57,10.51,12.72,2.0,0.48,73.88,8.58,19-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
19-Mar-2018 - 00:00,24.64,990.09,95.81,265.22,45.42,201.32,279.43,1.33,0.0,1.2,10.47,0.95,53.18,16.42,24.14,7.49,0.65,45.68,15.98,20-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
20-Mar-2018 - 00:00,25.65,987.24,137.7,352.09,46.73,192.32,236.5,0.85,0.0,1.21,15.89,2.16,60.37,21.99,40.19,18.67,0.88,47.64,19.45,21-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
21-Mar-2018 - 00:00,25.17,985.06,115.84,261.9,57.42,188.6,185.37,1.6,0.02,1.79,14.28,1.06,69.96,15.02,24.57,8.17,0.69,40.24,13.05,22-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
22-Mar-2018 - 00:00,24.08,985.96,97.64,212.48,59.74,198.06,237.74,1.6,0.0,1.13,11.49,1.1,61.89,10.06,16.05,4.79,0.53,39.07,11.61,23-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
23-Mar-2018 - 00:00,23.21,987.2,75.72,181.36,59.6,238.24,315.88,1.43,0.0,0.34,1.7,0.26,49.56,9.51,12.93,2.77,0.48,41.33,10.53,24-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
24-Mar-2018 - 00:00,24.45,989.59,113.29,235.96,56.11,235.83,323.54,1.71,0.0,0.47,2.79,0.34,50.39,8.89,12.62,2.42,0.51,50.88,14.54,25-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
25-Mar-2018 - 00:00,24.77,990.69,106.0,207.29,56.41,228.63,319.83,1.64,0.0,0.39,1.12,0.23,48.34,8.4,12.09,2.08,0.54,51.13,10.85,26-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
26-Mar-2018 - 00:00,26.17,988.99,113.33,240.75,48.64,228.23,319.84,1.75,0.0,0.48,3.28,0.36,47.79,10.06,12.78,2.41,0.58,55.66,14.87,27-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
27-Mar-2018 - 00:00,27.01,985.74,128.9,329.83,41.33,235.46,257.66,1.01,0.0,2.36,13.96,2.47,47.76,25.63,41.39,22.97,0.95,42.31,19.26,28-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
28-Mar-2018 - 00:00,27.79,984.89,140.46,343.62,40.33,228.59,260.92,1.15,0.0,2.22,11.59,0.92,47.09,21.48,41.6,23.97,0.96,58.54,14.12,29-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
29-Mar-2018 - 00:00,27.2,984.14,101.08,230.7,41.89,229.77,322.02,1.59,0.0,0.98,3.61,0.44,45.06,9.35,12.52,2.56,0.56,65.22,13.08,30-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
30-Mar-2018 - 00:00,27.32,981.83,140.84,313.17,41.48,233.69,289.38,1.41,0.0,0.95,10.19,1.13,51.74,13.37,16.57,3.19,0.74,68.64,16.36,31-Mar-2018 - 00:00,"Narela, Delhi - DPCC"
31-Mar-2018 - 00:00,25.74,984.65,126.16,354.41,48.44,204.52,125.6,1.69,0.0,1.01,6.36,0.6,50.64,17.5,31.1,13.79,0.78,56.71,13.65,01-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
01-Apr-2018 - 00:00,28.97,986.65,101.86,272.31,41.81,275.8,110.09,1.58,0.0,0.94,7.93,0.65,55.38,14.45,19.92,4.65,0.67,86.56,10.45,02-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
02-Apr-2018 - 00:00,28.55,986.71,144.65,337.02,43.91,190.61,114.56,1.57,0.0,1.47,12.59,1.48,62.78,17.93,24.77,6.24,0.97,66.79,16.7,03-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
03-Apr-2018 - 00:00,30.36,985.21,157.47,356.11,40.89,189.95,122.18,1.33,0.0,0.93,8.06,0.91,68.03,21.21,28.14,8.17,1.03,78.29,17.58,04-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
04-Apr-2018 - 00:00,30.55,982.86,172.21,392.92,44.0,179.18,108.67,1.04,0.0,2.14,19.37,3.15,74.65,22.82,36.34,15.12,1.17,65.99,17.25,05-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
05-Apr-2018 - 00:00,30.56,981.5,152.17,376.84,43.13,191.54,194.44,1.02,0.0,1.69,17.56,1.64,77.36,24.13,45.43,23.96,0.99,58.01,15.41,06-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
06-Apr-2018 - 00:00,28.86,983.47,129.93,321.5,42.86,169.01,140.47,1.41,0.0,2.38,15.85,1.53,65.53,26.76,45.34,21.16,0.77,54.84,15.31,07-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
07-Apr-2018 - 00:00,28.18,985.78,67.44,194.86,44.3,230.77,125.18,1.52,0.0,0.96,6.22,0.44,52.15,26.6,40.88,15.63,0.53,67.63,9.75,08-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
08-Apr-2018 - 00:00,28.84,986.28,80.04,216.16,47.24,233.97,112.14,1.96,0.0,0.79,4.26,0.38,58.05,25.78,34.68,11.17,0.56,66.48,9.61,09-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
09-Apr-2018 - 00:00,26.78,985.85,65.12,183.76,56.76,79.11,150.66,0.94,0.0,0.7,8.81,0.86,62.22,54.69,77.24,27.33,0.97,44.15,7.36,10-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
10-Apr-2018 - 00:00,28.04,985.64,112.88,313.21,52.9,196.76,152.65,1.2,0.0,0.71,5.65,0.54,69.53,31.78,48.01,17.89,0.77,74.67,9.86,11-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
11-Apr-2018 - 00:00,25.05,985.74,58.92,148.12,61.25,155.07,94.74,2.07,0.0,1.08,11.02,0.7,57.61,18.64,30.66,11.89,0.46,36.23,7.11,12-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
12-Apr-2018 - 00:00,27.37,984.63,55.12,141.83,44.8,243.35,168.75,1.36,0.01,0.57,9.1,0.64,45.91,23.82,31.59,9.87,0.46,55.74,8.4,13-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
13-Apr-2018 - 00:00,27.93,985.62,89.75,220.12,30.16,261.78,258.88,1.09,0.0,2.32,10.23,0.84,43.96,33.89,48.53,23.19,0.61,56.17,10.5,14-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
14-Apr-2018 - 00:00,29.54,984.29,92.9,237.92,24.78,236.6,285.61,1.38,0.0,1.44,8.19,0.69,49.12,27.63,34.65,7.77,0.57,57.75,14.34,15-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
15-Apr-2018 - 00:00,30.71,983.62,122.04,331.13,28.19,230.71,278.94,0.98,0.0,0.91,7.59,0.44,53.72,26.91,42.37,17.48,0.81,62.63,14.65,16-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
16-Apr-2018 - 00:00,31.77,984.2,126.56,375.34,28.27,173.84,105.89,1.52,0.0,1.75,13.08,1.15,62.29,45.47,74.28,36.42,0.9,64.24,14.38,17-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
17-Apr-2018 - 00:00,32.15,985.32,100.75,318.11,27.26,226.41,187.13,1.35,0.0,1.42,10.66,0.92,51.11,33.44,43.77,22.9,0.7,55.52,11.29,18-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
18-Apr-2018 - 00:00,31.34,984.36,79.44,317.19,25.0,242.47,296.32,1.95,0.0,0.6,5.64,0.5,43.66,16.61,19.83,3.7,0.38,59.5,12.29,19-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
19-Apr-2018 - 00:00,32.79,981.06,93.1,320.32,22.85,226.04,264.79,1.33,0.0,0.73,5.8,0.51,41.12,20.12,24.41,4.54,0.49,65.91,12.49,20-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
20-Apr-2018 - 00:00,32.43,979.97,114.71,467.95,22.98,188.68,188.27,1.84,0.0,0.61,3.43,0.41,47.35,24.25,42.11,18.09,0.67,45.23,10.62,21-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
21-Apr-2018 - 00:00,29.09,984.57,93.23,433.15,32.44,205.66,287.99,1.46,0.0,0.46,4.44,0.31,39.75,12.46,14.64,2.42,0.36,66.0,12.76,22-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
22-Apr-2018 - 00:00,28.01,985.51,53.57,242.23,23.9,262.42,325.35,1.67,0.0,0.34,2.62,0.22,30.57,13.73,15.8,2.58,0.37,80.05,12.74,23-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
23-Apr-2018 - 00:00,29.15,984.6,71.53,246.63,19.14,258.7,325.62,1.7,0.0,0.5,3.67,0.36,29.81,17.83,20.87,3.47,0.47,84.12,10.45,24-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
24-Apr-2018 - 00:00,31.0,983.27,118.7,298.33,18.13,245.84,313.47,1.26,0.0,0.55,3.27,0.34,37.52,24.91,40.08,15.69,0.71,80.95,14.37,25-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
25-Apr-2018 - 00:00,32.72,980.75,105.06,438.08,16.82,238.82,253.38,0.89,0.0,2.6,5.02,0.57,40.5,59.35,57.66,27.94,1.1,61.17,23.0,26-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
26-Apr-2018 - 00:00,34.63,979.31,148.85,452.43,17.2,195.72,153.68,1.19,0.0,2.4,13.85,1.34,41.17,41.65,45.57,21.4,1.07,79.52,15.38,27-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
27-Apr-2018 - 00:00,32.3,982.6,125.2,447.81,40.79,212.16,120.1,1.81,0.0,0.78,4.28,0.48,69.14,23.56,30.24,7.79,0.88,51.76,14.34,28-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
28-Apr-2018 - 00:00,32.97,982.24,87.33,399.62,41.9,217.43,108.28,1.99,0.0,0.64,6.41,0.65,67.09,20.59,30.66,10.38,0.72,45.3,9.7,29-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
29-Apr-2018 - 00:00,33.17,979.4,111.17,345.21,40.51,200.22,113.26,1.16,0.0,0.91,4.8,0.47,64.13,23.5,37.7,12.81,0.87,50.69,13.39,30-Apr-2018 - 00:00,"Narela, Delhi - DPCC"
30-Apr-2018 - 00:00,33.17,977.63,103.14,293.58,38.15,221.37,127.62,1.46,0.0,0.89,5.4,0.5,62.86,20.14,29.25,8.68,0.77,55.17,10.63,01-May-2018 - 00:00,"Narela, Delhi - DPCC"
01-May-2018 - 00:00,31.21,981.11,55.65,199.97,49.9,222.45,115.44,2.25,0.0,0.48,1.42,0.22,63.44,24.75,32.83,10.37,0.59,38.13,9.35,02-May-2018 - 00:00,"Narela, Delhi - DPCC"
02-May-2018 - 00:00,30.06,982.4,59.95,256.65,49.18,197.45,110.06,2.29,0.0,0.83,5.88,0.51,57.98,20.34,27.52,8.0,0.59,35.22,8.18,03-May-2018 - 00:00,"Narela, Delhi - DPCC"
03-May-2018 - 00:00,29.66,982.96,49.97,216.53,45.87,201.08,122.59,2.48,0.0,0.36,1.52,0.22,44.17,19.99,29.18,10.01,0.45,34.4,6.3,04-May-2018 - 00:00,"Narela, Delhi - DPCC"
04-May-2018 - 00:00,30.75,983.53,70.12,165.32,48.97,234.94,105.8,2.02,0.0,0.47,6.42,0.56,49.28,18.71,23.66,7.49,0.58,68.01,8.34,05-May-2018 - 00:00,"Narela, Delhi - DPCC"
05-May-2018 - 00:00,33.16,982.51,114.42,272.05,38.81,230.02,163.61,0.91,0.0,1.39,10.19,1.75,51.45,34.97,53.56,25.45,0.93,75.74,10.21,06-May-2018 - 00:00,"Narela, Delhi - DPCC"
06-May-2018 - 00:00,32.18,983.12,132.58,355.52,34.83,235.5,92.4,1.61,0.0,1.48,11.56,0.85,56.67,21.6,34.34,14.09,0.86,84.58,12.81,07-May-2018 - 00:00,"Narela, Delhi - DPCC"
07-May-2018 - 00:00,32.85,981.12,156.4,363.99,31.05,240.57,218.46,1.16,0.0,1.13,10.64,0.91,51.19,19.08,30.49,11.36,0.87,70.19,14.29,08-May-2018 - 00:00,"Narela, Delhi - DPCC"
08-May-2018 - 00:00,29.24,981.84,52.65,168.89,42.35,236.42,243.89,2.12,0.01,0.43,3.24,0.35,39.32,9.39,14.1,4.4,0.4,98.3,4.86,09-May-2018 - 00:00,"Narela, Delhi - DPCC"
