from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO2,NO,NOx,Ozone,SO2,to date,station
25-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"Bawana, Delhi - DPCC"
26-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"Bawana, Delhi - DPCC"
27-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"Bawana, Delhi - DPCC"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"Bawana, Delhi - DPCC"
29-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,30-Jan-2018 - 00:00,"Bawana, Delhi - DPCC"
30-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"Bawana, Delhi - DPCC"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"Bawana, Delhi - DPCC"
01-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,02-Feb-2018 - 00:00,"Bawana, Delhi - DPCC"
02-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,03-Feb-2018 - 00:00,"Bawana, Delhi - DPCC"
03-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,04-Feb-2018 - 00:00,"Bawana, Delhi - DPCC"
04-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,05-Feb-2018 - 00:00,"Bawana, Delhi - DPCC"
05-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,06-Feb-2018 - 00:00,"Bawana, Delhi - DPCC"
06-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,07-Feb-2018 - 00:00,"Bawana, Delhi - DPCC"
07-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,08-Feb-2018 - 00:00,"Bawana, Delhi - DPCC"
08-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,09-Feb-2018 - 00:00,"Bawana, Delhi - DPCC"
09-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,10-Feb-2018 - 00:00,"Bawana, Delhi - DPCC"
10-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,11-Feb-2018 - 00:00,"Bawana, Delhi - DPCC"
11-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,12-Feb-2018 - 00:00,"Bawana, Delhi - DPCC"
12-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,13-Feb-2018 - 00:00,"Bawana, Delhi - DPCC"
13-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,14-Feb-2018 - 00:00,"Bawana, Delhi - DPCC"
14-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,15-Feb-2018 - 00:00,"Bawana, Delhi - DPCC"
15-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,16-Feb-2018 - 00:00,"Bawana, Delhi - DPCC"
16-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,17-Feb-2018 - 00:00,"Bawana, Delhi - DPCC"
17-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,18-Feb-2018 - 00:00,"Bawana, Delhi - DPCC"
18-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,19-Feb-2018 - 00:00,"Bawana, Delhi - DPCC"
19-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,20-Feb-2018 - 00:00,"Bawana, Delhi - DPCC"
20-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,21-Feb-2018 - 00:00,"Bawana, Delhi - DPCC"
21-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,22-Feb-2018 - 00:00,"Bawana, Delhi - DPCC"
22-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,23-Feb-2018 - 00:00,"Bawana, Delhi - DPCC"
23-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,24-Feb-2018 - 00:00,"Bawana, Delhi - DPCC"
24-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,25-Feb-2018 - 00:00,"Bawana, Delhi - DPCC"
25-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,26-Feb-2018 - 00:00,"Bawana, Delhi - DPCC"
26-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,27-Feb-2018 - 00:00,"Bawana, Delhi - DPCC"
27-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,28-Feb-2018 - 00:00,"Bawana, Delhi - DPCC"
28-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,01-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
01-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,02-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
02-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,03-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
03-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,04-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
04-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,05-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
05-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,06-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
06-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,07-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
07-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,08-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
08-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,09-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
09-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,10-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
10-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,11-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
11-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,12-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
12-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,13-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
13-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,14-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
14-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,15-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
15-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,16-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
16-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,17-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
17-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,18-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
18-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,19-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
19-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,20-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
20-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,21-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
21-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,22-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
22-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,23-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
23-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,24-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
24-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,25-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
25-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,26-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
26-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,27-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
27-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,28-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
28-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,29-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
29-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,30-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
30-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,31-Mar-2018 - 00:00,"Bawana, Delhi - DPCC"
31-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,01-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
01-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,02-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
02-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,03-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
03-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,04-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
04-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,05-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
05-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,06-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
06-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,07-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
07-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,08-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
08-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,09-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
09-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,10-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
10-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,11-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
11-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,12-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
12-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,13-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
13-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,14-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
14-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,15-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
15-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,16-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
16-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,17-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
17-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,18-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
18-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,19-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
19-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,20-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
20-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,21-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
21-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,22-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
22-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,23-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
23-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,24-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
24-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,25-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
25-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,26-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
26-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,27-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
27-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,28-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
28-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,29-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
29-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,30-Apr-2018 - 00:00,"Bawana, Delhi - DPCC"
30-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,01-May-2018 - 00:00,"Bawana, Delhi - DPCC"
01-May-2018 - 00:00,,,,,,,,,,,,,,,,,,02-May-2018 - 00:00,"Bawana, Delhi - DPCC"
02-May-2018 - 00:00,,,,,,,,,,,,,,,,,,03-May-2018 - 00:00,"Bawana, Delhi - DPCC"
03-May-2018 - 00:00,,,,,,,,,,,,,,,,,,04-May-2018 - 00:00,"Bawana, Delhi - DPCC"
04-May-2018 - 00:00,,,,,,,,,,,,,,,,,,05-May-2018 - 00:00,"Bawana, Delhi - DPCC"
05-May-2018 - 00:00,,,,,,,,,,,,,,,,,,06-May-2018 - 00:00,"Bawana, Delhi - DPCC"
06-May-2018 - 00:00,,,,,,,,,,,,,,,,,,07-May-2018 - 00:00,"Bawana, Delhi - DPCC"
07-May-2018 - 00:00,,,,,,,,,,,,,,,,,,08-May-2018 - 00:00,"Bawana, Delhi - DPCC"
08-May-2018 - 00:00,,,,,,,,,,,,,,,,,,09-May-2018 - 00:00,"Bawana, Delhi - DPCC"
09-May-2018 - 00:00,,,,,,,,,,,,,,,,,,10-May-2018 - 00:00,"Bawana, Delhi - DPCC"
10-May-2018 - 00:00,,,,,,,,,,,,,,,,,,11-May-2018 - 00:00,"Bawana, Delhi - DPCC"
11-May-2018 - 00:00,,,,,,,,,,,,,,,,,,12-May-2018 - 00:00,"Bawana, Delhi - DPCC"
12-May-2018 - 00:00,,,,,,,,,,,,,,,,,,13-May-2018 - 00:00,"Bawana, Delhi - DPCC"
13-May-2018 - 00:00,,,,,,,,,,,,,,,,,,14-May-2018 - 00:00,"Bawana, Delhi - DPCC"
14-May-2018 - 00:00,,,,,,,,,,,,,,,,,,15-May-2018 - 00:00,"Bawana, Delhi - DPCC"
15-May-2018 - 00:00,,,,,,,,,,,,,,,,,,16-May-2018 - 00:00,"Bawana, Delhi - DPCC"
16-May-2018 - 00:00,,,,,,,,,,,,,,,,,,17-May-2018 - 00:00,"Bawana, Delhi - DPCC"
17-May-2018 - 00:00,,,,,,,,,,,,,,,,,,18-May-2018 - 00:00,"Bawana, Delhi - DPCC"
18-May-2018 - 00:00,,,,,,,,,,,,,,,,,,19-May-2018 - 00:00,"Bawana, Delhi - DPCC"
19-May-2018 - 00:00,,,,,,,,,,,,,,,,,,20-May-2018 - 00:00,"Bawana, Delhi - DPCC"
20-May-2018 - 00:00,,,,,,,,,,,,,,,,,,21-May-2018 - 00:00,"Bawana, Delhi - DPCC"
21-May-2018 - 00:00,,,,,,,,,,,,,,,,,,22-May-2018 - 00:00,"Bawana, Delhi - DPCC"
22-May-2018 - 00:00,,,,,,,,,,,,,,,,,,23-May-2018 - 00:00,"Bawana, Delhi - DPCC"
23-May-2018 - 00:00,,,,,,,,,,,,,,,,,,24-May-2018 - 00:00,"Bawana, Delhi - DPCC"
24-May-2018 - 00:00,,,,,,,,,,,,,,,,,,25-May-2018 - 00:00,"Bawana, Delhi - DPCC"
25-May-2018 - 00:00,,,,,,,,,,,,,,,,,,26-May-2018 - 00:00,"Bawana, Delhi - DPCC"
26-May-2018 - 00:00,,,,,,,,,,,,,,,,,,27-May-2018 - 00:00,"Bawana, Delhi - DPCC"
27-May-2018 - 00:00,,,,,,,,,,,,,,,,,,28-May-2018 - 00:00,"Bawana, Delhi - DPCC"
28-May-2018 - 00:00,,,,,,,,,,,,,,,,,,29-May-2018 - 00:00,"Bawana, Delhi - DPCC"
29-May-2018 - 00:00,,,,,,,,,,,,,,,,,,30-May-2018 - 00:00,"Bawana, Delhi - DPCC"
30-May-2018 - 00:00,,,,,,,,,,,,,,,,,,31-May-2018 - 00:00,"Bawana, Delhi - DPCC"
31-May-2018 - 00:00,,,,,,,,,,,,,,,,,,01-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
01-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,02-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
02-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,03-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
03-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,04-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
04-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,05-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
05-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,06-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
06-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,07-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
07-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,08-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
08-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,09-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
09-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,10-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
10-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,11-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
11-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,12-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
12-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,13-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
13-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,14-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
14-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,15-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
15-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,16-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
16-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,17-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
17-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,18-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
18-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,19-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
19-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,20-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
20-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,21-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
21-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,22-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
22-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,23-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
23-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,24-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
24-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,25-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
25-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,26-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
26-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,27-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
27-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,28-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
28-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,29-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
29-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,30-Jun-2018 - 00:00,"Bawana, Delhi - DPCC"
30-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,01-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
01-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,02-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
02-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,03-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
03-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,04-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
04-Jul-2018 - 00:00,31.32,974.29,159.68,55.41,73.43,6.86,21.21,158.01,1.58,0.89,1.2,40.56,15.39,0.54,8.68,50.99,13.59,05-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
05-Jul-2018 - 00:00,32.0,975.2,143.51,54.49,68.31,215.54,44.97,119.32,1.56,0.8,1.53,41.66,17.94,1.2,10.52,45.87,13.89,06-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
06-Jul-2018 - 00:00,33.33,975.34,183.05,74.42,60.47,231.37,24.89,78.86,1.31,0.72,1.27,53.78,12.92,0.98,7.67,59.16,14.73,07-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
07-Jul-2018 - 00:00,34.16,974.58,175.86,70.82,56.59,256.9,20.77,81.33,1.53,0.82,1.52,57.55,13.29,0.73,7.68,75.27,17.34,08-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
08-Jul-2018 - 00:00,35.25,973.52,236.08,98.12,53.43,273.26,59.41,114.64,1.26,0.9,2.45,81.39,19.96,3.76,13.68,71.38,14.42,09-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
09-Jul-2018 - 00:00,34.56,973.25,213.06,80.62,62.72,180.37,20.02,210.08,1.79,1.01,1.51,60.27,17.36,0.79,9.88,59.92,15.5,10-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
10-Jul-2018 - 00:00,34.24,973.85,138.29,58.33,68.49,234.35,14.23,198.29,1.77,0.95,1.27,49.5,15.84,1.3,9.5,40.67,14.83,11-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
11-Jul-2018 - 00:00,32.92,973.39,128.92,50.71,69.99,158.22,24.68,225.87,1.94,0.89,1.68,38.38,14.57,0.84,8.44,33.34,14.41,12-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
12-Jul-2018 - 00:00,33.01,972.77,140.46,55.5,67.04,190.03,15.56,237.32,1.45,0.79,1.02,35.65,11.11,0.77,6.54,50.42,12.42,13-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
13-Jul-2018 - 00:00,29.55,974.11,71.33,39.17,83.32,131.75,29.73,175.78,1.42,0.91,1.33,34.73,14.0,1.37,8.56,26.09,13.85,14-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
14-Jul-2018 - 00:00,29.09,973.84,73.62,41.54,88.17,172.15,22.08,182.3,1.39,0.89,1.39,38.01,10.32,1.67,6.86,16.84,13.71,15-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
15-Jul-2018 - 00:00,30.9,973.43,102.41,52.82,82.29,222.52,36.0,188.64,1.53,1.02,1.6,38.35,12.45,1.47,7.82,25.02,12.78,16-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
16-Jul-2018 - 00:00,29.69,974.07,98.04,55.71,89.87,83.71,71.61,181.46,1.31,1.1,2.02,46.79,14.11,1.31,8.59,20.5,12.35,17-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
17-Jul-2018 - 00:00,31.75,974.3,101.57,50.12,80.78,167.36,69.82,169.65,1.3,1.09,1.7,49.93,15.8,1.59,9.7,31.37,15.22,18-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
18-Jul-2018 - 00:00,31.79,975.12,114.11,54.46,79.11,177.71,58.47,153.01,1.66,1.06,1.66,55.96,14.85,2.56,9.99,22.81,17.88,19-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
19-Jul-2018 - 00:00,32.37,974.88,102.86,43.27,74.15,232.58,20.18,189.07,1.39,0.94,1.09,44.95,12.91,2.29,8.74,21.76,18.47,20-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
20-Jul-2018 - 00:00,30.21,974.32,93.08,48.93,84.58,105.76,50.47,140.13,1.06,0.92,1.46,42.32,12.14,1.95,8.04,19.23,18.22,21-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
21-Jul-2018 - 00:00,29.29,974.45,83.14,55.51,87.64,128.77,40.08,159.04,1.15,1.09,2.02,47.08,16.79,3.33,11.65,20.23,16.09,22-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
22-Jul-2018 - 00:00,28.62,974.97,56.75,38.81,90.89,138.26,27.65,176.21,1.15,0.97,1.1,37.67,11.88,2.09,8.07,21.78,15.27,23-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
