from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,P-Xylene,NH3,NO2,NOx,NO,SO2,CO,Ozone,to date,station
04-Feb-2018 - 00:00,15.95,992.59,292.96,146.9,59.35,124.99,235.77,0.82,0.51,2.8,0.82,38.08,68.76,124.86,49.92,17.79,1.44,1.78,05-Feb-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
05-Feb-2018 - 00:00,14.94,994.76,351.23,183.53,58.18,82.38,224.69,0.66,0.5,2.13,0.64,38.65,98.39,242.89,120.31,20.76,2.14,27.32,06-Feb-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
06-Feb-2018 - 00:00,16.83,994.61,290.36,147.41,51.21,77.08,241.55,0.95,0.44,2.11,0.59,36.86,90.35,130.9,46.51,20.4,1.67,27.43,07-Feb-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
07-Feb-2018 - 00:00,16.08,991.67,272.28,137.08,51.92,126.7,233.45,0.84,0.34,1.76,0.48,34.71,73.66,83.67,84.41,21.53,1.73,40.88,08-Feb-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
08-Feb-2018 - 00:00,14.66,990.8,341.12,181.86,64.85,96.57,218.57,0.56,0.93,3.3,0.74,36.57,94.24,132.41,229.65,18.15,3.08,27.89,09-Feb-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
09-Feb-2018 - 00:00,15.15,990.83,402.12,223.15,66.32,115.84,229.19,0.62,1.57,2.82,0.7,38.23,86.82,160.45,136.38,18.22,3.23,32.96,10-Feb-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
10-Feb-2018 - 00:00,15.72,993.08,414.25,207.79,65.4,97.53,194.57,0.55,2.3,3.36,0.85,30.77,86.88,81.36,139.12,15.21,4.55,39.95,11-Feb-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
11-Feb-2018 - 00:00,16.93,992.64,332.27,163.37,62.05,81.23,141.81,0.78,0.81,1.81,0.59,35.44,79.21,117.75,125.02,18.43,2.71,20.02,12-Feb-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
12-Feb-2018 - 00:00,16.17,994.88,157.32,76.39,77.84,59.75,104.7,1.18,0.17,0.9,0.41,37.9,43.63,55.54,13.46,15.4,0.8,18.03,13-Feb-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
13-Feb-2018 - 00:00,16.64,998.52,190.39,111.73,78.97,106.56,206.32,0.69,0.27,1.67,0.49,41.08,70.36,169.43,88.27,18.16,1.36,29.44,14-Feb-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
14-Feb-2018 - 00:00,17.16,998.69,147.43,68.37,61.35,124.57,255.23,1.1,0.19,1.11,0.4,28.66,44.49,47.51,8.07,15.66,0.66,32.75,15-Feb-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
15-Feb-2018 - 00:00,18.08,996.65,174.02,84.13,62.32,118.93,253.62,1.02,0.2,1.14,0.38,33.08,50.56,58.9,10.15,18.71,0.88,36.58,16-Feb-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
16-Feb-2018 - 00:00,18.15,995.2,258.57,151.62,71.41,117.15,237.56,0.8,0.39,1.49,0.45,42.0,71.77,116.65,41.42,20.73,1.3,29.24,17-Feb-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
17-Feb-2018 - 00:00,18.64,990.03,281.74,143.49,69.51,125.32,238.77,0.82,0.33,1.69,0.46,40.97,72.26,120.59,43.3,23.66,1.37,30.88,18-Feb-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
18-Feb-2018 - 00:00,18.35,989.26,291.24,132.7,66.0,135.92,228.19,0.71,0.33,1.51,0.48,37.48,78.24,113.68,114.01,18.71,1.72,36.47,19-Feb-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
19-Feb-2018 - 00:00,18.13,990.73,323.32,154.23,63.15,132.91,220.61,0.61,0.52,2.66,0.74,36.59,93.03,135.3,211.69,21.95,2.79,39.03,20-Feb-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
20-Feb-2018 - 00:00,19.44,990.35,360.92,174.71,65.1,133.48,213.95,0.67,1.22,2.76,0.57,40.92,86.02,147.75,122.35,19.65,2.91,39.34,21-Feb-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
21-Feb-2018 - 00:00,21.66,988.15,372.38,159.92,64.3,126.37,199.42,0.56,2.19,2.59,0.97,32.59,102.72,104.16,108.91,15.47,4.38,38.17,22-Feb-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
22-Feb-2018 - 00:00,22.35,987.19,320.67,151.08,66.75,115.8,211.95,0.57,0.64,3.03,0.69,42.78,89.88,149.53,174.56,19.8,2.64,36.01,23-Feb-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
23-Feb-2018 - 00:00,23.01,987.44,348.54,152.67,64.8,95.78,211.09,0.54,0.51,2.58,0.69,47.43,97.23,227.55,186.53,23.55,2.89,31.59,24-Feb-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
24-Feb-2018 - 00:00,23.86,989.34,397.83,177.17,64.14,104.44,109.27,0.65,0.42,1.7,0.48,54.47,85.37,160.43,92.47,21.29,2.15,42.08,25-Feb-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
25-Feb-2018 - 00:00,23.14,992.43,248.46,103.5,58.98,120.46,254.94,1.03,0.26,1.04,0.41,43.55,56.9,73.04,27.28,22.46,0.97,35.59,26-Feb-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
26-Feb-2018 - 00:00,21.8,990.53,165.5,57.92,60.97,145.91,235.1,1.35,0.23,0.74,0.33,28.45,38.69,43.61,8.16,15.3,0.54,36.09,27-Feb-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
27-Feb-2018 - 00:00,22.54,989.9,202.99,77.14,64.93,127.28,222.67,0.83,0.29,1.26,0.46,34.28,62.14,93.04,54.78,18.19,1.22,27.84,28-Feb-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
28-Feb-2018 - 00:00,22.92,990.05,311.06,126.1,70.54,106.47,220.21,0.65,0.62,2.38,0.61,42.98,79.6,157.78,93.52,20.18,1.98,34.5,01-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
01-Mar-2018 - 00:00,22.27,988.55,272.3,104.79,64.52,109.21,209.8,0.63,0.41,2.27,0.58,38.4,77.48,193.14,125.39,21.2,2.08,28.28,02-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
02-Mar-2018 - 00:00,23.29,986.96,266.18,111.61,63.52,130.99,223.9,0.76,0.42,1.29,0.59,37.08,82.65,203.76,125.6,16.6,2.3,35.02,03-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
03-Mar-2018 - 00:00,24.25,984.86,252.9,91.8,59.55,119.37,206.63,0.79,0.27,0.97,0.45,35.87,70.39,123.61,62.11,22.56,1.46,30.31,04-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
04-Mar-2018 - 00:00,23.4,986.13,224.12,76.92,54.86,90.82,218.72,0.91,0.24,0.97,0.4,33.29,57.32,89.63,41.48,20.72,1.01,29.95,05-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
05-Mar-2018 - 00:00,22.12,989.98,177.98,62.36,58.75,140.88,216.01,1.03,0.21,1.04,0.37,30.74,53.98,108.93,43.11,19.88,0.98,34.45,06-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
06-Mar-2018 - 00:00,21.82,990.76,179.61,65.32,56.64,134.06,225.73,1.42,0.18,0.96,0.38,29.18,52.58,65.6,15.49,19.58,0.78,35.32,07-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
07-Mar-2018 - 00:00,21.91,989.74,216.28,86.13,57.02,140.15,227.46,1.16,0.31,1.11,0.43,30.83,70.13,85.86,78.3,19.63,1.39,37.74,08-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
08-Mar-2018 - 00:00,22.78,990.74,265.81,113.08,62.12,128.56,173.67,0.66,0.5,2.04,0.66,33.27,106.16,82.58,193.59,24.29,3.35,44.87,09-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
09-Mar-2018 - 00:00,24.22,990.74,286.48,121.46,55.88,134.12,225.0,1.02,0.89,2.0,0.52,34.04,82.0,110.51,73.38,24.24,2.7,36.93,10-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
10-Mar-2018 - 00:00,25.06,989.7,176.34,69.53,48.16,148.49,234.34,1.53,0.17,0.96,0.38,33.2,53.78,58.34,8.57,22.51,0.75,32.6,11-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
11-Mar-2018 - 00:00,24.36,988.65,236.1,90.76,53.98,137.57,220.92,1.14,0.17,1.0,0.41,36.49,65.8,116.12,55.94,23.56,1.28,36.67,12-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
12-Mar-2018 - 00:00,25.58,988.67,241.39,101.94,51.57,143.71,210.05,1.13,0.3,1.28,0.53,36.28,79.68,145.6,66.85,22.46,1.53,31.39,13-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
13-Mar-2018 - 00:00,26.26,987.05,268.59,101.37,49.76,147.63,200.16,0.99,0.54,1.45,0.68,35.55,87.78,149.45,111.25,21.49,2.29,25.22,14-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
14-Mar-2018 - 00:00,25.87,985.19,370.97,109.85,46.19,126.6,151.45,0.7,0.74,1.44,0.68,33.13,79.83,142.3,123.87,18.69,2.26,28.52,15-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
15-Mar-2018 - 00:00,25.48,985.44,318.04,102.43,49.83,123.16,212.74,1.15,0.25,1.09,0.49,38.2,85.41,127.35,60.16,22.33,1.19,20.95,16-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
16-Mar-2018 - 00:00,24.57,986.64,284.07,109.68,50.98,130.29,224.07,1.05,0.28,1.13,0.44,39.41,66.87,152.29,69.99,22.75,1.22,31.63,17-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
17-Mar-2018 - 00:00,21.36,987.89,255.59,112.46,54.75,118.27,216.01,1.3,0.21,0.83,0.38,36.62,54.98,68.88,19.11,28.27,0.84,23.68,18-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
18-Mar-2018 - 00:00,28.14,989.49,156.46,57.27,28.67,211.39,226.1,1.26,0.17,0.84,0.37,26.54,48.15,49.88,4.85,21.75,0.74,63.77,19-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
19-Mar-2018 - 00:00,25.42,990.58,224.76,84.26,44.47,134.36,194.73,1.0,0.25,1.36,0.49,29.98,87.81,174.64,111.49,23.15,1.58,30.23,20-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
20-Mar-2018 - 00:00,26.51,987.66,284.21,111.39,46.68,129.53,184.38,0.76,0.32,1.77,0.61,35.52,104.13,203.34,139.97,29.36,2.17,43.6,21-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
21-Mar-2018 - 00:00,26.47,985.39,336.62,141.81,49.62,106.94,188.63,0.98,0.36,1.39,0.52,47.72,69.53,126.15,59.72,33.6,1.61,47.35,22-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
22-Mar-2018 - 00:00,25.0,986.34,189.47,78.06,53.5,87.81,235.38,0.95,0.16,0.79,0.36,38.24,47.14,50.09,7.15,29.01,0.85,45.32,23-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
23-Mar-2018 - 00:00,24.5,987.61,156.52,62.79,51.77,139.28,232.86,1.17,0.25,0.71,0.32,29.09,52.66,79.39,24.36,17.52,0.85,44.71,24-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
24-Mar-2018 - 00:00,26.09,990.03,190.24,70.42,48.67,141.98,238.9,1.18,0.23,0.75,0.37,29.26,58.99,55.8,10.75,20.36,0.79,46.44,25-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
25-Mar-2018 - 00:00,26.23,991.3,220.2,75.35,49.1,139.08,227.45,1.33,0.19,0.59,0.34,33.02,59.59,55.84,6.0,22.92,0.88,47.09,26-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
26-Mar-2018 - 00:00,27.09,989.54,206.31,69.3,43.55,138.19,225.06,1.24,0.14,0.81,0.36,31.25,60.4,100.29,41.77,21.33,1.1,46.83,27-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
27-Mar-2018 - 00:00,27.64,986.13,248.0,86.79,38.27,144.27,202.69,0.88,0.43,0.94,0.4,28.78,80.28,120.1,62.0,21.02,1.94,38.09,28-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
28-Mar-2018 - 00:00,29.08,985.28,280.15,90.67,38.49,143.73,217.83,1.09,0.47,0.98,0.4,29.07,73.16,68.33,106.84,21.07,2.34,47.74,29-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
29-Mar-2018 - 00:00,28.57,984.92,225.3,94.25,37.6,172.82,227.01,1.17,0.0,0.0,0.0,30.97,61.05,90.93,25.93,30.37,1.03,48.95,30-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
30-Mar-2018 - 00:00,28.33,981.82,273.24,101.65,38.94,194.51,223.43,1.1,,,,34.45,79.54,133.37,54.45,25.44,1.38,48.41,31-Mar-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
31-Mar-2018 - 00:00,26.33,985.16,350.46,114.96,46.82,176.63,80.93,0.88,,,,43.34,73.36,86.48,60.03,27.15,1.41,55.15,01-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
01-Apr-2018 - 00:00,28.08,986.78,223.74,78.04,44.79,186.13,82.05,0.83,,,,40.04,63.47,79.65,17.11,23.56,1.01,55.03,02-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
02-Apr-2018 - 00:00,28.71,987.08,259.46,92.71,46.33,165.26,91.24,0.67,,,,42.64,82.85,159.78,67.87,26.61,1.62,44.12,03-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
03-Apr-2018 - 00:00,30.13,985.59,292.92,104.79,44.51,149.39,92.04,0.68,0.1,0.52,0.19,46.69,92.17,171.73,71.71,24.09,1.58,47.21,04-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
04-Apr-2018 - 00:00,30.67,983.17,296.42,101.71,45.09,157.74,149.73,0.71,0.29,0.54,0.25,47.19,93.83,150.53,96.06,20.75,2.23,47.6,05-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
05-Apr-2018 - 00:00,30.9,981.81,391.0,138.79,45.72,156.1,217.46,0.65,0.5,1.06,0.33,47.33,92.32,140.23,126.26,25.24,2.73,62.24,06-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
06-Apr-2018 - 00:00,28.81,983.87,237.09,98.96,45.72,105.46,184.19,1.05,0.16,0.47,0.16,39.01,71.74,112.56,45.18,30.47,1.2,51.44,07-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
07-Apr-2018 - 00:00,27.62,986.18,149.58,46.5,53.22,181.45,108.16,0.82,0.11,0.33,0.14,36.32,50.52,81.2,25.69,17.95,0.83,50.59,08-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
08-Apr-2018 - 00:00,29.12,986.89,149.17,46.58,47.62,174.18,68.99,0.91,0.12,0.23,0.11,35.25,45.03,51.96,6.1,19.54,0.75,44.89,09-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
09-Apr-2018 - 00:00,25.86,988.03,133.29,44.5,61.66,100.63,110.37,0.88,0.09,0.41,0.15,38.11,60.7,91.75,52.29,21.41,1.19,31.31,10-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
10-Apr-2018 - 00:00,28.23,986.21,270.69,93.1,54.81,154.55,135.07,0.94,0.22,0.65,0.23,42.01,68.13,103.49,66.94,22.01,1.4,61.94,11-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
11-Apr-2018 - 00:00,26.51,983.64,139.43,51.85,56.03,147.58,123.65,1.28,0.08,0.36,0.11,35.14,47.58,48.0,9.69,17.05,0.67,33.94,12-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
12-Apr-2018 - 00:00,27.28,985.26,120.71,40.18,49.61,185.05,200.44,0.89,0.11,0.58,0.15,29.63,59.33,93.35,33.04,14.11,0.97,56.3,13-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
13-Apr-2018 - 00:00,28.07,986.11,180.04,66.02,36.28,206.85,196.17,0.63,0.38,0.63,0.2,27.74,77.0,117.88,67.72,12.34,1.67,46.88,14-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
14-Apr-2018 - 00:00,28.96,985.0,241.75,86.64,33.92,189.26,188.2,0.71,0.41,1.37,0.37,30.86,83.86,149.28,144.47,18.62,2.03,46.79,15-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
15-Apr-2018 - 00:00,30.47,984.31,286.17,108.1,38.4,177.74,181.33,0.6,0.4,1.12,0.39,34.11,112.41,135.54,176.03,20.71,2.34,57.9,16-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
16-Apr-2018 - 00:00,31.05,984.73,361.83,127.17,37.64,131.0,117.75,0.72,0.28,1.43,0.44,40.12,99.91,126.64,133.69,24.44,2.28,46.32,17-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
17-Apr-2018 - 00:00,31.92,985.73,272.92,87.39,32.49,177.26,195.84,0.92,0.16,0.75,0.22,31.39,80.62,149.33,79.68,16.62,1.28,40.75,18-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
18-Apr-2018 - 00:00,32.27,980.73,237.65,76.15,25.28,195.26,244.34,1.0,0.11,0.48,0.11,26.03,56.8,66.16,11.74,15.84,0.68,39.24,19-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
19-Apr-2018 - 00:00,32.32,981.57,298.09,91.17,28.3,177.29,212.53,0.69,0.13,0.73,0.21,26.37,78.6,139.84,63.73,21.89,1.16,39.12,20-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
20-Apr-2018 - 00:00,32.75,980.6,395.86,123.33,24.88,144.49,173.16,1.4,0.11,0.43,0.15,27.09,54.0,70.92,19.26,17.95,0.74,35.22,21-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
21-Apr-2018 - 00:00,30.13,985.09,555.51,148.77,29.23,165.89,233.07,0.75,0.12,0.35,0.12,22.98,43.67,43.88,4.23,16.93,0.57,46.99,22-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
22-Apr-2018 - 00:00,29.38,986.07,238.18,60.12,22.77,219.52,237.82,0.77,0.09,0.38,0.14,21.77,50.47,56.04,10.27,27.85,0.57,57.21,23-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
23-Apr-2018 - 00:00,29.88,985.49,215.33,55.91,21.34,306.12,229.72,0.9,0.13,0.48,0.17,21.24,65.99,95.72,61.17,16.59,0.5,50.28,24-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
24-Apr-2018 - 00:00,30.49,983.29,330.89,111.44,25.43,277.36,221.42,0.77,0.51,0.55,0.2,26.09,89.31,82.78,76.67,12.21,1.72,53.37,25-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
25-Apr-2018 - 00:00,32.17,981.22,338.92,127.17,26.05,204.19,200.36,0.7,0.48,0.95,0.37,22.9,86.83,119.84,82.84,15.49,2.47,44.18,26-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
26-Apr-2018 - 00:00,33.76,979.33,473.78,167.48,24.32,27.23,150.86,0.67,0.79,0.73,0.39,26.25,116.84,80.72,113.76,9.12,1.93,24.34,27-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
27-Apr-2018 - 00:00,32.37,982.97,402.59,108.3,44.13,160.24,93.88,0.79,0.19,0.69,0.27,45.48,64.98,54.5,42.0,15.41,1.36,58.36,28-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
28-Apr-2018 - 00:00,33.37,982.76,364.21,80.43,42.96,160.65,83.56,1.01,0.08,0.34,0.14,40.41,42.9,41.96,2.02,19.63,0.93,66.75,29-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
29-Apr-2018 - 00:00,33.12,979.76,307.89,77.06,44.48,161.42,124.7,0.8,0.11,0.39,0.15,41.42,70.96,87.08,18.85,18.19,1.18,68.42,30-Apr-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
