from date,NO2,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,WS,WD,RH,to date,station
08-Feb-2018 - 00:00,,,,,,,,,,,,,09-Feb-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
09-Feb-2018 - 00:00,,,,,,,,,,,,,10-Feb-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
10-Feb-2018 - 00:00,,,,,,,,,,,,,11-Feb-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
11-Feb-2018 - 00:00,,,,,,,,,,,,,12-Feb-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
12-Feb-2018 - 00:00,,,,,,,,,,,,,13-Feb-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
13-Feb-2018 - 00:00,,,,,,,,,,,,,14-Feb-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
14-Feb-2018 - 00:00,,,,,,,,,,,,,15-Feb-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
15-Feb-2018 - 00:00,,,,,,,,,,,,,16-Feb-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
16-Feb-2018 - 00:00,,,,,,,,,,,,,17-Feb-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
17-Feb-2018 - 00:00,,,,,,,,,,,,,18-Feb-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
18-Feb-2018 - 00:00,,,,,,,,,,,,,19-Feb-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
19-Feb-2018 - 00:00,,,,,,,,,,,,,20-Feb-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
20-Feb-2018 - 00:00,,,,,,,,,,,,,21-Feb-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
21-Feb-2018 - 00:00,,,,,,,,,,,,,22-Feb-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
22-Feb-2018 - 00:00,,,,,,,,,,,,,23-Feb-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
23-Feb-2018 - 00:00,,,,,,,,,,,,,24-Feb-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
24-Feb-2018 - 00:00,,,,,,,,,,,,,25-Feb-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
25-Feb-2018 - 00:00,,,,,,,,,,,,,26-Feb-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
26-Feb-2018 - 00:00,,,,,,,,,,,,,27-Feb-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
27-Feb-2018 - 00:00,,,,,,,,,,,,,28-Feb-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
28-Feb-2018 - 00:00,,,,,,,,,,,,,01-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
01-Mar-2018 - 00:00,,,,,,,,,,,,,02-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
02-Mar-2018 - 00:00,,,,,,,,,,,,,03-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
03-Mar-2018 - 00:00,,,,,,,,,,,,,04-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
04-Mar-2018 - 00:00,,,,,,,,,,,,,05-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
05-Mar-2018 - 00:00,,,,,,,,,,,,,06-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
06-Mar-2018 - 00:00,,,,,,,,,,,,,07-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
07-Mar-2018 - 00:00,,,,,,,,,,,,,08-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
08-Mar-2018 - 00:00,,,,,,,,,,,,,09-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
09-Mar-2018 - 00:00,,,,,,,,,,,,,10-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
10-Mar-2018 - 00:00,,,,,,,,,,,,,11-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
11-Mar-2018 - 00:00,,,,,,,,,,,,,12-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
12-Mar-2018 - 00:00,,,,,,,,,,,,,13-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
13-Mar-2018 - 00:00,,,,,,,,,,,,,14-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
14-Mar-2018 - 00:00,,,,,,,,,,,,,15-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
15-Mar-2018 - 00:00,,,,,,,,,,,,,16-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
16-Mar-2018 - 00:00,,,,,,,,,,,,,17-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
17-Mar-2018 - 00:00,,,,,,,,,,,,,18-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
18-Mar-2018 - 00:00,,,,,,,,,,,,,19-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
19-Mar-2018 - 00:00,,,,,,,,,,,,,20-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
20-Mar-2018 - 00:00,,,,,,,,,,,,,21-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
21-Mar-2018 - 00:00,,,,,,,,,,,,,22-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
22-Mar-2018 - 00:00,,,,,,,,,,,,,23-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
23-Mar-2018 - 00:00,,,,,,,,,,,,,24-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
24-Mar-2018 - 00:00,,,,,,,,,,,,,25-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
25-Mar-2018 - 00:00,,,,,,,,,,,,,26-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
26-Mar-2018 - 00:00,,,,,,,,,,,,,27-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
27-Mar-2018 - 00:00,,,,,,,,,,,,,28-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
28-Mar-2018 - 00:00,,,,,,,,,,,,,29-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
29-Mar-2018 - 00:00,,,,,,,,,,,,,30-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
30-Mar-2018 - 00:00,,,,,,,,,,,,,31-Mar-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
31-Mar-2018 - 00:00,,,,,,,,,,,,,01-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
01-Apr-2018 - 00:00,,,,,,,,,,,,,02-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
02-Apr-2018 - 00:00,,,,,,,,,,,,,03-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
03-Apr-2018 - 00:00,,,,,,,,,,,,,04-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
04-Apr-2018 - 00:00,,,,,,,,,,,,,05-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
05-Apr-2018 - 00:00,,,,,,,,,,,,,06-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
06-Apr-2018 - 00:00,,,,,,,,,,,,,07-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
07-Apr-2018 - 00:00,,,,,,,,,,,,,08-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
08-Apr-2018 - 00:00,,,,,,,,,,,,,09-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
09-Apr-2018 - 00:00,,,,,,,,,,,,,10-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
10-Apr-2018 - 00:00,,,,,,,,,,,,,11-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
11-Apr-2018 - 00:00,,,,,,,,,,,,,12-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
12-Apr-2018 - 00:00,,,,,,,,,,,,,13-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
13-Apr-2018 - 00:00,,,,,,,,,,,,,14-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
14-Apr-2018 - 00:00,,,,,,,,,,,,,15-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
15-Apr-2018 - 00:00,,,,,,,,,,,,,16-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
16-Apr-2018 - 00:00,,,,,,,,,,,,,17-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
17-Apr-2018 - 00:00,,,,,,,,,,,,,18-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
18-Apr-2018 - 00:00,,,,,,,,,,,,,19-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
19-Apr-2018 - 00:00,,,,,,,,,,,,,20-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
20-Apr-2018 - 00:00,,,,,,,,,,,,,21-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
21-Apr-2018 - 00:00,,,,,,,,,,,,,22-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
22-Apr-2018 - 00:00,,,,,,,,,,,,,23-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
23-Apr-2018 - 00:00,,,,,,,,,,,,,24-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
24-Apr-2018 - 00:00,,,,,,,,,,,,,25-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
25-Apr-2018 - 00:00,,,,,,,,,,,,,26-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
26-Apr-2018 - 00:00,,,,,,,,,,,,,27-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
27-Apr-2018 - 00:00,,,,,,,,,,,,,28-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
28-Apr-2018 - 00:00,,,,,,,,,,,,,29-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
29-Apr-2018 - 00:00,,,,,,,,,,,,,30-Apr-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
30-Apr-2018 - 00:00,,,,,,,,,,,,,01-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
01-May-2018 - 00:00,,,,,,,,,,,,,02-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
02-May-2018 - 00:00,,,,,,,,,,,,,03-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
03-May-2018 - 00:00,,,,,,,,,,,,,04-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
04-May-2018 - 00:00,,,,,,,,,,,,,05-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
05-May-2018 - 00:00,,,,,,,,,,,,,06-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
06-May-2018 - 00:00,,,,,,,,,,,,,07-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
07-May-2018 - 00:00,,,,,,,,,,,,,08-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
08-May-2018 - 00:00,,,,,,,,,,,,,09-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
09-May-2018 - 00:00,,,,,,,,,,,,,10-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
10-May-2018 - 00:00,,,,,,,,,,,,,11-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
11-May-2018 - 00:00,,,,,,,,,,,,,12-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
12-May-2018 - 00:00,,,,,,,,,,,,,13-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
13-May-2018 - 00:00,,,,,,,,,,,,,14-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
14-May-2018 - 00:00,,,,,,,,,,,,,15-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
15-May-2018 - 00:00,,,,,,,,,,,,,16-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
16-May-2018 - 00:00,,,,,,,,,,,,,17-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
17-May-2018 - 00:00,,,,,,,,,,,,,18-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
18-May-2018 - 00:00,,,,,,,,,,,,,19-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
19-May-2018 - 00:00,,,,,,,,,,,,,20-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
20-May-2018 - 00:00,,,,,,,,,,,,,21-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
21-May-2018 - 00:00,,,,,,,,,,,,,22-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
22-May-2018 - 00:00,,,,,,,,,,,,,23-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
23-May-2018 - 00:00,,,,,,,,,,,,,24-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
24-May-2018 - 00:00,,,,,,,,,,,,,25-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
25-May-2018 - 00:00,,,,,,,,,,,,,26-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
26-May-2018 - 00:00,,,,,,,,,,,,,27-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
27-May-2018 - 00:00,,,,,,,,,,,,,28-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
28-May-2018 - 00:00,,,,,,,,,,,,,29-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
29-May-2018 - 00:00,,,,,,,,,,,,,30-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
30-May-2018 - 00:00,,,,,,,,,,,,,31-May-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
31-May-2018 - 00:00,,,,,,,,,,,,,01-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
01-Jun-2018 - 00:00,,,,,,,,,,,,,02-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
02-Jun-2018 - 00:00,,,,,,,,,,,,,03-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
03-Jun-2018 - 00:00,,,,,,,,,,,,,04-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
04-Jun-2018 - 00:00,,,,,,,,,,,,,05-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
05-Jun-2018 - 00:00,,,,,,,,,,,,,06-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
06-Jun-2018 - 00:00,,,,,,,,,,,,,07-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
07-Jun-2018 - 00:00,,,,,,,,,,,,,08-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
08-Jun-2018 - 00:00,,,,,,,,,,,,,09-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
09-Jun-2018 - 00:00,,,,,,,,,,,,,10-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
10-Jun-2018 - 00:00,,,,,,,,,,,,,11-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
11-Jun-2018 - 00:00,,,,,,,,,,,,,12-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
12-Jun-2018 - 00:00,,,,,,,,,,,,,13-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
13-Jun-2018 - 00:00,,,,,,,,,,,,,14-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
14-Jun-2018 - 00:00,,,,,,,,,,,,,15-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
15-Jun-2018 - 00:00,,,,,,,,,,,,,16-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
16-Jun-2018 - 00:00,,,,,,,,,,,,,17-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
17-Jun-2018 - 00:00,,,,,,,,,,,,,18-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
18-Jun-2018 - 00:00,,,,,,,,,,,,,19-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
19-Jun-2018 - 00:00,,,,,,,,,,,,,20-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
20-Jun-2018 - 00:00,,,,,,,,,,,,,21-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
21-Jun-2018 - 00:00,,,,,,,,,,,,,22-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
22-Jun-2018 - 00:00,,,,,,,,,,,,,23-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
23-Jun-2018 - 00:00,,,,,,,,,,,,,24-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
24-Jun-2018 - 00:00,,,,,,,,,,,,,25-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
25-Jun-2018 - 00:00,9.9,14.4,1.0,0.46,29.6,9.0,31.0,0.1,,2.5,,71.0,26-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
26-Jun-2018 - 00:00,,,,,,,,,,,,,27-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
27-Jun-2018 - 00:00,,,,,,,,,,,,,28-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
28-Jun-2018 - 00:00,,,,,,,,,,,,,29-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
29-Jun-2018 - 00:00,,,,,,,,,,,,,30-Jun-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
30-Jun-2018 - 00:00,,,,,,,,,,,,,01-Jul-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
01-Jul-2018 - 00:00,12.35,19.12,4.7,0.29,23.09,21.5,43.0,0.27,29.6,1.52,,79.83,02-Jul-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
02-Jul-2018 - 00:00,12.61,16.21,4.58,0.43,35.38,11.46,34.91,0.17,26.02,1.71,,64.0,03-Jul-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
03-Jul-2018 - 00:00,11.92,16.91,3.79,0.38,26.42,17.36,43.48,0.17,26.53,1.62,,71.43,04-Jul-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
04-Jul-2018 - 00:00,10.77,16.99,4.03,0.43,22.07,15.5,61.77,0.18,27.12,2.01,,70.41,05-Jul-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
05-Jul-2018 - 00:00,11.42,17.88,5.5,0.4,22.33,15.98,47.98,0.17,27.32,2.09,,70.0,06-Jul-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
06-Jul-2018 - 00:00,11.59,17.19,3.13,0.49,23.04,13.2,38.47,0.18,26.65,1.9,,76.15,07-Jul-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
07-Jul-2018 - 00:00,10.75,16.37,3.63,0.41,26.71,7.7,23.75,0.14,26.71,1.96,,77.33,08-Jul-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
08-Jul-2018 - 00:00,12.68,16.57,4.57,0.47,22.44,10.29,24.91,0.14,26.68,1.73,,81.8,09-Jul-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
09-Jul-2018 - 00:00,12.13,17.66,3.69,0.38,22.25,15.01,41.39,0.13,26.57,1.8,,78.79,10-Jul-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
10-Jul-2018 - 00:00,15.21,17.49,3.95,0.5,17.9,14.32,37.12,0.1,27.26,1.42,,84.43,11-Jul-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
11-Jul-2018 - 00:00,13.74,18.21,3.95,0.34,15.87,12.91,32.29,0.1,28.77,1.46,,85.56,12-Jul-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
12-Jul-2018 - 00:00,10.1,18.23,3.82,0.44,22.7,9.29,30.78,0.14,28.82,2.13,,77.92,13-Jul-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
13-Jul-2018 - 00:00,11.46,18.35,4.62,0.31,20.54,12.65,30.39,0.18,29.56,1.92,,81.97,14-Jul-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
14-Jul-2018 - 00:00,10.46,18.75,4.39,0.4,20.28,12.75,37.74,0.16,29.93,2.21,,79.93,15-Jul-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
15-Jul-2018 - 00:00,7.59,17.44,4.01,0.33,21.65,11.44,47.46,0.1,29.09,2.61,,73.22,16-Jul-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
16-Jul-2018 - 00:00,9.93,17.68,4.33,0.26,17.26,9.4,30.53,0.14,29.58,2.19,,77.49,17-Jul-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
17-Jul-2018 - 00:00,8.77,18.74,3.37,0.3,22.7,10.0,34.42,0.14,30.33,2.39,,76.97,18-Jul-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
18-Jul-2018 - 00:00,,,,,,,,,,,,,19-Jul-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
19-Jul-2018 - 00:00,,,,,,,,,,,,,20-Jul-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
20-Jul-2018 - 00:00,10.9,26.57,5.19,0.53,27.78,10.37,37.8,0.15,29.54,2.85,,71.12,21-Jul-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
21-Jul-2018 - 00:00,10.22,19.8,4.23,0.37,26.62,13.61,40.88,0.16,29.27,2.22,,77.85,22-Jul-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
22-Jul-2018 - 00:00,8.54,18.03,4.06,0.32,25.8,16.18,50.54,0.13,29.27,2.17,,74.77,23-Jul-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
23-Jul-2018 - 00:00,11.61,18.27,4.0,0.41,18.37,13.26,38.01,0.21,29.48,1.78,,78.82,24-Jul-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
24-Jul-2018 - 00:00,11.45,19.02,4.23,0.36,16.77,11.15,30.86,0.18,29.61,1.56,,80.02,25-Jul-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
25-Jul-2018 - 00:00,12.15,19.11,3.66,0.44,14.2,9.92,29.45,0.21,29.62,1.51,,80.65,26-Jul-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
26-Jul-2018 - 00:00,12.76,19.81,4.11,0.46,16.55,14.9,40.58,0.21,29.64,1.54,,77.0,27-Jul-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
27-Jul-2018 - 00:00,9.92,19.21,3.79,0.44,19.44,15.76,47.47,0.19,29.53,1.84,,75.97,28-Jul-2018 - 00:00,"Hebbal, Bengaluru - KSPCB"
