from date,NO2,NH3,NOx,NO,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,RH,BP,Toluene,WS,WD,to date,station
09-Jul-2018 - 00:00,50.54,36.06,42.15,19.51,14.48,0.66,19.7,15.45,35.41,0.48,27.32,83.49,709.01,11.52,,193.62,10-Jul-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
10-Jul-2018 - 00:00,46.15,35.23,37.12,15.5,12.27,0.54,20.42,12.42,32.64,0.42,27.1,84.61,709.97,11.74,,186.21,11-Jul-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
11-Jul-2018 - 00:00,33.63,33.78,27.91,12.39,19.61,0.6,22.2,11.35,30.0,0.33,27.16,82.2,710.48,10.06,,187.94,12-Jul-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
12-Jul-2018 - 00:00,35.66,31.76,27.08,12.5,20.51,0.48,25.68,10.76,30.66,0.31,27.5,78.32,709.48,9.27,,190.6,13-Jul-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
13-Jul-2018 - 00:00,33.54,30.75,27.01,12.19,16.37,0.37,25.98,12.62,27.9,0.33,27.49,79.72,709.15,9.06,,191.8,14-Jul-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
14-Jul-2018 - 00:00,31.34,30.6,26.66,12.32,21.47,0.52,23.24,13.14,55.98,0.31,27.7,80.95,708.57,8.57,,194.51,15-Jul-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
15-Jul-2018 - 00:00,19.31,29.94,17.37,9.32,11.87,0.44,23.94,13.09,45.23,0.22,27.16,74.66,708.1,7.12,,194.99,16-Jul-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
16-Jul-2018 - 00:00,35.0,30.82,29.06,14.98,15.42,0.53,18.54,9.91,26.39,0.3,27.16,79.25,709.03,7.55,,191.68,17-Jul-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
17-Jul-2018 - 00:00,34.11,30.8,26.71,12.72,17.03,0.44,24.54,11.33,34.62,0.29,27.23,77.4,709.53,7.26,,194.21,18-Jul-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
18-Jul-2018 - 00:00,32.46,30.04,26.31,12.21,17.75,0.46,26.19,12.16,36.11,0.29,26.98,74.84,710.04,8.2,,194.6,19-Jul-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
19-Jul-2018 - 00:00,36.16,31.0,26.05,11.06,13.79,0.49,28.67,11.11,31.35,0.3,27.47,78.5,710.36,6.89,,194.45,20-Jul-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
20-Jul-2018 - 00:00,29.95,26.85,21.52,9.69,13.99,0.41,33.87,10.81,30.81,0.26,27.22,76.3,710.33,6.71,,197.55,21-Jul-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
21-Jul-2018 - 00:00,38.98,27.16,28.18,11.23,16.21,0.52,31.5,14.32,36.57,0.31,27.13,80.74,711.28,7.17,,195.4,22-Jul-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
22-Jul-2018 - 00:00,24.57,27.89,18.86,8.46,17.07,0.53,31.97,16.26,47.67,0.27,27.12,76.27,711.06,7.1,,193.84,23-Jul-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
23-Jul-2018 - 00:00,53.35,28.72,42.91,23.08,13.66,0.58,22.95,15.29,37.51,0.43,27.43,80.77,710.72,9.52,,197.76,24-Jul-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
24-Jul-2018 - 00:00,34.87,32.33,29.01,14.08,11.72,0.45,22.11,12.45,29.84,0.37,27.24,79.03,711.94,8.54,,196.56,25-Jul-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
25-Jul-2018 - 00:00,36.55,30.82,31.21,15.09,14.21,0.54,19.35,12.06,24.58,0.37,26.86,80.06,712.26,8.5,,197.61,26-Jul-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
26-Jul-2018 - 00:00,40.14,32.05,32.33,14.12,12.29,0.54,21.66,13.83,34.23,0.39,27.14,78.14,712.62,8.76,,194.32,27-Jul-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
27-Jul-2018 - 00:00,33.84,31.05,28.56,13.04,14.2,0.52,22.33,15.82,44.43,0.36,27.21,77.41,712.29,8.45,,191.59,28-Jul-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
28-Jul-2018 - 00:00,38.46,31.64,30.62,12.51,10.14,0.58,22.91,16.85,45.22,0.35,27.13,78.58,711.6,7.32,,189.01,29-Jul-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
29-Jul-2018 - 00:00,31.96,32.4,24.61,9.44,10.53,0.55,23.9,16.68,38.39,0.18,26.96,76.93,710.91,4.42,,200.57,30-Jul-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
30-Jul-2018 - 00:00,37.65,32.67,29.02,12.9,14.43,0.65,23.55,16.04,43.47,0.18,26.97,76.26,710.86,4.48,,199.79,31-Jul-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
31-Jul-2018 - 00:00,27.82,31.49,25.4,13.19,11.26,0.44,22.81,15.61,43.86,0.15,27.03,77.02,711.65,4.33,,192.67,01-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
01-Aug-2018 - 00:00,53.89,31.81,42.01,18.03,7.8,0.61,21.56,15.76,41.03,0.2,27.37,79.04,712.56,4.36,,195.46,02-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
02-Aug-2018 - 00:00,43.18,31.24,36.87,17.23,13.37,0.59,21.61,15.36,53.42,0.19,26.9,75.9,712.99,4.71,,198.36,03-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
03-Aug-2018 - 00:00,42.2,32.27,36.18,16.88,12.66,0.65,17.73,15.69,45.25,0.19,26.92,80.85,713.61,4.69,,194.6,04-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
04-Aug-2018 - 00:00,39.2,33.35,33.26,15.27,10.1,0.36,19.27,18.84,55.42,0.18,27.19,79.09,713.43,4.63,,198.22,05-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
05-Aug-2018 - 00:00,26.91,31.45,23.39,11.19,10.69,0.52,21.22,15.39,53.31,0.13,26.85,76.26,713.2,3.95,,204.7,06-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
06-Aug-2018 - 00:00,40.55,32.36,31.74,16.6,8.53,0.61,21.86,13.78,39.06,0.16,27.58,77.19,711.83,3.59,,198.19,07-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
07-Aug-2018 - 00:00,37.86,32.06,31.2,14.17,8.82,0.55,19.86,11.86,31.71,0.16,27.15,80.36,710.0,3.58,,193.84,08-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
08-Aug-2018 - 00:00,45.68,32.0,42.62,22.52,11.69,0.64,16.16,9.98,22.01,0.19,27.04,86.27,709.71,3.91,,191.82,09-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
09-Aug-2018 - 00:00,36.85,31.86,32.26,15.57,15.29,0.65,20.87,11.85,27.94,0.16,26.79,81.93,711.96,3.57,,198.19,10-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
10-Aug-2018 - 00:00,35.1,30.86,30.93,15.08,12.78,0.61,19.01,11.51,27.74,0.15,26.77,84.19,713.35,3.4,,199.95,11-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
11-Aug-2018 - 00:00,37.5,31.03,31.98,15.53,9.23,0.56,18.2,8.91,21.91,0.18,26.97,85.23,712.19,3.22,,206.01,12-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
12-Aug-2018 - 00:00,28.39,30.65,25.01,12.22,11.97,0.5,18.78,7.58,15.38,0.13,26.96,87.73,710.75,2.95,,206.61,13-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
13-Aug-2018 - 00:00,33.21,30.13,30.07,16.7,7.26,0.51,18.18,6.43,16.9,0.14,27.43,84.8,710.31,3.02,,196.07,14-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
14-Aug-2018 - 00:00,40.33,29.44,38.43,21.5,9.25,0.65,15.49,8.01,14.45,0.19,27.24,86.69,709.25,3.42,,196.96,15-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
15-Aug-2018 - 00:00,40.83,30.72,33.82,15.45,12.33,0.68,18.95,10.0,20.98,0.16,26.92,85.3,708.74,3.43,,196.4,16-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
16-Aug-2018 - 00:00,38.66,31.19,28.43,12.56,9.27,0.39,25.34,7.69,21.55,0.14,26.82,82.1,708.96,2.94,,190.34,17-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
17-Aug-2018 - 00:00,35.65,30.43,27.06,11.55,9.18,0.6,25.45,9.2,26.82,0.14,26.71,78.12,708.66,2.86,,196.94,18-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
18-Aug-2018 - 00:00,35.61,29.84,26.94,11.7,13.19,0.61,26.62,13.08,37.69,0.15,26.74,76.6,709.53,2.73,,197.24,19-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
19-Aug-2018 - 00:00,28.16,28.98,21.51,8.92,10.28,0.66,27.45,11.32,29.32,0.12,26.73,76.33,709.66,2.58,,207.08,20-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
20-Aug-2018 - 00:00,40.49,30.32,32.82,14.16,6.82,0.61,23.62,14.43,42.09,0.16,26.82,77.85,710.51,2.88,,199.09,21-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
21-Aug-2018 - 00:00,36.77,31.1,28.39,12.91,5.98,0.59,25.58,13.51,43.85,0.14,27.12,73.98,711.54,2.74,,196.59,22-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
22-Aug-2018 - 00:00,34.76,29.49,27.15,11.2,10.23,0.49,25.82,12.79,39.02,0.14,26.9,74.75,712.35,2.86,,199.12,23-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
23-Aug-2018 - 00:00,43.22,31.67,33.98,14.88,12.44,0.61,22.22,10.04,26.39,0.16,26.9,78.41,712.78,3.29,,206.26,24-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
24-Aug-2018 - 00:00,40.05,34.6,33.33,14.8,19.4,0.59,21.39,11.61,31.61,0.16,26.92,84.1,712.52,3.37,,207.61,25-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
25-Aug-2018 - 00:00,40.76,35.12,32.96,14.43,13.73,0.7,20.14,12.55,39.6,0.17,26.89,80.52,711.73,3.7,,208.8,26-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
26-Aug-2018 - 00:00,39.96,36.14,33.17,14.69,7.15,0.53,21.29,10.93,31.14,0.15,27.56,83.38,710.89,3.47,,202.7,27-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
27-Aug-2018 - 00:00,48.56,34.92,43.1,21.99,8.39,0.58,16.05,11.95,32.44,0.19,27.53,86.4,710.77,3.72,,198.21,28-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
28-Aug-2018 - 00:00,41.51,36.58,35.7,16.75,6.86,0.56,19.61,10.83,27.91,0.15,27.47,83.26,711.16,2.98,,193.89,29-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
29-Aug-2018 - 00:00,46.72,33.22,53.39,35.12,10.53,0.67,20.7,11.04,28.0,0.2,26.92,83.32,712.58,3.81,,195.15,30-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
30-Aug-2018 - 00:00,41.47,34.54,35.97,17.13,12.11,0.68,19.38,12.19,34.9,0.17,26.85,79.54,711.9,3.6,,204.62,31-Aug-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
31-Aug-2018 - 00:00,46.2,33.96,37.84,16.41,13.69,0.75,19.22,10.86,27.32,0.17,26.96,80.77,712.3,3.46,,204.4,01-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
01-Sep-2018 - 00:00,42.35,34.82,31.72,11.33,13.97,0.62,26.03,16.02,41.26,0.15,27.34,75.72,713.23,2.96,,201.6,02-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
02-Sep-2018 - 00:00,30.81,33.73,23.15,8.36,14.74,0.66,31.7,15.43,46.96,0.14,27.06,77.94,713.24,3.13,,211.51,03-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
03-Sep-2018 - 00:00,49.79,32.13,40.01,17.44,13.6,0.64,31.04,17.14,50.21,0.18,26.98,78.07,713.32,3.6,,218.24,04-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
04-Sep-2018 - 00:00,64.4,37.81,48.83,17.99,10.64,0.72,34.89,18.85,50.95,0.21,28.3,77.17,713.67,3.35,,199.83,05-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
05-Sep-2018 - 00:00,35.79,33.03,25.55,9.61,8.74,0.61,31.92,16.51,43.2,0.16,26.89,79.86,713.33,3.27,,208.53,06-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
06-Sep-2018 - 00:00,32.08,33.45,25.67,10.59,11.82,0.67,31.47,15.11,42.15,0.14,27.42,75.36,711.8,2.67,,209.45,07-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
07-Sep-2018 - 00:00,28.92,29.19,22.67,9.9,11.8,0.62,31.05,12.24,35.38,0.12,26.57,76.22,712.52,2.68,,200.95,08-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
08-Sep-2018 - 00:00,34.11,29.04,26.02,9.72,10.36,0.67,29.27,11.53,27.18,0.14,26.74,76.52,712.7,3.07,,203.81,09-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
09-Sep-2018 - 00:00,54.81,32.5,36.84,9.58,9.16,0.67,44.39,17.92,37.44,0.21,26.72,73.05,712.86,3.79,,183.39,10-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
10-Sep-2018 - 00:00,81.14,44.93,52.8,11.85,11.16,0.97,41.11,28.53,63.76,0.4,26.84,79.52,714.79,4.78,,191.75,11-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
11-Sep-2018 - 00:00,89.94,48.53,58.53,13.15,9.65,0.91,70.7,24.4,52.5,0.35,26.65,78.4,715.06,4.99,,168.6,12-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
12-Sep-2018 - 00:00,103.92,42.8,66.92,14.36,9.23,0.96,61.71,22.57,50.53,0.33,26.66,75.15,713.81,4.34,,190.86,13-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
13-Sep-2018 - 00:00,107.74,50.02,70.67,16.45,11.38,1.16,40.2,23.24,54.68,0.38,26.54,80.33,712.6,5.04,,163.17,14-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
14-Sep-2018 - 00:00,119.85,69.97,77.29,16.65,11.03,1.01,64.01,24.56,54.14,0.36,26.67,77.47,713.1,4.8,,176.74,15-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
15-Sep-2018 - 00:00,101.58,56.8,67.63,16.77,9.1,1.02,55.61,19.89,39.18,0.3,26.69,82.44,713.69,4.97,,183.06,16-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
16-Sep-2018 - 00:00,77.28,53.9,59.8,38.13,11.08,0.89,42.15,18.49,37.49,0.33,26.75,81.81,712.46,5.01,,183.85,17-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
17-Sep-2018 - 00:00,62.16,52.53,46.72,16.79,9.03,0.8,24.69,11.84,29.14,0.22,26.8,77.24,711.91,3.69,,197.5,18-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
18-Sep-2018 - 00:00,44.76,54.07,32.79,11.09,8.18,0.66,30.27,10.43,29.43,0.15,27.12,71.43,711.8,2.8,,209.31,19-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
19-Sep-2018 - 00:00,54.25,45.41,37.84,11.05,6.8,0.61,33.88,13.07,37.24,0.16,27.14,71.96,711.59,2.79,,204.29,20-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
20-Sep-2018 - 00:00,81.3,47.68,63.26,24.7,7.32,0.9,41.05,20.03,52.46,0.26,27.25,78.45,709.6,4.14,,211.73,21-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
21-Sep-2018 - 00:00,67.89,47.59,45.91,12.12,8.14,0.69,40.01,21.16,53.36,0.22,27.21,75.84,710.16,3.38,,188.9,22-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
22-Sep-2018 - 00:00,66.74,46.11,71.99,44.98,7.57,0.88,49.28,18.44,48.96,0.27,27.17,69.98,713.2,3.76,,171.76,23-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
23-Sep-2018 - 00:00,92.72,54.4,61.26,14.72,10.37,0.84,61.69,28.53,60.71,0.32,27.22,77.58,714.99,4.26,,127.73,24-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
24-Sep-2018 - 00:00,61.25,55.6,40.37,10.17,8.16,0.65,75.9,11.17,23.74,0.22,27.44,81.67,715.1,3.63,,185.9,25-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
25-Sep-2018 - 00:00,138.04,62.46,99.75,33.69,11.55,1.29,100.65,29.06,69.15,0.72,28.08,74.77,713.19,7.64,,160.81,26-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
26-Sep-2018 - 00:00,37.33,20.84,21.6,2.2,6.87,0.55,54.49,23.12,49.75,0.37,26.59,75.81,712.8,4.48,,180.99,27-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
27-Sep-2018 - 00:00,25.9,9.24,21.44,9.43,1.72,0.97,47.64,28.4,53.85,0.43,25.76,80.69,712.6,5.02,,160.73,28-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
28-Sep-2018 - 00:00,20.46,9.01,16.45,6.84,1.55,0.71,30.45,22.53,52.76,0.37,26.21,74.07,712.78,5.09,,117.05,29-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
29-Sep-2018 - 00:00,16.73,8.91,14.2,6.67,2.98,0.7,25.97,13.34,38.36,0.3,26.19,77.6,713.14,3.93,,111.1,30-Sep-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
30-Sep-2018 - 00:00,17.78,8.95,13.3,4.73,1.3,0.7,36.82,18.18,48.6,0.28,26.11,75.58,713.01,3.57,,135.01,01-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
01-Oct-2018 - 00:00,17.71,8.61,17.32,9.71,2.18,0.76,26.77,16.33,39.0,0.33,26.17,75.23,713.16,3.88,,113.4,02-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
02-Oct-2018 - 00:00,11.87,7.79,8.47,2.65,2.36,0.42,23.28,12.96,26.85,0.19,26.26,78.31,713.79,3.18,,118.22,03-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
03-Oct-2018 - 00:00,13.08,7.22,9.19,2.75,1.04,0.59,30.49,10.05,31.5,0.18,26.13,77.23,713.52,2.85,,124.01,04-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
04-Oct-2018 - 00:00,15.59,6.71,13.65,6.7,1.66,0.56,11.19,12.86,28.23,0.23,26.28,87.01,713.84,3.23,,150.31,05-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
05-Oct-2018 - 00:00,12.74,6.09,11.52,5.83,1.86,0.53,11.43,7.42,21.45,0.21,26.52,83.5,713.44,2.94,,129.77,06-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
06-Oct-2018 - 00:00,13.29,6.22,11.81,5.84,1.58,0.56,12.12,5.48,19.77,0.19,26.51,83.66,713.26,2.96,,115.23,07-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
07-Oct-2018 - 00:00,29.5,6.9,21.6,7.3,1.8,,2.74,22.0,59.0,0.4,28.6,82.0,713.0,5.0,,68.0,08-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
08-Oct-2018 - 00:00,23.47,7.68,16.05,4.37,2.33,0.11,65.72,25.79,59.81,0.29,26.23,68.8,712.45,3.68,,155.3,09-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
09-Oct-2018 - 00:00,23.56,9.72,14.73,2.72,2.98,1.03,74.69,28.29,66.97,0.32,28.51,61.04,711.68,4.19,,202.31,10-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
10-Oct-2018 - 00:00,42.13,7.75,50.67,34.78,3.92,0.44,85.26,44.64,115.95,0.55,27.52,54.33,711.15,6.13,,204.76,11-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
11-Oct-2018 - 00:00,33.58,8.15,34.33,20.26,2.13,0.17,62.49,49.1,113.91,0.7,25.71,63.93,711.99,7.27,,169.66,12-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
12-Oct-2018 - 00:00,21.22,8.19,16.42,6.33,2.49,0.36,68.47,56.74,136.24,0.63,25.5,64.06,713.05,6.7,,174.22,13-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
13-Oct-2018 - 00:00,17.71,9.94,11.15,2.2,1.31,0.73,82.26,59.88,136.84,0.76,27.21,65.1,714.41,7.12,,144.04,14-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
14-Oct-2018 - 00:00,22.5,8.77,13.77,2.23,1.22,0.63,68.42,47.11,86.2,0.37,26.48,78.08,715.43,4.15,,155.17,15-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
15-Oct-2018 - 00:00,27.94,8.33,17.83,5.86,1.78,0.8,70.82,43.77,80.36,0.57,26.48,81.79,715.94,6.21,,157.82,16-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
16-Oct-2018 - 00:00,16.59,7.51,10.97,2.65,3.11,0.45,41.72,33.58,69.0,0.3,26.4,76.53,716.04,3.51,,91.84,17-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
17-Oct-2018 - 00:00,17.78,6.03,14.8,6.59,1.72,0.53,48.11,13.59,28.1,0.26,26.58,79.91,715.89,3.64,,182.5,18-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
18-Oct-2018 - 00:00,21.26,6.31,14.37,3.79,1.98,0.67,52.47,18.09,35.61,0.41,26.51,79.53,715.18,4.32,,161.51,19-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
19-Oct-2018 - 00:00,13.32,6.16,8.25,1.44,1.95,0.56,43.03,20.32,38.97,0.2,26.39,75.46,715.18,2.68,,138.72,20-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
20-Oct-2018 - 00:00,14.44,5.4,8.69,1.25,1.87,0.5,63.42,26.28,49.77,0.18,26.25,64.27,716.2,2.54,,154.8,21-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
21-Oct-2018 - 00:00,15.6,5.82,9.22,1.14,1.79,0.54,64.1,42.62,,0.2,25.74,65.83,716.59,2.55,,144.78,22-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
22-Oct-2018 - 00:00,31.76,6.09,21.58,5.75,1.47,0.7,61.74,46.88,117.88,0.31,25.59,56.67,716.45,2.89,,127.18,23-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
23-Oct-2018 - 00:00,36.16,7.49,24.51,6.48,2.48,0.74,55.23,49.67,118.69,0.39,25.61,57.69,716.35,3.4,,124.75,24-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
24-Oct-2018 - 00:00,30.44,7.36,19.52,4.1,2.67,0.67,50.81,45.35,102.9,0.34,25.68,56.11,715.73,3.04,,140.27,25-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
25-Oct-2018 - 00:00,23.33,7.5,14.74,2.86,2.86,0.66,55.41,49.43,104.17,0.29,25.59,64.28,716.89,2.69,,133.31,26-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
26-Oct-2018 - 00:00,17.8,6.51,11.43,2.41,2.0,0.63,66.79,50.15,107.03,0.26,26.15,64.02,717.25,2.38,,149.51,27-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
27-Oct-2018 - 00:00,22.7,6.54,13.29,1.56,3.49,0.6,78.15,40.91,95.06,0.29,25.65,57.47,716.92,2.63,,172.14,28-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
28-Oct-2018 - 00:00,19.15,5.45,10.46,0.4,1.51,0.58,84.52,36.41,89.62,0.3,25.47,49.46,715.74,2.82,,241.12,29-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
29-Oct-2018 - 00:00,24.8,5.79,15.13,2.81,1.88,0.79,77.54,36.3,95.14,0.39,26.12,46.56,714.28,3.77,,237.59,30-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
30-Oct-2018 - 00:00,25.25,5.1,14.71,2.2,2.3,0.68,65.64,36.83,87.9,0.43,25.65,54.39,713.53,3.88,,182.56,31-Oct-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
31-Oct-2018 - 00:00,17.92,4.45,9.93,1.12,2.19,0.71,57.68,38.14,80.71,0.34,25.65,68.53,713.57,2.92,,197.35,01-Nov-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
01-Nov-2018 - 00:00,11.78,3.95,6.5,0.9,2.01,0.5,52.55,19.05,47.28,0.21,25.92,70.03,713.91,2.26,,195.61,02-Nov-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
02-Nov-2018 - 00:00,14.03,5.52,8.83,2.31,2.52,0.57,27.72,10.72,30.14,0.18,24.93,79.51,714.66,1.97,,136.26,03-Nov-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
03-Nov-2018 - 00:00,14.05,7.94,7.93,0.99,3.0,1.83,30.01,17.87,35.55,0.15,22.95,80.77,715.17,1.92,,130.4,04-Nov-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
04-Nov-2018 - 00:00,10.07,7.31,5.65,0.46,2.34,0.55,43.21,17.0,37.0,0.13,23.41,74.77,715.62,1.94,,132.17,05-Nov-2018 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
