from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,Toluene,P-Xylene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
01-Feb-2018 - 00:00,20.32,990.63,236.04,141.3,63.38,195.17,274.1,1.43,0.0,,,,48.93,24.35,4.08,28.29,0.54,,7.9,02-Feb-2018 - 00:00,"Najafgarh, Delhi - DPCC"
02-Feb-2018 - 00:00,15.75,989.47,210.26,126.71,76.01,136.66,269.1,1.56,0.0,,,,52.64,27.53,7.05,35.9,0.58,,4.49,03-Feb-2018 - 00:00,"Najafgarh, Delhi - DPCC"
03-Feb-2018 - 00:00,14.5,991.91,212.88,133.54,71.14,152.31,287.52,1.76,0.0,,,,57.96,26.77,5.17,33.46,0.48,,5.78,04-Feb-2018 - 00:00,"Najafgarh, Delhi - DPCC"
04-Feb-2018 - 00:00,12.8,992.51,261.58,172.17,71.95,154.17,296.08,1.92,0.0,0.65,2.42,0.08,62.54,25.04,3.18,29.82,0.56,18.81,8.28,05-Feb-2018 - 00:00,"Najafgarh, Delhi - DPCC"
05-Feb-2018 - 00:00,12.47,994.66,211.42,134.17,71.7,105.62,260.98,1.2,0.0,0.44,1.9,0.04,48.02,26.16,6.67,33.61,0.57,40.55,5.04,06-Feb-2018 - 00:00,"Najafgarh, Delhi - DPCC"
06-Feb-2018 - 00:00,14.31,994.62,235.92,150.96,68.78,102.05,290.66,1.75,0.0,0.41,1.95,0.01,57.33,23.52,5.97,30.82,0.75,45.3,5.29,07-Feb-2018 - 00:00,"Najafgarh, Delhi - DPCC"
07-Feb-2018 - 00:00,12.81,991.59,214.5,140.88,70.23,158.14,283.81,1.83,0.0,0.28,1.88,0.02,52.15,20.76,3.42,24.27,0.49,56.18,6.75,08-Feb-2018 - 00:00,"Najafgarh, Delhi - DPCC"
08-Feb-2018 - 00:00,12.25,990.54,209.54,142.92,72.31,133.79,246.9,1.28,0.0,0.38,1.95,0.06,47.05,24.71,11.06,35.72,0.67,50.45,6.26,09-Feb-2018 - 00:00,"Najafgarh, Delhi - DPCC"
09-Feb-2018 - 00:00,12.9,990.58,204.96,136.67,70.25,151.53,229.31,1.34,0.0,0.34,2.12,0.09,50.81,24.52,10.94,35.58,0.89,56.03,5.41,10-Feb-2018 - 00:00,"Najafgarh, Delhi - DPCC"
10-Feb-2018 - 00:00,13.84,993.21,297.92,181.12,67.71,116.53,126.73,1.14,0.0,0.51,3.61,0.2,63.0,33.61,7.68,41.32,0.95,42.07,5.52,11-Feb-2018 - 00:00,"Najafgarh, Delhi - DPCC"
11-Feb-2018 - 00:00,15.83,,265.0,131.88,63.71,108.31,136.5,2.09,0.0,0.65,3.41,0.21,54.03,31.06,18.01,47.53,0.85,50.5,5.06,12-Feb-2018 - 00:00,"Najafgarh, Delhi - DPCC"
12-Feb-2018 - 00:00,16.59,996.3,125.75,65.96,73.73,113.64,134.8,3.07,0.0,0.18,1.87,0.04,43.47,16.64,2.21,18.29,0.49,55.76,2.22,13-Feb-2018 - 00:00,"Najafgarh, Delhi - DPCC"
13-Feb-2018 - 00:00,14.37,998.47,125.62,95.54,83.48,132.13,243.06,1.72,0.0,0.3,1.94,0.1,47.48,23.13,5.71,28.5,0.52,42.46,2.74,14-Feb-2018 - 00:00,"Najafgarh, Delhi - DPCC"
14-Feb-2018 - 00:00,13.5,998.62,151.0,88.58,75.83,157.4,292.11,2.37,0.0,0.23,1.61,0.01,47.84,16.51,2.36,18.8,0.45,44.36,5.44,15-Feb-2018 - 00:00,"Najafgarh, Delhi - DPCC"
15-Feb-2018 - 00:00,14.99,996.61,191.38,128.17,76.19,151.8,291.46,2.43,0.0,0.28,1.53,0.0,46.75,18.18,2.55,21.76,0.48,48.06,8.27,16-Feb-2018 - 00:00,"Najafgarh, Delhi - DPCC"
16-Feb-2018 - 00:00,15.94,995.09,167.12,107.92,76.92,139.53,289.96,1.65,0.0,0.26,1.55,0.01,46.69,21.28,3.05,25.02,0.48,46.54,6.07,17-Feb-2018 - 00:00,"Najafgarh, Delhi - DPCC"
17-Feb-2018 - 00:00,16.39,989.99,188.12,112.75,76.7,145.19,280.29,1.86,0.0,0.31,1.48,0.01,45.31,19.88,3.51,24.23,0.5,51.23,4.67,18-Feb-2018 - 00:00,"Najafgarh, Delhi - DPCC"
18-Feb-2018 - 00:00,16.58,989.05,182.67,109.33,70.07,163.27,272.52,1.56,0.0,0.28,1.48,0.02,43.64,21.63,2.96,25.32,0.51,55.19,3.69,19-Feb-2018 - 00:00,"Najafgarh, Delhi - DPCC"
19-Feb-2018 - 00:00,16.12,990.55,183.33,106.0,69.53,152.64,269.42,1.28,0.0,0.32,1.53,0.09,44.91,26.47,9.07,35.88,0.63,54.36,4.35,20-Feb-2018 - 00:00,"Najafgarh, Delhi - DPCC"
20-Feb-2018 - 00:00,17.53,990.18,184.92,106.83,69.92,152.72,250.15,1.33,0.0,0.27,1.5,0.03,45.82,25.52,5.27,31.23,0.6,58.73,5.77,21-Feb-2018 - 00:00,"Najafgarh, Delhi - DPCC"
21-Feb-2018 - 00:00,20.29,987.85,247.67,115.04,65.45,146.46,192.49,1.15,0.0,0.31,1.99,0.16,53.38,31.9,10.5,42.52,0.85,62.28,6.4,22-Feb-2018 - 00:00,"Najafgarh, Delhi - DPCC"
22-Feb-2018 - 00:00,20.38,986.97,303.12,168.92,69.59,133.25,204.39,1.27,0.0,0.49,2.09,0.07,57.83,24.76,5.87,32.4,0.75,50.61,9.41,23-Feb-2018 - 00:00,"Najafgarh, Delhi - DPCC"
23-Feb-2018 - 00:00,21.78,987.18,305.75,140.62,67.35,131.26,185.34,1.22,0.0,0.66,3.56,0.14,59.19,28.64,12.89,40.32,0.96,54.51,7.72,24-Feb-2018 - 00:00,"Najafgarh, Delhi - DPCC"
24-Feb-2018 - 00:00,23.52,988.8,293.71,129.12,63.05,134.23,166.6,1.39,0.0,0.56,2.63,0.37,64.26,33.94,16.6,46.68,0.99,73.7,5.41,25-Feb-2018 - 00:00,"Najafgarh, Delhi - DPCC"
25-Feb-2018 - 00:00,20.64,992.38,216.92,122.08,70.43,150.28,274.77,2.05,0.0,0.51,1.62,0.04,52.44,18.51,3.02,26.63,0.57,46.37,6.93,26-Feb-2018 - 00:00,"Najafgarh, Delhi - DPCC"
26-Feb-2018 - 00:00,18.83,990.52,154.79,82.33,73.81,171.71,305.22,2.73,0.0,0.46,1.03,0.0,39.34,12.67,1.76,21.99,0.4,52.87,2.69,27-Feb-2018 - 00:00,"Najafgarh, Delhi - DPCC"
27-Feb-2018 - 00:00,20.3,989.81,170.58,93.5,73.68,162.32,289.95,2.03,0.0,0.61,0.89,0.01,34.65,14.45,1.76,24.97,0.41,53.1,4.69,28-Feb-2018 - 00:00,"Najafgarh, Delhi - DPCC"
28-Feb-2018 - 00:00,20.84,989.91,185.46,99.54,74.86,130.84,218.67,1.25,0.0,0.44,1.68,0.02,45.19,17.85,3.7,26.19,0.63,51.79,3.47,01-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
01-Mar-2018 - 00:00,20.27,988.28,217.46,118.5,71.37,125.43,215.2,1.48,0.0,0.51,1.52,0.05,48.29,17.37,3.39,23.99,0.68,48.05,5.68,02-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
02-Mar-2018 - 00:00,21.4,986.74,184.58,103.5,69.44,159.85,253.96,1.46,0.0,0.49,1.44,0.11,45.51,18.75,3.34,25.78,0.68,58.67,4.63,03-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
03-Mar-2018 - 00:00,22.71,984.65,163.75,84.42,65.47,148.89,231.57,1.43,0.0,0.61,0.96,0.02,34.62,14.73,1.58,23.84,0.47,50.12,3.37,04-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
04-Mar-2018 - 00:00,20.55,986.12,156.75,86.33,69.9,128.48,270.65,1.91,0.0,0.5,1.02,0.02,36.22,14.58,2.54,21.01,0.53,41.06,4.73,05-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
05-Mar-2018 - 00:00,19.51,989.92,167.29,87.42,68.55,183.78,302.33,1.86,0.0,0.59,0.72,0.0,31.66,16.55,2.33,23.76,0.45,52.74,4.19,06-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
06-Mar-2018 - 00:00,18.67,990.79,166.79,99.62,68.51,176.72,280.72,2.33,0.0,0.45,0.74,0.0,31.42,16.86,1.98,20.91,0.38,54.82,8.49,07-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
07-Mar-2018 - 00:00,19.19,989.67,161.46,83.0,66.89,186.15,269.67,1.9,0.0,0.59,0.72,0.0,27.95,18.63,2.89,23.94,0.43,61.86,3.68,08-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
08-Mar-2018 - 00:00,21.32,990.51,187.92,89.17,61.77,173.41,186.49,1.21,0.0,0.47,1.37,0.16,36.1,25.72,4.96,31.65,0.7,75.98,5.42,09-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
09-Mar-2018 - 00:00,22.03,990.57,243.67,107.17,62.31,170.18,211.16,1.57,0.0,0.73,2.2,0.4,40.9,28.92,17.19,46.63,0.91,61.81,6.28,10-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
10-Mar-2018 - 00:00,21.95,989.62,183.72,85.19,61.53,183.43,270.87,1.94,0.0,0.58,0.93,0.01,33.47,17.57,2.05,21.78,0.42,56.85,4.98,11-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
11-Mar-2018 - 00:00,21.63,988.65,190.83,85.0,66.02,179.81,285.76,1.61,0.0,0.57,0.81,0.0,32.9,16.68,2.22,23.25,0.65,57.84,4.49,12-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
12-Mar-2018 - 00:00,23.06,988.56,248.69,110.12,60.18,179.43,272.61,1.7,0.0,0.56,0.77,0.0,38.02,20.4,3.24,26.68,0.59,58.85,9.3,13-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
13-Mar-2018 - 00:00,24.39,986.86,216.74,89.12,51.05,182.09,209.66,1.79,0.0,0.54,0.95,0.13,32.56,32.7,11.65,40.27,0.62,54.61,6.49,14-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
14-Mar-2018 - 00:00,24.59,984.84,299.45,76.92,43.52,163.48,202.05,1.54,0.0,0.74,1.09,0.27,29.57,36.09,11.97,45.5,0.64,48.38,5.17,15-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
15-Mar-2018 - 00:00,23.16,985.19,245.71,62.71,55.67,142.04,214.39,1.82,0.0,0.59,1.08,0.16,32.41,29.42,9.76,43.36,0.55,37.62,4.11,16-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
16-Mar-2018 - 00:00,22.49,986.51,248.04,96.33,59.76,163.44,273.01,1.86,0.0,0.59,1.0,0.01,40.9,21.57,4.39,32.02,0.65,56.24,5.83,17-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
17-Mar-2018 - 00:00,18.04,987.97,235.04,119.04,70.49,181.49,258.24,1.77,0.0,0.5,0.85,0.0,40.83,17.57,3.81,27.79,0.53,39.57,9.22,18-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
18-Mar-2018 - 00:00,26.95,989.3,141.79,51.0,36.29,280.7,246.76,2.01,0.0,0.67,0.41,0.02,18.44,16.59,1.39,25.8,0.35,97.7,3.79,19-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
19-Mar-2018 - 00:00,23.17,990.47,224.62,105.75,54.37,158.52,219.69,1.73,0.0,0.54,0.87,0.01,39.48,19.06,2.89,24.78,0.52,64.13,6.97,20-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
20-Mar-2018 - 00:00,24.71,987.4,236.79,95.62,53.53,162.9,219.11,1.27,0.0,0.55,1.23,0.09,38.83,26.8,4.94,33.03,0.7,64.86,7.22,21-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
21-Mar-2018 - 00:00,24.26,985.28,273.86,127.66,61.94,151.66,198.85,1.96,0.0,0.65,1.57,0.1,50.28,23.37,3.12,33.85,0.7,60.4,9.1,22-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
22-Mar-2018 - 00:00,22.97,986.3,211.5,102.88,64.18,176.19,257.04,1.83,0.0,0.55,0.7,0.0,37.64,16.03,2.85,24.38,0.46,62.27,8.79,23-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
23-Mar-2018 - 00:00,21.76,987.53,212.04,94.71,63.74,187.76,295.02,1.76,0.0,0.56,0.53,0.0,32.05,16.4,3.08,23.2,0.4,61.34,7.2,24-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
24-Mar-2018 - 00:00,23.13,989.98,240.33,111.0,59.57,193.2,300.21,2.21,0.0,0.59,0.47,0.0,33.25,19.22,4.43,27.04,0.52,67.25,8.38,25-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
25-Mar-2018 - 00:00,23.66,991.24,223.29,100.5,57.39,190.61,286.6,2.31,0.0,0.55,0.49,0.0,32.53,14.94,1.68,24.49,0.48,73.59,6.94,26-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
26-Mar-2018 - 00:00,24.01,989.5,235.12,97.67,54.55,187.86,289.42,2.1,0.0,0.51,0.55,0.0,31.75,18.21,1.95,23.06,0.49,71.86,9.7,27-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
27-Mar-2018 - 00:00,25.78,985.95,211.62,75.04,44.34,193.88,217.41,1.58,0.0,0.5,0.84,0.11,28.1,26.61,3.58,30.08,0.49,59.66,3.87,28-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
28-Mar-2018 - 00:00,26.78,985.09,271.88,79.96,41.42,195.5,267.95,2.11,0.0,0.63,1.09,0.2,33.88,27.24,7.01,35.18,0.61,68.96,9.74,29-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
29-Mar-2018 - 00:00,26.08,984.54,268.0,103.42,46.23,192.77,288.89,2.09,0.0,0.53,0.56,0.0,33.84,14.83,1.58,19.38,0.5,75.02,12.62,30-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
30-Mar-2018 - 00:00,26.62,982.19,243.42,79.0,42.44,202.54,270.86,2.66,0.0,0.5,0.65,0.04,28.25,21.25,2.23,25.14,0.57,73.23,5.43,31-Mar-2018 - 00:00,"Najafgarh, Delhi - DPCC"
31-Mar-2018 - 00:00,25.73,984.42,284.58,80.42,47.52,178.25,126.49,1.96,0.0,0.26,1.05,0.06,44.16,19.63,2.39,22.6,0.56,86.01,5.55,01-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
01-Apr-2018 - 00:00,29.61,986.38,189.28,54.27,40.45,246.5,121.8,2.0,0.0,0.56,0.56,0.07,28.1,21.26,1.7,36.22,0.55,109.36,2.33,02-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
02-Apr-2018 - 00:00,28.48,986.4,214.18,66.77,45.52,169.2,118.7,1.91,0.0,0.44,0.83,0.14,37.18,34.55,2.8,43.13,0.66,83.69,3.84,03-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
03-Apr-2018 - 00:00,30.17,984.99,247.15,79.25,41.17,159.38,123.25,1.81,0.0,0.53,1.08,0.21,40.75,34.18,2.29,42.15,0.72,88.64,4.56,04-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
04-Apr-2018 - 00:00,30.83,982.76,228.65,75.3,39.46,169.36,139.77,1.41,0.0,0.17,0.69,0.12,52.25,31.64,2.88,39.25,0.63,82.45,6.74,05-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
05-Apr-2018 - 00:00,29.66,981.55,313.11,129.63,42.24,170.23,196.47,1.56,0.0,0.0,0.0,0.0,59.72,27.63,4.42,36.27,0.96,84.86,17.48,06-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
06-Apr-2018 - 00:00,27.44,983.67,219.3,82.51,50.06,118.2,135.37,2.23,0.01,0.13,0.2,0.0,47.65,29.68,3.95,36.59,0.9,61.25,8.65,07-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
07-Apr-2018 - 00:00,27.28,985.68,128.83,37.12,53.85,195.68,143.3,1.94,0.0,0.25,2.21,0.05,63.47,22.27,4.69,27.38,1.25,84.84,3.43,08-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
08-Apr-2018 - 00:00,29.35,986.1,128.0,42.04,48.11,190.89,117.35,2.54,0.0,0.25,1.93,0.04,62.74,18.39,2.35,21.93,1.41,104.26,4.12,09-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
09-Apr-2018 - 00:00,25.79,987.54,117.57,40.0,62.55,123.23,120.07,2.21,0.0,0.3,1.7,0.08,54.54,21.29,2.98,28.09,1.28,74.82,3.67,10-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
10-Apr-2018 - 00:00,28.4,985.67,318.71,74.79,52.34,178.75,158.99,1.77,0.0,0.71,1.99,0.11,53.07,25.63,11.29,41.68,0.63,58.93,3.89,11-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
11-Apr-2018 - 00:00,26.76,985.37,129.67,42.38,53.7,157.66,110.13,2.71,0.0,0.38,1.41,0.04,43.54,18.36,4.78,25.0,0.36,65.79,4.14,12-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
12-Apr-2018 - 00:00,26.81,984.94,117.96,45.17,50.75,207.43,213.47,2.18,0.01,0.66,0.75,0.02,22.83,24.11,2.26,27.63,0.47,68.14,4.96,13-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
13-Apr-2018 - 00:00,27.82,985.8,270.25,106.88,33.58,220.74,267.79,1.71,0.0,0.61,1.38,0.07,37.49,25.45,3.21,24.68,0.9,77.71,14.84,14-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
14-Apr-2018 - 00:00,28.25,984.65,247.62,96.54,32.19,205.25,275.29,1.72,0.0,0.84,1.15,0.08,28.04,27.88,7.73,28.64,0.74,80.67,10.17,15-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
15-Apr-2018 - 00:00,29.99,983.93,284.42,99.33,35.27,192.72,236.41,1.27,0.0,1.01,0.99,0.09,29.27,26.25,8.65,30.96,0.62,35.76,7.09,16-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
16-Apr-2018 - 00:00,31.03,983.93,315.17,90.62,35.95,158.94,129.66,1.69,0.0,0.82,1.29,0.1,34.69,31.02,22.34,46.53,0.39,59.62,5.56,17-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
17-Apr-2018 - 00:00,31.2,985.43,281.08,60.0,31.93,233.87,187.29,2.06,0.0,0.86,0.73,0.1,21.72,30.81,12.54,33.51,0.69,72.03,3.01,18-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
18-Apr-2018 - 00:00,30.63,984.67,342.54,73.25,28.86,249.35,287.64,2.6,0.0,0.72,0.55,0.07,17.23,18.99,8.85,19.65,0.24,66.32,4.74,19-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
19-Apr-2018 - 00:00,31.16,981.3,352.89,84.19,28.87,231.57,252.0,1.88,0.0,1.05,0.61,0.08,19.54,20.73,6.24,23.6,0.61,66.67,5.49,20-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
20-Apr-2018 - 00:00,32.22,980.06,449.99,80.56,24.27,218.66,200.88,4.24,0.0,0.92,0.62,0.08,13.24,28.32,5.03,23.35,0.7,56.93,4.04,21-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
21-Apr-2018 - 00:00,28.75,984.97,469.15,100.21,30.27,214.41,307.64,2.17,0.0,1.18,0.26,0.02,10.39,17.27,1.37,24.44,2.28,98.99,2.55,22-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
22-Apr-2018 - 00:00,27.18,985.92,317.75,65.5,27.43,260.52,311.21,2.57,0.0,0.8,0.85,0.05,17.31,15.02,1.61,19.52,1.6,106.62,7.49,23-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
23-Apr-2018 - 00:00,27.69,984.93,313.12,98.25,25.22,256.59,300.81,2.34,0.0,0.76,0.83,0.01,22.15,16.83,1.72,20.13,1.95,108.42,18.17,24-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
24-Apr-2018 - 00:00,29.45,983.73,284.96,94.85,24.44,245.96,266.25,1.94,0.0,0.77,1.0,0.07,21.09,22.76,2.55,23.22,1.11,92.76,7.56,25-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
25-Apr-2018 - 00:00,31.56,980.91,255.04,87.06,22.24,249.08,240.4,1.84,0.0,0.69,1.23,0.12,24.75,33.06,6.87,35.3,1.61,69.6,4.89,26-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
26-Apr-2018 - 00:00,33.86,979.19,344.83,80.57,20.41,226.9,206.05,1.85,0.0,0.81,1.14,0.15,25.19,38.56,10.48,40.86,1.35,68.15,5.16,27-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
27-Apr-2018 - 00:00,33.08,982.31,340.67,81.91,38.71,197.45,118.59,2.35,0.0,0.68,1.24,0.09,49.13,24.43,5.65,38.51,1.01,75.46,5.24,28-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
28-Apr-2018 - 00:00,34.28,981.92,325.25,68.33,38.48,204.85,119.24,3.04,0.0,0.8,0.73,0.06,31.46,19.35,1.49,39.53,1.02,115.53,3.64,29-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
29-Apr-2018 - 00:00,33.31,979.35,279.83,69.0,41.21,193.74,158.8,1.64,0.0,0.47,1.07,0.02,42.66,18.12,1.94,25.24,0.9,76.53,4.32,30-Apr-2018 - 00:00,"Najafgarh, Delhi - DPCC"
30-Apr-2018 - 00:00,33.06,977.51,250.52,67.48,39.62,208.44,139.55,2.1,0.0,0.4,1.35,0.08,51.48,22.46,2.72,29.64,1.21,72.27,3.95,01-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
01-May-2018 - 00:00,32.55,980.75,174.88,46.0,46.26,201.65,127.67,3.48,0.0,0.43,0.91,0.0,50.83,13.68,1.64,29.92,2.24,123.67,3.59,02-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
02-May-2018 - 00:00,30.78,982.31,178.73,52.83,50.73,190.5,121.64,3.63,0.01,0.64,0.63,0.01,29.83,12.86,1.48,36.59,1.85,114.78,2.25,03-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
03-May-2018 - 00:00,29.73,982.74,127.58,36.62,48.33,196.53,132.41,4.13,0.0,0.42,0.9,0.0,45.97,18.43,2.57,32.81,1.69,85.27,4.84,04-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
04-May-2018 - 00:00,30.31,983.0,131.62,45.25,50.86,122.14,115.94,2.86,0.0,0.92,0.4,0.01,35.45,22.94,2.8,33.64,1.24,61.46,1.97,05-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
05-May-2018 - 00:00,33.33,982.48,192.62,68.04,39.11,224.95,126.47,1.73,0.0,0.4,0.8,0.04,56.92,28.84,2.65,37.27,1.63,80.96,4.87,06-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
